Item,AIM Store Cnt,Instock Store Cnt,Store In Stock %,DC BOH Turn,DC BOO Turn,Store BOH,TIL,Need for TIL
276778,401,363,0.905,98,42,860,801,98
276778,385,307,0.799,228,246,650,776,177
276778,449,365,0.814,210,60,877,900,184
276778,494,467,0.944,37,84,1047,984,82
276778,307,295,0.961,6,60,646,618,39
276778,644,566,0.88,180,48,1273,1287,204
276778,769,675,0.878,129,150,1674,1529,167
276778,326,269,0.825,140,66,702,657,116
276778,654,563,0.86,95,174,1546,1343,154
276778,370,309,0.835,54,210,688,739,107
276778,475,451,0.95,25,54,1075,950,42
276778,508,501,0.985,8,54,1167,1015,49
276778,446,441,0.99,24,60,1133,892,45
276778,341,328,0.962,15,36,1001,684,19
276778,608,406,0.668,504,222,786,1259,341
276778,410,349,0.852,140,24,830,823,102
973898,396,396,1,0,0,44,396,373
973898,388,388,1,0,240,22,388,376
973898,445,445,1,170,0,231,445,328
973898,493,493,1,0,0,954,494,16
973898,304,304,1,65,0,591,304,12
973898,630,630,1,36,0,46,629,607
973898,785,785,1,476,0,155,824,709
973898,319,319,1,0,192,43,320,299
973898,1260,1260,1,24,180,103,658,580
973898,362,362,1,0,0,435,362,144
973898,463,463,1,10,0,754,464,93
973898,499,499,1,0,0,817,499,90
973898,440,440,1,1,0,878,440,3
973898,336,336,1,258,0,452,336,144
973898,1166,1166,1,0,0,19,627,576
973898,405,405,1,14,0,286,411,263
973899,395,388,0.982,45,36,792,401,7
973899,383,378,0.988,19,108,758,398,6
973899,440,435,0.989,62,48,905,452,7
973899,490,483,0.985,60,36,1037,506,9
973899,300,293,0.977,118,12,619,311,8
973899,630,620,0.984,120,0,1275,646,13
973899,782,753,0.963,236,120,1806,825,29
973899,299,294,0.983,91,96,599,318,6
973899,589,582,0.988,50,168,1240,641,8
973899,345,341,0.987,34,36,699,348,5
973899,463,460,0.993,132,0,959,485,3
973899,500,494,0.988,58,48,1014,504,7
973899,447,441,0.987,92,0,940,457,5
973899,322,319,0.99,133,60,774,338,4
973899,567,562,0.991,242,120,1198,630,5
973899,396,392,0.989,189,0,811,411,4
973901,394,392,0.995,248,0,905,524,9
973901,383,380,0.993,236,60,892,560,12
973901,439,435,0.99,318,0,1029,552,6
973901,488,484,0.992,254,0,1174,679,12
973901,300,294,0.981,184,0,681,371,11
973901,630,622,0.987,378,0,1397,851,17
973901,780,768,0.985,189,84,2215,1125,21
973901,300,293,0.978,470,60,483,369,12
973901,588,578,0.983,200,144,1356,717,15
973901,345,342,0.992,177,0,780,494,8
973901,462,457,0.99,319,0,1079,627,9
973901,500,496,0.992,339,0,1171,623,8
973901,444,442,0.995,80,0,1315,616,6
973901,322,317,0.986,218,12,845,414,9
973901,563,554,0.985,392,0,1320,730,15
973901,393,391,0.994,312,0,955,477,3
200964,400,395,0.989,511,0,1061,814,29
200964,384,379,0.987,1572,0,955,798,34
200964,319,311,0.975,408,432,984,741,42
200964,605,598,0.988,1468,0,2078,1432,53
213140,401,388,0.968,486,0,2047,889,42
213140,393,384,0.978,104,360,1733,869,40
213140,326,319,0.978,214,1080,2726,938,17
213140,612,606,0.99,1711,720,4898,1672,31
237741,401,394,0.981,214,0,1553,970,33
237741,391,386,0.988,1203,0,1359,969,49
237741,450,448,0.996,3044,0,1642,1032,9
237741,497,493,0.992,585,0,1774,1247,47
237741,309,307,0.994,2040,0,1389,895,20
237741,644,641,0.996,10124,0,2406,1608,29
237741,762,740,0.971,1621,0,2451,1819,111
237741,325,316,0.971,479,0,1370,902,31
237741,657,651,0.99,2870,0,3648,2413,40
237741,369,365,0.988,826,936,1291,993,57
237741,474,473,0.998,1616,0,1789,1149,20
237741,506,493,0.975,204,720,1605,1308,79
237741,443,440,0.993,1290,0,1627,1123,36
237741,339,336,0.991,699,0,1170,816,27
237741,604,602,0.996,1518,0,3396,1731,12
237741,409,408,0.998,4451,0,2186,1194,11
237755,401,349,0.871,593,0,1004,957,148
237755,391,367,0.939,158,576,1155,958,57
237755,450,371,0.825,1010,0,1061,1028,103
237755,497,478,0.961,1180,0,1519,1245,72
237755,309,307,0.993,1066,0,1305,837,18
237755,642,576,0.898,301,1728,1726,1574,97
237755,795,771,0.97,633,936,2629,2303,160
237755,325,319,0.981,989,0,1459,981,39
237755,656,649,0.99,1418,144,2983,2034,60
237755,370,362,0.98,28,720,1297,1069,70
237755,474,470,0.991,557,360,1523,1294,57
237755,506,208,0.41,1944,0,261,1304,455
237755,443,437,0.987,138,720,1428,1113,47
237755,339,323,0.954,725,0,1006,818,30
237755,604,546,0.904,1063,0,2082,1665,73
237755,409,409,1,898,0,1733,1084,21
249816,401,385,0.959,163,156,916,823,69
249816,393,385,0.98,25,504,977,827,35
249816,451,417,0.925,414,0,1050,937,63
249816,498,490,0.983,384,0,1238,1033,49
249816,309,306,0.99,97,552,897,697,36
249816,646,629,0.973,176,396,1605,1340,43
249816,796,716,0.899,515,300,2323,2011,114
249816,326,247,0.757,0,804,610,785,159
249816,658,648,0.984,347,0,1954,1606,74
249816,370,365,0.986,1,600,976,795,37
249816,478,474,0.991,0,1044,1200,1018,43
249816,509,502,0.986,510,0,1133,1040,49
249816,449,443,0.987,647,0,1020,911,43
249816,344,324,0.942,113,252,905,792,37
249816,608,560,0.922,1503,0,1619,1465,66
249816,415,409,0.987,147,624,971,874,42
308266,401,399,0.996,211,204,1682,1006,33
308266,393,388,0.988,169,228,1635,1144,34
308266,451,437,0.969,66,156,1523,1066,66
308266,498,465,0.934,1782,0,1587,1209,64
308266,309,308,0.997,204,336,1414,817,17
308266,642,622,0.97,443,0,2179,1542,56
308266,796,724,0.91,714,0,3300,2625,140
308266,326,323,0.992,854,0,1532,968,19
308266,658,651,0.989,2199,0,2984,1984,54
308266,368,367,0.997,687,0,1554,988,24
308266,478,475,0.994,212,0,1662,1199,45
308266,509,504,0.99,405,0,1707,1357,62
308266,448,444,0.992,173,0,1610,1041,25
308266,344,341,0.992,1589,0,1440,894,19
308266,611,600,0.982,2476,0,3079,1847,40
308266,415,413,0.996,400,0,1758,999,18
320989,876,876,1,273,0,765,468,33
320989,1004,1004,1,544,384,613,528,70
320989,1035,1035,1,227,384,1469,722,27
320989,1128,1128,1,604,0,1260,604,32
320989,932,932,1,319,768,1066,574,29
320989,1760,1760,1,539,0,2019,917,48
320989,2612,2612,1,1138,1152,3244,1658,83
320989,1072,1072,1,478,768,1391,655,30
320989,2424,2424,1,1207,1152,2630,1357,70
320989,912,912,1,562,0,734,525,42
320989,1412,1412,1,514,384,1565,786,41
320989,1224,1224,1,132,768,1190,635,40
320989,1080,1080,1,8,288,1153,557,24
320989,1196,1196,1,112,768,865,631,51
320989,2208,2208,1,523,1152,1832,1312,96
320989,1412,1412,1,187,768,1365,768,41
460400,401,400,0.999,4890,0,2354,1630,17
460400,393,383,0.973,167,504,1853,1611,63
460400,451,435,0.965,749,0,1992,1825,107
460400,498,474,0.952,691,0,2291,2018,80
460400,309,308,0.997,0,1200,1507,1305,62
460400,646,646,1,266,600,10792,2631,14
460400,758,734,0.969,370,1404,3896,3227,115
460400,326,326,0.999,78,396,1889,1395,22
460400,658,654,0.993,1264,0,3402,2877,115
460400,370,369,0.997,0,1104,1763,1518,66
460400,478,477,0.998,70,1104,2325,1921,60
460400,509,462,0.908,0,2196,1889,2044,195
460400,449,398,0.886,0,1452,1661,1808,188
460400,343,339,0.989,285,96,1812,1484,24
460400,609,586,0.962,1480,0,2942,2597,150
460400,415,414,0.997,1072,0,1964,1678,70
460403,401,401,0.999,3088,0,2399,1914,41
460403,390,380,0.974,166,1044,2036,1913,96
460403,448,444,0.992,1040,0,2291,2216,121
460403,494,461,0.934,1684,0,2486,2421,107
460403,309,309,1,987,0,1844,1567,54
460403,643,642,0.999,169,600,3779,3150,63
460403,793,764,0.963,1487,0,4353,4093,188
460403,320,301,0.94,6,1104,1497,1637,139
460403,647,645,0.997,482,0,3999,3291,86
460403,368,367,0.997,342,996,2034,1847,89
460403,475,475,1,256,348,2573,1954,35
460403,509,464,0.912,0,1848,2000,2471,246
460403,449,432,0.963,0,1200,2043,2145,168
460403,340,336,0.987,307,96,1903,1702,38
460403,601,600,0.998,968,0,3716,3004,56
460403,413,411,0.996,1642,0,1961,1681,60
460423,401,391,0.974,348,180,1891,1703,101
460423,392,378,0.965,182,504,1921,1762,86
460423,450,411,0.913,1617,0,1883,2003,176
460423,495,481,0.971,1346,0,2544,2176,62
460423,309,308,0.997,861,0,1670,1451,50
460423,646,644,0.996,0,1104,3483,2831,87
460423,791,789,0.997,588,600,4577,3796,110
460423,324,313,0.966,0,996,1535,1511,107
460423,656,647,0.986,1181,0,3293,3164,150
460423,370,369,0.996,781,0,1852,1660,67
460423,477,451,0.945,0,1800,2040,1927,137
460423,509,508,0.999,601,696,2737,2149,36
460423,449,419,0.933,0,1404,1742,1872,199
460423,343,343,1,480,0,2056,1661,21
460423,608,574,0.944,0,720,2885,2933,184
460423,415,408,0.983,231,0,1782,1663,76
689296,392,352,0.897,111,156,800,799,127
689296,391,381,0.974,41,216,1090,818,36
689296,435,402,0.924,0,372,1029,901,101
689296,496,479,0.965,0,276,1278,1013,74
689296,308,306,0.994,0,216,983,670,41
689296,617,609,0.987,138,252,1717,1277,52
689296,782,730,0.934,0,252,2035,1836,175
689296,319,297,0.931,153,396,908,719,79
689296,644,639,0.993,231,84,1965,1526,61
689296,367,365,0.995,32,264,1098,757,23
689296,462,456,0.987,36,252,1250,945,41
689296,491,467,0.952,0,324,1249,994,105
689296,429,422,0.983,0,456,1063,866,61
689296,337,299,0.887,0,372,772,765,82
689296,588,548,0.931,4,132,1561,1342,61
689296,390,387,0.992,0,216,1098,791,34
716887,398,318,0.799,104,492,705,813,175
716887,391,361,0.923,0,528,999,858,79
716887,451,393,0.87,130,252,1050,943,88
716887,489,464,0.949,390,192,1215,1029,58
716887,305,272,0.891,0,1032,750,757,108
716887,642,630,0.981,215,336,1734,1341,58
716887,789,699,0.886,0,900,2237,2059,198
716887,326,310,0.951,367,216,841,781,67
716887,658,638,0.97,1278,420,1916,1689,118
716887,365,358,0.981,0,924,1058,852,42
716887,477,468,0.981,0,1044,1278,1042,57
716887,509,340,0.667,312,1008,667,1029,333
716887,448,434,0.968,72,420,1213,926,49
716887,342,311,0.91,0,636,817,801,70
716887,612,527,0.862,875,324,1592,1444,93
716887,414,397,0.96,123,456,1062,904,58
850624,401,400,0.997,425,0,1256,903,32
850624,393,366,0.931,143,300,1047,901,45
850624,451,391,0.867,889,0,1198,1013,101
850624,498,413,0.83,688,0,1201,1131,59
850624,309,304,0.984,0,576,863,710,59
