basis,aim-store-count,instock-store-count,dc-on-hand,dc-on-order,store-on-hand,target-inventory-level,need-for-til
276778,0,0,0,0,951,799,31
276778,0,0,0,0,697,764,151
276778,0,0,0,0,1049,896,115
276778,0,0,0,0,857,962,208
276778,0,0,0,0,568,616,92
276778,0,0,46,0,1389,1282,127
276778,0,0,0,0,1881,1520,38
276778,0,0,0,0,800,648,60
276778,0,0,0,0,1768,1341,66
276778,0,0,0,0,708,738,101
276778,0,0,0,0,1020,947,78
276778,0,0,0,0,1123,1016,99
276778,0,0,0,0,1104,894,88
276778,0,0,22,0,936,682,19
276778,0,0,0,0,1059,1257,230
276778,0,0,0,0,975,822,35
200964,0,0,1128,0,463,801,248
200964,0,0,0,864,309,770,278
200964,0,0,1450,0,575,672,157
200964,0,0,2204,0,737,1320,360
213140,0,0,1788,0,932,867,95
213140,0,0,1235,0,961,841,79
213140,0,0,1412,0,1156,877,65
213140,0,0,2616,360,2020,1682,155
237741,399,388,91,504,1168,1172,125
237741,387,372,1466,0,1052,1140,143
237741,447,438,4988,288,1276,1210,102
237741,487,469,4127,0,1259,1380,194
237741,310,306,3920,0,983,1015,96
237741,638,623,1236,2304,1838,1847,188
237741,757,728,2631,792,1895,1866,166
237741,323,309,597,576,1159,1208,125
237741,651,631,4121,2664,2833,3064,281
237741,369,366,811,0,1093,1181,135
237741,471,464,4820,0,1272,1406,163
237741,505,494,1926,0,1428,1585,207
237741,443,434,1640,0,1222,1294,139
237741,338,326,2045,0,837,849,85
237741,603,592,4158,1872,2471,2636,288
237741,405,401,4620,3168,1645,1577,185
237755,399,388,199,360,1048,1132,151
237755,387,372,1219,0,1023,1123,145
237755,447,442,877,0,1246,1131,78
237755,487,470,1879,0,1278,1420,186
237755,310,304,2473,0,924,930,100
237755,639,626,430,864,1790,1848,199
237755,790,755,1844,720,2122,2354,254
237755,323,309,2146,0,1036,1191,168
237755,651,641,4857,0,2360,2546,278
237755,369,365,1138,0,1182,1248,123
237755,471,461,516,0,1361,1461,158
237755,505,490,0,0,1356,1549,228
237755,443,435,207,0,1236,1304,130
237755,338,308,65,216,741,857,145
237755,603,593,1713,576,2166,2234,259
237755,405,347,936,1152,934,1361,260
249816,399,394,226,96,957,834,40
249816,389,386,166,24,974,835,46
249816,448,440,150,120,1093,943,38
249816,488,483,403,0,1111,1015,63
249816,310,305,229,24,873,685,44
249816,642,637,207,348,1527,1333,62
249816,791,768,211,396,2280,1968,139
249816,324,315,136,432,841,777,62
249816,653,579,179,1344,1471,1565,257
249816,370,366,291,0,1029,812,38
249816,476,471,22,0,1152,1031,57
249816,508,500,0,0,1142,1061,75
249816,450,416,0,0,906,921,119
249816,343,339,359,144,837,759,50
249816,607,578,0,348,1484,1453,152
249816,411,402,72,456,987,905,72
308266,399,387,402,612,1212,1303,147
308266,389,380,616,72,1434,1554,165
308266,448,436,639,468,1985,1315,126
308266,488,473,304,0,1617,1647,190
308266,310,306,1927,0,1059,1007,67
308266,639,615,321,1056,1964,2019,257
308266,791,755,1946,588,2961,3286,351
308266,324,316,974,624,1169,1243,121
308266,653,642,586,264,2939,2831,259
308266,368,359,1503,0,1157,1271,153
308266,476,459,1306,0,1413,1566,198
308266,508,444,0,0,1321,1809,277
308266,449,436,1773,0,1220,1313,151
308266,343,329,3102,1140,957,1031,117
308266,611,580,1334,1044,2608,2805,309
308266,411,400,861,804,1332,1387,159
320989,0,0,997,168,22,448,214
320989,0,0,0,1152,45,508,235
320989,0,0,0,0,582,694,100
320989,0,0,92,168,266,565,176
320989,0,0,93,0,474,474,55
320989,0,0,213,240,286,869,316
320989,0,0,3360,480,78,1391,639
320989,0,0,273,864,222,559,172
320989,0,0,1541,0,1091,1230,186
320989,0,0,984,168,44,478,220
320989,0,0,0,0,678,727,77
320989,0,0,492,0,62,624,289
320989,0,0,0,0,386,542,109
320989,0,0,399,864,164,597,227
320989,0,0,699,360,426,1191,384
320989,0,0,1328,168,31,716,340
460400,399,396,6885,0,1621,1636,143
460400,389,388,687,72,1690,1636,128
460400,448,447,181,180,1912,1817,141
460400,488,484,876,0,2100,2019,173
460400,310,309,160,0,1299,1303,108
460400,641,637,617,720,2727,2638,244
460400,752,742,764,336,3189,3087,222
460400,324,319,295,240,1377,1373,132
460400,653,630,708,564,2639,2784,312
460400,370,368,416,0,1572,1531,119
460400,476,474,659,0,1956,1940,161
460400,508,502,148,0,2008,2057,188
460400,450,447,446,0,1783,1815,180
460400,342,328,516,132,1239,1406,151
460400,607,580,544,648,2389,2580,277
460400,411,394,314,384,1612,1714,193
460403,399,393,4287,1680,1536,1659,176
460403,386,381,965,144,1581,1633,159
460403,445,444,595,408,1927,1817,147
460403,484,473,531,0,1897,2057,236
460403,310,300,576,0,1313,1341,125
460403,639,598,1139,972,2041,2633,381
460403,788,775,154,600,3464,3414,272
460403,320,317,549,564,1378,1433,137
460403,642,639,1636,2724,2961,2980,294
460403,368,366,654,0,1676,1559,105
460403,473,468,1846,0,1903,2001,201
460403,508,501,606,0,1986,2092,217
460403,450,447,478,0,1682,1848,212
460403,339,319,756,156,1175,1390,180
460403,600,528,452,816,2153,2675,343
460403,410,407,249,36,1773,1763,180
460423,399,397,901,0,1646,1626,144
460423,388,386,489,60,1637,1620,129
460423,447,444,182,168,1818,1811,167
460423,485,483,1211,0,2002,1999,176
460423,308,293,0,0,1053,1266,174
460423,642,637,1513,684,2728,2610,230
460423,780,774,462,684,3444,3199,220
460423,324,322,0,864,1420,1365,117
460423,651,648,516,0,2946,2738,237
460423,370,369,609,0,1501,1508,124
460423,476,474,48,0,1888,1953,184
460423,508,507,1089,0,1936,2061,214
460423,450,449,308,0,1790,1818,175
460423,342,313,186,1332,966,1379,222
460423,607,589,87,324,2277,2559,322
460423,411,389,0,384,1380,1691,235
689296,390,388,324,0,1013,784,23
689296,387,383,239,0,1240,785,21
689296,431,424,270,0,1221,863,39
689296,486,484,342,0,1501,983,24
689296,309,306,256,0,1151,624,16
689296,610,605,351,48,1936,1235,33
689296,776,766,732,0,2440,1650,51
689296,316,312,231,0,1088,645,28
689296,639,630,464,0,2100,1305,49
689296,366,364,471,0,1259,736,17
689296,460,456,498,0,1459,928,38
689296,491,490,235,0,1584,990,23
689296,427,420,171,0,1264,859,36
689296,336,333,268,0,1e3,677,20
689296,585,577,343,0,1589,1184,51
689296,386,384,501,0,1272,782,16
716887,397,393,98,84,1177,813,37
716887,387,377,430,0,1132,822,61
716887,448,437,251,48,1289,913,32
716887,479,472,292,0,1467,989,44
716887,306,302,447,0,1082,705,38
716887,638,628,590,84,1916,1293,57
716887,783,754,1005,120,2526,1892,112
716887,323,299,349,84,866,724,71
716887,653,605,224,192,1941,1523,173
716887,364,355,577,0,1153,805,49
716887,476,460,299,0,1454,1018,44
716887,508,501,309,0,1546,1041,40
716887,448,438,211,0,1346,907,39
716887,342,337,587,0,967,719,31
716887,610,591,331,0,1644,1302,108
716887,411,400,223,540,1180,870,35
850624,399,333,0,588,815,947,191
850624,389,350,492,0,827,946,159
850624,448,440,1020,0,1264,1024,58
850624,487,449,5,0,1054,1190,212
850624,310,307,242,0,917,699,29
850624,642,517,203,0,1360,1614,327
850624,754,739,605,108,2144,1666,85
850624,324,258,34,288,677,879,181
850624,653,561,350,0,4950,2133,328
850624,370,336,235,0,847,853,113
850624,476,432,0,0,1134,1239,207
850624,508,456,0,0,1202,1259,193
850624,449,378,0,0,966,1126,215
850624,342,329,319,120,827,764,75
850624,609,479,0,0,1911,2042,282
850624,411,400,1237,0,1508,1120,105
868171,0,0,0,0,478,799,244
868171,0,0,0,0,92,282,115
868171,0,0,0,0,343,779,286
868171,0,0,0,0,500,896,291
868171,0,0,0,0,484,976,331
868171,0,0,0,0,233,620,238
868171,0,0,0,0,712,1286,425
868171,0,0,0,0,645,1222,409
868171,0,0,0,0,446,651,187
868171,0,0,0,0,602,1310,464
868171,0,0,0,0,308,751,279
868171,0,0,0,0,468,952,326
868171,0,0,0,0,590,1017,325
868171,0,0,0,0,525,896,278
868171,0,0,0,0,392,686,228
868171,0,0,0,0,459,1226,469
868171,0,0,0,0,404,823,290
908183,0,0,141,600,557,536,34
908183,0,0,95,144,723,661,33
908183,0,0,298,192,630,527,32
908183,0,0,4,336,995,864,34
908183,0,0,569,144,786,542,22
908183,0,0,404,504,990,870,48
908183,0,0,499,600,1991,1728,106
908183,0,0,163,312,416,404,36
908183,0,0,787,312,971,811,64
908183,0,0,445,0,838,656,22
908183,0,0,479,0,562,537,39
908183,0,0,439,0,604,550,25
908183,0,0,349,0,948,467,24
908183,0,0,541,240,740,641,42
908183,0,0,1021,0,220,767,322
908183,0,0,1521,0,614,514,33
920128,398,397,372,0,971,833,16
920128,384,381,556,0,930,827,19
920128,446,438,0,0,986,942,96
920128,485,484,285,0,1151,1007,11
920128,307,307,52,0,832,667,15
920128,639,629,132,348,1417,1319,96
920128,786,764,168,0,2167,1952,77
920128,320,316,0,384,942,762,38
920128,609,581,60,24,1653,1426,148
920128,365,355,137,72,922,797,37
920128,464,444,0,0,947,1025,185
920128,508,506,83,0,1272,1056,9
920128,449,447,232,0,1036,919,10
920128,339,329,37,72,804,746,62
920128,560,556,1,24,1590,1296,38
920128,410,400,276,108,1004,899,69
936445,397,395,0,36,960,796,11
936445,386,385,41,0,931,774,7
936445,448,447,0,36,1083,900,15
936445,487,484,49,0,1184,979,15
936445,310,309,29,0,848,620,2
936445,641,634,78,0,1569,1289,41
936445,751,746,87,72,1872,1511,27
936445,324,322,87,0,795,650,9
936445,652,635,88,36,1656,1311,62
936445,369,364,36,0,869,738,33
936445,476,475,18,0,1151,952,9
936445,508,507,0,0,1203,1016,27
936445,448,448,28,0,1099,896,6
936445,342,337,55,12,873,685,19
936445,609,605,81,0,1530,1221,16
936445,411,406,34,48,982,822,34
936447,398,397,3,108,975,795,5
