Item,AIM_STORE_CNT,IN_STCK_STORE_CNT,Store In Stock %,DC BOH Turn,DC BOO Turn,Store BOH,Store TIL,Need for TIL
919082,718,711,0.99,275,0,1681,1433,36
919082,751,666,0.887,0,732,1549,1499,224
919082,328,327,0.997,188,0,807,659,14
919082,713,706,0.99,199,300,1711,1422,40
919082,439,438,0.998,93,84,993,877,18
919082,443,439,0.991,239,0,1043,885,16
919082,489,485,0.992,169,0,1135,978,29
919082,394,390,0.99,125,0,873,784,21
919082,351,348,0.991,48,108,827,699,21
919082,608,604,0.993,330,0,1448,1211,23
919082,350,348,0.994,230,0,831,700,23
926425,515,511,0.992,157,0,1264,1034,38
926425,331,328,0.991,23,0,832,660,26
926425,470,468,0.996,36,0,1150,940,26
926425,341,336,0.985,9,12,836,682,34
926425,287,287,1,20,0,778,574,26
926425,698,694,0.994,174,0,1690,1396,49
926425,712,707,0.993,54,48,1919,1420,45
926425,322,318,0.988,191,0,904,644,25
926425,685,676,0.987,0,84,1832,1372,79
926425,428,425,0.993,251,0,1032,856,30
926425,437,434,0.993,14,12,1046,874,39
926425,485,483,0.996,15,12,1217,970,34
926425,392,388,0.99,4,24,915,784,24
926425,340,338,0.994,203,0,832,680,19
926425,590,590,1,327,0,1633,1180,41
926425,343,340,0.991,68,0,898,688,34
926426,515,498,0.967,0,108,1093,1034,76
926426,332,316,0.952,24,84,728,662,59
926426,470,441,0.938,0,144,927,940,106
926426,341,327,0.959,33,60,719,682,65
926426,287,284,0.99,1,96,678,574,33
926426,698,658,0.943,0,204,1382,1396,157
926426,712,648,0.91,204,408,1436,1421,181
926426,322,318,0.988,5,108,712,644,38
926426,685,624,0.911,0,372,1355,1372,188
926426,428,423,0.988,65,0,992,856,36
926426,437,417,0.954,117,24,887,874,67
926426,485,463,0.955,59,36,978,970,87
926426,392,383,0.977,27,48,817,784,50
926426,340,337,0.991,161,0,718,680,37
926426,590,535,0.907,324,156,1147,1180,170
926426,343,332,0.968,97,84,678,688,78
943901,520,514,0.988,0,48,1085,1042,50
943901,338,334,0.988,29,12,772,674,24
943901,474,472,0.996,35,24,1182,948,36
943901,350,342,0.977,24,36,806,700,31
943901,296,296,1,8,36,759,592,13
943901,716,705,0.985,0,84,1532,1431,79
943901,719,710,0.987,669,0,1836,1434,34
943901,326,321,0.985,38,0,857,652,24
943901,708,697,0.984,245,0,1704,1417,73
943901,437,427,0.977,24,60,945,874,41
943901,440,433,0.984,10,36,940,880,45
943901,486,483,0.994,12,12,1147,972,33
943901,396,390,0.985,8,12,856,791,31
943901,347,346,0.997,614,0,916,694,13
943901,599,598,0.998,158,24,1604,1198,31
943901,346,345,0.997,12,12,852,693,19
