Item,AIM_STORE_CNT,IN_STCK_STORE_CNT,Store In Stock %,DC BOH Turn,DC BOO Turn,Store BOH,Store TIL,Need for TIL
276778,521,485,0.931,27,18,1013,610,40
276778,339,328,0.968,16,30,623,414,11
276778,478,472,0.987,63,54,1119,577,8
276778,349,343,0.983,11,30,690,400,7
276778,296,289,0.976,15,48,499,344,8
276778,719,677,0.942,109,24,1424,854,44
276778,739,710,0.961,11,234,1458,997,36
276778,328,309,0.942,0,60,682,390,23
276778,710,686,0.966,3,186,1470,932,27
276778,438,424,0.968,9,48,781,495,15
276778,442,429,0.971,84,36,829,575,18
276778,489,477,0.975,32,24,920,560,13
276778,394,369,0.937,45,0,916,522,33
276778,351,330,0.94,34,12,767,414,22
276778,605,590,0.975,42,150,1077,838,16
276778,351,310,0.883,0,78,643,423,45
237741,521,508,0.975,54,1584,1477,1050,40
237741,341,313,0.918,0,576,905,696,71
237741,477,415,0.87,0,1008,857,955,164
237741,353,289,0.819,0,1152,587,712,151
237741,296,103,0.348,0,0,220,679,237
237741,713,615,0.863,2,2664,1561,1444,235
237741,760,634,0.834,0,4824,1402,1763,298
237741,327,313,0.957,1286,0,900,668,28
237741,711,663,0.932,0,3168,1595,1468,201
237741,438,388,0.886,0,2952,1112,945,134
237741,438,314,0.717,0,1800,576,879,240
237741,486,470,0.967,1434,1944,1048,979,52
237741,387,303,0.783,0,1008,642,775,178
237741,347,298,0.859,0,0,619,719,131
237741,600,593,0.988,0,2592,1330,1235,61
237741,344,295,0.858,0,1368,601,694,129
237755,521,509,0.977,710,1224,1222,1058,58
237755,341,291,0.853,0,1008,779,706,110
237755,477,472,0.99,525,864,1414,966,17
237755,353,291,0.824,0,792,605,716,155
237755,296,170,0.574,0,2016,325,701,210
237755,713,691,0.969,0,2376,2137,1470,83
237755,760,682,0.897,0,3024,1607,1851,273
237755,327,324,0.991,1097,2880,1198,678,21
237755,711,685,0.963,0,2592,2150,1479,89
237755,438,380,0.868,0,2304,1191,1015,125
237755,438,423,0.966,0,2520,1403,893,49
237755,486,468,0.963,0,1296,1568,1002,52
237755,387,379,0.979,159,864,920,777,34
237755,347,342,0.986,448,1440,929,722,43
237755,600,597,0.995,552,1656,1960,1222,31
237755,344,344,1,46,1296,919,695,20
249816,521,502,0.964,405,0,913,591,25
249816,345,332,0.962,131,72,759,472,28
249816,478,456,0.954,127,144,1021,528,24
249816,354,341,0.963,110,48,855,510,21
249816,296,289,0.976,70,240,811,493,16
249816,720,686,0.953,268,312,1368,807,43
249816,760,700,0.921,457,348,1539,1112,95
249816,328,310,0.945,166,288,789,468,34
249816,714,673,0.943,230,516,1785,990,58
249816,439,430,0.979,79,264,1067,704,23
249816,443,432,0.975,347,0,901,503,19
249816,489,471,0.963,144,120,995,544,23
249816,394,379,0.962,152,0,762,423,16
249816,351,332,0.946,298,0,649,432,33
249816,608,585,0.962,202,144,1614,878,37
249816,350,338,0.966,89,180,823,403,13
308266,521,519,0.996,222,120,1287,1063,50
308266,345,337,0.977,233,96,931,737,28
308266,478,477,0.998,185,168,1985,974,17
308266,355,353,0.994,93,132,1055,749,18
308266,296,295,0.997,93,420,860,682,22
308266,725,700,0.966,108,480,2152,1469,78
308266,764,697,0.912,0,1332,1928,1756,195
308266,328,321,0.979,172,60,929,710,25
308266,718,712,0.992,136,516,2450,1490,50
308266,437,431,0.986,68,180,1424,962,33
308266,443,439,0.991,245,288,1390,906,20
308266,489,487,0.996,109,84,1683,1000,24
308266,396,393,0.992,98,0,1125,801,21
308266,352,315,0.895,87,144,722,735,109
308266,614,609,0.992,191,216,2355,1299,27
308266,351,351,1,79,24,966,705,21
460400,521,517,0.992,1332,0,2253,2088,112
460400,345,341,0.988,343,228,1502,1360,72
460400,478,474,0.992,290,108,1967,1912,160
460400,354,354,1,378,144,1588,1415,66
460400,296,296,1,37,288,1278,1199,75
460400,720,714,0.992,576,0,3009,2873,214
460400,752,743,0.988,52,768,3245,3079,188
460400,328,326,0.994,106,444,1547,1313,48
460400,714,707,0.99,376,264,3193,2860,172
460400,439,435,0.991,0,324,1881,1757,132
460400,443,442,0.998,415,60,1926,1772,101
460400,489,488,0.998,134,72,2153,1961,92
460400,394,392,0.995,297,0,1650,1572,103
460400,351,350,0.997,34,288,1631,1404,38
460400,608,606,0.997,124,168,2767,2423,121
460400,350,350,1,277,0,1575,1402,69
460403,521,519,0.996,633,0,2346,2084,95
460403,342,338,0.988,518,0,1535,1348,54
460403,475,475,1,206,120,2135,1900,94
460403,350,350,1,241,120,1612,1401,58
460403,296,295,0.997,87,456,1298,1220,71
460403,717,714,0.996,370,0,3221,2856,123
460403,751,745,0.992,160,576,3285,3103,164
460403,323,323,1,284,72,1573,1302,45
460403,702,701,0.999,515,324,3222,2806,149
460403,437,436,0.998,566,0,1898,1753,95
460403,441,441,1,471,0,1996,1767,86
460403,489,489,1,184,132,2222,1960,93
460403,394,393,0.997,182,0,1714,1572,87
460403,348,346,0.994,726,0,1512,1388,46
460403,601,600,0.998,140,120,2845,2397,95
460403,349,348,0.997,1524,0,1622,1398,61
460423,521,520,0.998,334,144,2259,2085,115
460423,344,342,0.994,166,120,1503,1359,69
460423,477,476,0.998,224,72,2097,1908,108
460423,351,351,1,40,168,1527,1406,76
460423,296,296,1,149,372,1257,1200,81
460423,720,709,0.985,312,288,3054,2864,211
460423,722,714,0.989,30,804,2773,2879,235
460423,328,327,0.997,49,216,1517,1311,53
460423,711,705,0.992,0,648,3316,2844,164
460423,439,439,1,252,0,1992,1758,109
460423,443,443,1,227,96,1916,1775,103
460423,489,371,0.759,2280,0,1056,1958,387
460423,394,391,0.992,183,0,1726,1570,100
460423,351,349,0.994,316,0,1394,1397,50
460423,608,606,0.997,232,132,2892,2423,138
460423,349,349,1,276,0,1588,1396,74
689296,511,491,0.961,84,180,1104,1026,88
689296,341,337,0.988,144,48,805,687,31
689296,459,446,0.972,187,360,1011,922,59
689296,353,343,0.972,167,156,783,706,36
689296,295,291,0.986,206,276,728,608,25
689296,684,672,0.982,376,552,1525,1370,76
689296,735,717,0.976,164,972,1646,1540,121
689296,318,311,0.978,172,288,811,663,39
689296,698,687,0.984,194,660,1829,1428,64
689296,434,428,0.986,286,0,1138,884,25
689296,427,419,0.981,605,48,1137,864,41
689296,472,470,0.996,195,84,1220,954,28
689296,373,366,0.981,239,0,942,748,36
689296,344,338,0.983,330,0,749,702,36
689296,581,572,0.985,258,240,1347,1178,68
689296,326,322,0.988,333,324,722,664,42
716887,519,510,0.983,492,192,1403,1081,43
716887,344,338,0.983,462,144,1008,739,36
716887,478,469,0.981,376,132,1312,979,39
716887,347,341,0.983,330,72,1006,728,33
716887,292,284,0.973,107,840,865,737,46
716887,719,704,0.979,830,360,1961,1461,62
716887,754,718,0.952,735,648,1882,1852,164
716887,327,323,0.988,439,96,1002,779,37
716887,716,700,0.978,735,528,2244,1692,74
716887,434,425,0.979,624,0,1246,989,51
716887,443,439,0.991,1125,0,1249,930,34
716887,489,484,0.99,310,24,1313,1005,35
716887,394,389,0.987,131,144,1020,794,33
716887,351,344,0.98,617,0,956,741,24
716887,611,604,0.989,526,144,1718,1302,66
716887,351,349,0.994,248,60,961,740,31
850624,521,520,0.998,377,60,1655,1047,7
850624,345,343,0.994,503,0,1093,693,8
850624,478,478,1,1802,0,1450,956,7
850624,354,353,0.997,294,48,1094,712,11
850624,296,293,0.99,33,228,818,605,9
850624,720,714,0.992,410,60,2500,1441,11
850624,738,725,0.982,381,744,2097,1533,52
850624,328,328,1,543,0,1132,658,2
850624,714,708,0.992,626,0,5751,1451,18
850624,439,438,0.998,205,0,1321,890,18
850624,443,441,0.995,831,0,1503,892,6
850624,489,487,0.996,602,0,1548,982,11
850624,394,391,0.992,565,0,1275,790,7
850624,351,346,0.986,276,0,886,704,27
850624,609,606,0.995,1284,0,2369,1226,6
850624,350,349,0.997,2756,0,1072,705,13
868171,521,519,0.996,116,0,1131,1052,31
868171,345,344,0.997,38,0,776,683,24
868171,478,477,0.998,81,0,1057,957,25
868171,355,353,0.994,62,24,791,711,17
868171,296,295,0.997,8,0,703,595,17
868171,722,688,0.953,136,0,1483,1435,125
868171,583,575,0.986,49,300,1242,1164,43
868171,328,328,1,237,0,892,663,16
868171,715,704,0.985,117,0,1790,1435,48
868171,438,434,0.991,0,0,947,879,31
868171,443,439,0.991,66,0,1001,889,26
868171,489,487,0.996,0,0,1127,979,29
868171,395,390,0.987,83,0,879,784,21
868171,351,344,0.98,71,0,821,698,41
868171,612,604,0.987,65,0,1408,1222,49
868171,351,351,1,63,0,870,705,17
920128,517,509,0.985,66,0,971,519,7
920128,328,324,0.988,58,0,644,339,3
920128,474,469,0.989,90,0,875,474,5
920128,336,332,0.988,24,0,648,349,3
920128,274,273,0.996,186,0,648,337,0
920128,713,699,0.98,64,0,1284,703,2
920128,714,699,0.979,374,0,1608,713,10
920128,316,311,0.984,132,0,811,316,3
920128,663,648,0.977,273,0,1711,665,12
920128,414,413,0.998,192,0,942,459,0
920128,431,426,0.988,48,0,853,430,4
920128,487,483,0.992,42,0,1015,491,4
920128,392,389,0.992,73,0,676,391,2
920128,347,344,0.991,192,0,674,343,1
920128,550,544,0.989,350,0,1403,547,2
920128,339,333,0.982,98,0,759,337,4
936445,520,516,0.992,120,24,1147,1038,9
936445,345,339,0.983,54,36,745,676,9
936445,478,472,0.987,102,36,1030,953,10
936445,355,345,0.972,65,36,773,700,7
936445,296,293,0.99,194,0,690,605,8
936445,725,708,0.977,167,84,1648,1443,10
936445,724,707,0.977,123,156,1651,1460,19
936445,328,318,0.97,0,108,728,667,25
936445,718,700,0.975,74,168,1643,1442,13
936445,438,428,0.977,197,0,970,888,12
936445,443,438,0.989,168,0,1013,896,5
936445,489,487,0.996,111,0,1094,984,8
936445,398,392,0.985,121,0,869,788,2
936445,350,346,0.989,133,0,836,720,6
936445,616,594,0.964,206,0,1452,1217,10
936445,350,349,0.997,66,24,794,711,6
936447,520,514,0.988,117,24,1149,1031,12
936447,345,338,0.98,56,48,782,671,6
936447,478,475,0.994,92,24,1052,952,6
936447,355,344,0.969,70,36,745,700,9
936447,296,295,0.997,241,0,695,608,5
936447,725,708,0.977,166,72,1611,1381,9
936447,724,704,0.972,96,168,1632,1379,22
936447,328,325,0.991,31,108,755,636,6
936447,718,705,0.982,97,120,1632,1286,11
936447,438,434,0.991,230,0,1010,898,6
936447,443,438,0.989,162,0,991,881,9
936447,489,486,0.994,119,0,1099,974,13
936447,398,392,0.985,114,0,864,784,1
936447,350,344,0.983,148,0,818,687,6
936447,616,597,0.969,102,96,1492,1158,8
936447,350,349,0.997,97,36,773,648,5
936448,520,515,0.99,107,36,1123,1035,11
936448,345,340,0.986,58,60,749,675,11
936448,478,475,0.994,83,48,1018,952,6
936448,354,344,0.972,67,36,742,700,9
936448,296,293,0.99,190,24,688,606,7
936448,720,705,0.979,160,108,1607,1383,15
936448,722,704,0.975,16,288,1678,1386,30
936448,328,322,0.982,0,168,738,636,19
936448,714,703,0.985,107,144,1599,1296,13
936448,438,434,0.991,177,0,1003,898,13
936448,443,436,0.984,204,0,1007,881,9
936448,489,488,0.998,108,0,1097,974,11
936448,394,391,0.992,132,0,883,786,8
936448,350,343,0.98,151,12,806,685,7
936448,609,598,0.982,151,60,1462,1168,12
936448,350,343,0.98,60,36,753,648,12
559682,521,517,0.992,465,0,1367,1048,19
559682,339,337,0.994,60,96,803,684,22
559682,478,477,0.998,120,0,1279,965,19
559682,348,346,0.994,59,0,888,699,13
559682,296,294,0.993,179,288,807,632,27
559682,718,716,0.997,143,0,1867,1436,19
559682,761,640,0.841,1108,0,1746,1709,240
559682,328,316,0.963,388,0,897,726,47
559682,712,699,0.982,27,732,1924,1582,94
559682,438,436,0.995,47,144,1119,881,22
559682,441,434,0.984,214,0,1162,921,26
559682,488,487,0.998,85,0,1248,977,23
559682,393,391,0.995,7,0,995,786,17
559682,351,348,0.991,215,312,922,730,26
559682,605,596,0.985,300,540,1703,1334,81
559682,349,346,0.991,250,216,958,724,30
867042,521,518,0.994,636,0,1494,1048,40
867042,339,273,0.805,0,240,715,683,142
867042,478,474,0.992,199,0,1436,960,44
867042,348,345,0.991,101,0,900,703,31
867042,296,288,0.973,122,240,758,607,41
867042,718,707,0.985,343,0,1987,1435,58
867042,759,731,0.963,741,0,1887,1614,133
867042,328,318,0.97,360,0,852,672,51
867042,712,691,0.971,410,408,1943,1504,88
867042,437,429,0.982,59,228,1057,895,71
867042,441,436,0.989,415,0,1286,887,43
867042,488,481,0.986,208,0,1218,980,55
867042,394,390,0.99,163,0,1050,784,32
867042,350,338,0.966,172,336,888,712,56
867042,605,593,0.98,383,300,1908,1281,65
867042,350,346,0.989,263,180,946,704,34
867043,521,518,0.994,300,0,1405,1047,24
867043,339,335,0.988,248,0,921,677,20
867043,478,475,0.994,242,0,1314,963,38
867043,348,346,0.994,226,0,973,701,13
867043,296,295,0.997,258,324,947,619,21
867043,718,710,0.989,138,0,1943,1434,33
867043,762,744,0.976,1897,0,2308,1640,90
867043,328,322,0.982,707,0,1008,713,33
867043,712,698,0.98,568,384,2366,1542,75
867043,437,431,0.986,172,240,1238,888,23
867043,440,435,0.989,310,0,1243,889,23
867043,488,485,0.994,208,0,1376,976,20
867043,394,386,0.98,131,0,1043,784,19
867043,350,344,0.983,456,204,1117,711,22
867043,606,597,0.985,207,300,1960,1273,48
867043,350,348,0.994,410,120,1100,700,9
908126,521,519,0.996,317,0,1318,1043,21
908126,339,336,0.991,16,60,786,677,20
908126,478,477,0.998,102,0,1096,956,20
908126,348,348,1,58,0,816,697,14
908126,296,293,0.99,0,144,666,602,39
908126,718,713,0.993,160,0,1734,1433,29
908126,761,745,0.979,449,0,1926,1537,84
908126,328,325,0.991,247,0,852,667,20
908126,712,706,0.992,43,312,1767,1461,60
908126,438,431,0.984,0,144,966,877,47
908126,440,435,0.989,228,0,1078,881,18
908126,488,486,0.996,78,0,1197,979,22
908126,394,391,0.992,58,0,927,784,16
