Vendor,WEEK_NBR,Item,Description,Size,UPC,DC,Active Flag,AIM STR CNT,AIM INSTK STORE CNT,Store In Stock %,DC BOH Turn,DC BOO Turn,Store BOH,Store TIL,Need for Store TIL
19366,201151,804093,CVS AGE REF NT CRM,2.5Z,5042889657,NJ,Y,625,602,96.3%,43,132,1323,721,35
19366,201151,804093,CVS AGE REF NT CRM,2.5Z,5042889657,OR,Y,283,277,97.9%,114,0,614,394,13
19366,201151,804093,CVS AGE REF NT CRM,2.5Z,5042889657,PA,Y,272,260,95.6%,14,84,496,308,16
19366,201151,804093,CVS AGE REF NT CRM,2.5Z,5042889657,SC,Y,226,213,94.2%,550,0,444,257,13
19366,201151,804093,CVS AGE REF NT CRM,2.5Z,5042889657,TN,Y,141,135,95.7%,32,0,260,152,8
19366,201151,804093,CVS AGE REF NT CRM,2.5Z,5042889657,UC,Y,366,344,94.0%,94,36,886,507,37
19366,201151,804093,CVS AGE REF NT CRM,2.5Z,5042889657,WN,Y,539,509,94.4%,0,216,1034,622,36
19366,201151,804093,CVS AGE REF NT CRM,2.5Z,5042889657,YK,Y,232,212,91.4%,0,36,444,275,27
19366,201151,804094,CVS AG REF DAY CRM,2.5Z,5042845212,AL,Y,230,47,20.4%,510,0,82,253,202
19366,201151,804094,CVS AG REF DAY CRM,2.5Z,5042845212,CR,Y,230,225,97.8%,50,0,464,270,4
19366,201151,804094,CVS AG REF DAY CRM,2.5Z,5042845212,DT,Y,298,291,97.7%,47,0,616,326,7
19366,201151,804094,CVS AG REF DAY CRM,2.5Z,5042845212,EN,Y,233,218,93.6%,42,0,431,271,20
19366,201151,804094,CVS AG REF DAY CRM,2.5Z,5042845212,FL,Y,245,238,97.1%,27,48,436,269,7
19366,201151,804094,CVS AG REF DAY CRM,2.5Z,5042845212,IN,Y,444,408,91.9%,0,108,901,514,44
19366,201151,804094,CVS AG REF DAY CRM,2.5Z,5042845212,LA,Y,547,515,94.1%,33,204,1119,744,47
19366,201151,804094,CVS AG REF DAY CRM,2.5Z,5042845212,MA,Y,268,242,90.3%,0,72,558,297,29
19366,201151,804094,CVS AG REF DAY CRM,2.5Z,5042845212,NJ,Y,639,612,95.8%,82,144,1346,674,28
19366,201151,804094,CVS AG REF DAY CRM,2.5Z,5042845212,OR,Y,289,284,98.3%,230,0,541,333,6
19366,201151,804094,CVS AG REF DAY CRM,2.5Z,5042845212,PA,Y,276,254,92.0%,24,72,548,297,27
19366,201151,804094,CVS AG REF DAY CRM,2.5Z,5042845212,SC,Y,230,224,97.4%,516,0,413,245,7
19366,201151,804094,CVS AG REF DAY CRM,2.5Z,5042845212,TN,Y,141,136,96.5%,32,0,292,148,5
19366,201151,804094,CVS AG REF DAY CRM,2.5Z,5042845212,UC,Y,374,346,92.5%,88,60,785,494,35
19366,201151,804094,CVS AG REF DAY CRM,2.5Z,5042845212,WN,Y,542,494,91.1%,0,240,1009,579,52
19366,201151,804094,CVS AG REF DAY CRM,2.5Z,5042845212,YK,Y,233,222,95.3%,19,48,494,242,13
19366,201151,804095,CVS AG REF EYE CRM,0.5Z,5042844325,AL,Y,216,58,26.9%,533,0,102,238,172
19366,201151,804095,CVS AG REF EYE CRM,0.5Z,5042844325,CR,Y,223,220,98.7%,30,0,478,260,2
19366,201151,804095,CVS AG REF EYE CRM,0.5Z,5042844325,DT,Y,280,259,92.5%,43,0,571,307,21
19366,201151,804095,CVS AG REF EYE CRM,0.5Z,5042844325,EN,Y,230,226,98.3%,22,0,440,254,5
19366,201151,804095,CVS AG REF EYE CRM,0.5Z,5042844325,FL,Y,232,227,97.8%,2,36,472,253,5
19366,201151,804095,CVS AG REF EYE CRM,0.5Z,5042844325,IN,Y,435,426,97.9%,205,0,1009,501,9
19366,201151,804095,CVS AG REF EYE CRM,0.5Z,5042844325,LA,Y,539,495,91.8%,0,180,1092,714,62
19366,201151,804095,CVS AG REF EYE CRM,0.5Z,5042844325,MA,Y,250,237,94.8%,0,60,461,278,14
19366,201151,804095,CVS AG REF EYE CRM,0.5Z,5042844325,NJ,Y,596,538,90.3%,0,96,1149,646,67
19366,201151,804095,CVS AG REF EYE CRM,0.5Z,5042844325,OR,Y,282,277,98.2%,608,0,572,315,8
19366,201151,804095,CVS AG REF EYE CRM,0.5Z,5042844325,PA,Y,266,245,92.1%,0,60,505,294,25
19366,201151,804095,CVS AG REF EYE CRM,0.5Z,5042844325,SC,Y,215,209,97.2%,914,0,420,232,6
19366,201151,804095,CVS AG REF EYE CRM,0.5Z,5042844325,TN,Y,139,134,96.4%,39,0,249,146,5
19366,201151,804095,CVS AG REF EYE CRM,0.5Z,5042844325,UC,Y,367,332,90.5%,8,24,804,407,41
19366,201151,804095,CVS AG REF EYE CRM,0.5Z,5042844325,WN,Y,502,460,91.6%,0,132,938,545,47
19366,201151,804095,CVS AG REF EYE CRM,0.5Z,5042844325,YK,Y,219,206,94.1%,41,0,444,229,13
19366,201151,807138,CVS SKN TRTMT CSPR,3Z,5042897162,LA,Y,46,46,100.0%,12,0,135,74,0
19366,201151,807138,CVS SKN TRTMT CSPR,3Z,5042897162,YK,Y,14,14,100.0%,48,0,33,17,0
19366,201151,827731,CVS DEEP CLNS SCRB,6Z,5042883383,AL,Y,496,437,88.1%,320,348,925,1000,208
19366,201151,827731,CVS DEEP CLNS SCRB,6Z,5042883383,CR,Y,314,304,96.8%,464,0,694,638,59
19366,201151,827731,CVS DEEP CLNS SCRB,6Z,5042883383,DT,Y,452,429,94.9%,366,0,982,925,122
19366,201151,827731,CVS DEEP CLNS SCRB,6Z,5042883383,EN,Y,319,302,94.7%,239,0,650,641,84
19366,201151,827731,CVS DEEP CLNS SCRB,6Z,5042883383,FL,Y,292,283,96.9%,46,300,682,595,58
19366,201151,827731,CVS DEEP CLNS SCRB,6Z,5042883383,IN,Y,668,631,94.5%,0,672,1487,1357,161
19366,201151,827731,CVS DEEP CLNS SCRB,6Z,5042883383,LA,Y,618,559,90.5%,0,1332,1401,1311,263
