basis,aim-store-count,instock-store-count,dc-on-hand,dc-on-order,store-on-hand,target-inventory-level,need-for-til
276778,495,488,49,54,1167,786,59
276778,314,312,64,0,751,485,22
276778,453,439,54,0,1232,686,24
276778,318,307,66,0,633,478,39
276778,292,286,1,60,635,451,23
276778,666,658,13,60,1649,982,18
276778,618,612,18,192,1426,1035,58
276778,318,309,21,42,825,416,18
276778,685,639,0,90,1488,826,64
276778,425,418,85,54,915,702,45
276778,468,457,38,78,1045,667,19
276778,479,469,32,72,1067,738,46
276778,389,383,103,0,958,632,18
276778,418,411,72,24,1173,594,18
276778,591,553,0,168,1139,760,56
276778,296,280,0,24,656,388,23
330002,497,477,32,180,1044,708,37
330002,314,304,202,0,742,432,19
330002,450,439,141,0,1373,624,15
330002,318,290,18,0,646,437,48
330002,291,277,1,132,511,373,20
330002,662,650,170,0,2010,913,16
330002,617,594,137,36,1136,913,49
330002,318,284,0,72,570,380,39
330002,685,661,257,0,1416,783,28
330002,424,418,119,48,1017,617,21
330002,470,457,104,0,1284,626,18
330002,479,470,83,108,1108,674,24
330002,389,381,56,0,1100,575,10
330002,419,404,152,180,768,523,24
330002,591,571,217,60,1217,726,24
330002,296,284,34,36,767,369,15
249816,497,481,179,48,1081,628,28
249816,314,304,158,0,658,373,16
249816,453,443,187,0,975,580,16
249816,320,310,149,0,672,374,17
249816,289,278,101,96,677,428,20
249816,669,656,211,168,1579,844,26
249816,619,601,189,504,1319,780,37
249816,318,310,158,180,763,473,31
249816,683,645,341,192,1508,886,73
249816,433,427,58,192,1082,546,20
249816,470,458,207,132,990,629,24
249816,481,469,183,108,1058,625,20
249816,389,376,204,0,821,526,20
249816,452,432,2474,108,1158,595,39
249816,590,568,24,456,1372,779,45
249816,296,287,17,84,662,390,17
308266,497,489,159,108,1439,1022,44
308266,315,312,213,0,963,674,35
308266,451,447,151,0,1362,913,30
308266,320,315,163,0,859,652,32
308266,290,286,110,168,918,726,39
308266,667,661,133,72,2154,1360,52
308266,623,614,798,0,1904,1338,80
308266,316,313,0,192,1013,655,37
308266,689,680,1534,0,2415,1401,49
308266,429,425,34,180,1448,948,44
308266,468,464,247,156,1377,949,38
308266,481,478,160,96,1564,975,23
308266,387,384,140,0,1062,783,28
308266,454,441,498,72,1259,986,84
308266,591,590,1158,0,2063,1224,33
308266,294,293,460,0,927,609,16
327095,497,494,315,0,1324,752,7
327095,314,314,411,0,840,552,3
327095,453,451,721,0,1335,644,3
327095,320,319,994,0,863,574,8
327095,292,291,736,0,813,509,14
327095,670,670,324,0,2032,1076,8
327095,618,613,638,0,1635,1155,31
327095,317,315,1100,0,864,471,13
327095,684,676,1394,0,2590,1056,23
327095,438,436,877,0,1493,782,16
327095,470,467,344,0,1316,656,13
327095,480,477,932,0,1224,683,8
327095,389,389,293,0,1160,530,1
327095,443,440,420,0,1492,804,19
327095,591,585,544,0,1486,885,20
327095,295,293,45,0,801,441,8
460400,496,478,83,132,1376,1023,88
460400,314,307,156,0,845,705,72
460400,453,448,151,0,1211,911,30
460400,319,301,137,0,780,758,150
460400,292,288,168,120,914,767,66
460400,666,658,192,180,1875,1379,50
460400,618,610,237,732,1670,1364,85
460400,317,312,58,144,926,647,28
460400,685,674,202,204,2100,1392,65
460400,438,430,168,156,1295,1094,126
460400,470,467,291,0,1276,946,32
460400,477,474,117,96,1357,964,31
460400,388,382,124,0,1036,779,29
460400,443,435,727,96,1300,938,78
460400,591,587,137,276,1839,1188,35
460400,296,292,97,72,849,596,20
460403,496,491,41,84,1343,993,21
460403,313,310,137,0,909,630,19
460403,452,449,57,0,1288,907,22
460403,319,307,23,0,815,639,48
460403,292,290,15,108,822,669,32
460403,661,657,322,0,1864,1348,32
460403,616,602,171,636,1645,1323,73
460403,299,297,0,96,893,608,10
460403,644,641,598,0,2036,1304,39
460403,439,431,185,48,1247,919,49
460403,467,466,82,72,1303,939,14
460403,481,473,3,96,1350,965,33
460403,389,388,89,0,1094,784,13
460403,441,438,549,0,1229,947,77
460403,576,574,98,180,1780,1160,21
460403,294,285,226,0,783,591,32
460423,497,481,108,96,1500,1164,116
460423,314,310,144,0,987,770,55
460423,453,453,122,0,1406,1024,14
460423,320,317,149,0,926,751,43
460423,292,288,48,108,964,713,46
460423,669,666,59,120,2173,1553,38
460423,618,612,29,432,1724,1484,114
460423,318,316,19,84,1042,725,25
460423,685,682,199,108,2305,1560,44
460423,438,435,61,120,1407,1010,47
460423,470,468,215,12,1466,1074,28
460423,479,479,19,120,1429,1097,54
460423,388,387,100,0,1143,880,14
460423,418,387,229,24,1047,918,120
460423,590,586,0,240,1903,1349,43
460423,296,293,105,36,936,688,24
480957,497,492,197,0,1111,503,8
480957,312,305,723,0,725,314,8
480957,453,449,1014,0,1015,458,4
480957,320,318,102,0,665,323,2
480957,288,282,79,60,691,381,22
480957,669,665,208,0,1637,678,6
480957,617,605,107,144,1347,658,16
480957,312,308,358,0,708,323,4
480957,681,659,28,180,1612,701,22
480957,433,425,1105,0,1018,469,15
480957,467,461,73,0,998,479,7
480957,480,478,380,0,1119,480,2
480957,387,385,105,0,841,389,2
480957,440,430,183,84,1097,504,13
480957,587,579,82,144,1333,611,9
480957,296,292,99,0,728,307,4
488681,491,480,121,0,1875,978,25
488681,314,313,106,0,861,628,8
488681,451,449,107,0,1179,902,12
488681,318,317,119,0,775,636,18
488681,292,292,57,0,751,598,12
488681,650,648,124,0,1784,1301,25
488681,614,609,374,0,1484,1234,48
488681,313,306,133,0,794,626,28
488681,669,660,231,0,2526,1338,34
488681,436,434,145,0,1208,874,13
488681,460,458,72,0,1195,920,21
488681,474,472,94,0,1585,946,23
488681,382,380,114,0,1408,764,12
488681,446,445,114,0,1320,900,24
488681,576,573,261,0,1395,1152,33
488681,285,282,28,0,788,571,16
689296,340,324,138,132,774,681,76
689296,288,287,177,0,721,579,22
689296,261,252,123,0,591,522,46
689296,292,289,130,0,662,585,33
689296,285,280,56,108,745,645,40
689296,490,487,20,240,1231,986,46
689296,597,587,53,720,1425,1230,91
689296,210,205,45,132,513,426,28
689296,508,489,189,168,1264,1025,88
689296,416,412,22,204,1024,866,51
689296,260,256,148,144,636,525,36
689296,269,264,52,132,619,540,33
689296,202,199,152,0,496,419,23
689296,439,433,398,216,1065,914,77
689296,422,421,215,336,1051,849,44
689296,197,193,38,84,494,405,28
716887,494,488,353,180,1209,994,42
716887,314,307,314,0,818,637,41
716887,453,446,229,0,1160,908,45
716887,313,309,313,0,745,628,30
716887,291,286,335,216,793,660,45
716887,667,661,144,276,1734,1340,50
716887,618,606,462,684,1590,1279,91
716887,314,309,203,216,835,673,53
716887,683,661,550,420,1904,1409,103
716887,434,423,226,288,1083,910,68
716887,470,463,344,216,1157,949,54
716887,477,469,227,120,1216,959,48
716887,387,380,240,0,933,777,33
716887,438,425,408,216,1105,930,83
716887,591,583,423,516,1589,1190,67
716887,296,294,27,120,763,596,23
716882,282,282,131,0,840,566,10
716882,284,284,59,0,740,574,13
716883,282,281,45,0,915,578,10
716883,298,298,114,0,910,604,5
848334,226,225,96,0,624,450,4
848334,216,216,96,0,552,430,1
848334,290,290,71,0,799,576,1
848334,221,220,234,0,566,438,3
848334,225,224,119,12,589,450,3
848334,418,418,201,0,1129,836,3
848334,524,520,207,0,1374,1045,16
848334,229,228,179,0,689,463,2
848334,572,565,422,0,1798,1143,19
848334,279,279,286,0,1031,558,1
848334,271,269,185,0,782,540,2
848334,224,224,287,0,678,448,2
848334,138,136,174,0,413,274,2
