Vendor,Fiscal Week,Cat,Item,Description,Size,UPC,DC,AIM Store Cnt,Instock Store Cnt,Store In Stock %,DC BOH Turn,DC BOO Turn,Store BOH,TIL,Need for TIL,Unit Cost
10008,201447,66,276778,CVS WRKL THPY,5Z,5042806495,AL,401,396,98.6%,66,0,1006,801,12,8.42
10008,201447,66,276778,CVS WRKL THPY,5Z,5042806495,CR,394,391,99.2%,129,0,1027,782,14,8.42
10008,201447,66,276778,CVS WRKL THPY,5Z,5042806495,DT,449,429,95.5%,115,6,1205,898,31,8.42
10008,201447,66,276778,CVS WRKL THPY,5Z,5042806495,EN,502,499,99.4%,148,0,1314,999,13,8.42
10008,201447,66,276778,CVS WRKL THPY,5Z,5042806495,FL,313,305,97.4%,54,0,926,623,8,8.42
10008,201447,66,276778,CVS WRKL THPY,5Z,5042806495,IN,648,644,99.4%,166,0,1669,1293,16,8.42
10008,201447,66,276778,CVS WRKL THPY,5Z,5042806495,LA,774,769,99.4%,170,0,2707,1534,13,8.42
10008,201447,66,276778,CVS WRKL THPY,5Z,5042806495,MA,333,313,94.0%,63,0,880,661,38,8.42
10008,201447,66,276778,CVS WRKL THPY,5Z,5042806495,NJ,659,612,92.8%,0,150,2076,1349,77,8.42
10008,201447,66,276778,CVS WRKL THPY,5Z,5042806495,OR,369,366,99.1%,61,0,926,738,13,8.42
10008,201447,66,276778,CVS WRKL THPY,5Z,5042806495,PA,476,472,99.2%,97,0,1223,955,24,8.42
10008,201447,66,276778,CVS WRKL THPY,5Z,5042806495,SC,508,501,98.6%,8,18,1308,1016,27,8.42
10008,201447,66,276778,CVS WRKL THPY,5Z,5042806495,TN,448,441,98.4%,148,0,1247,896,19,8.42
10008,201447,66,276778,CVS WRKL THPY,5Z,5042806495,UC,345,342,99.0%,16,24,1225,689,6,8.42
10008,201447,66,276778,CVS WRKL THPY,5Z,5042806495,WN,609,584,95.9%,0,102,1710,1259,38,8.42
10008,201447,66,276778,CVS WRKL THPY,5Z,5042806495,YK,416,411,98.8%,95,0,1248,829,15,8.42
10008,201447,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,AL,396,385,97.3%,135,0,842,398,11,8.15
10008,201447,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,CR,391,386,98.6%,85,0,849,392,6,8.15
10008,201447,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,DT,445,433,97.2%,0,96,977,445,12,8.15
10008,201447,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,EN,495,470,95.0%,2,144,1067,503,25,8.15
10008,201447,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,FL,307,296,96.5%,12,84,779,310,15,8.15
10008,201447,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,IN,631,609,96.6%,24,156,1253,633,27,8.15
10008,201447,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,LA,785,778,99.1%,0,168,2416,806,7,8.15
10008,201447,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,MA,322,313,97.1%,0,84,734,324,6,8.15
10008,201447,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,NJ,632,599,94.8%,0,432,1433,667,40,8.15
10008,201447,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,OR,363,349,96.1%,110,0,709,366,15,8.15
10008,201447,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,PA,465,443,95.3%,0,144,937,469,28,8.15
10008,201447,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,SC,501,477,95.2%,0,120,993,502,29,8.15
10008,201447,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,TN,441,423,95.8%,12,96,858,442,24,8.15
10008,201447,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,UC,340,337,99.1%,64,12,981,340,1,8.15
10008,201447,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,WN,587,575,97.9%,175,0,1566,632,11,8.15
10008,201447,66,973898,PREVENTIN DAY CRM,1.7Z,5042849463,YK,407,396,97.4%,2,144,979,416,17,8.15
10008,201447,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,AL,395,393,99.5%,85,0,952,396,2,8.15
10008,201447,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,CR,388,383,98.7%,239,0,949,392,6,8.15
10008,201447,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,DT,439,437,99.4%,211,0,1191,440,0,8.15
10008,201447,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,EN,497,494,99.4%,332,0,1342,506,5,8.15
10008,201447,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,FL,304,302,99.4%,149,0,954,310,2,8.15
10008,201447,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,IN,634,634,99.9%,378,0,1616,635,2,8.15
10008,201447,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,LA,783,776,99.1%,305,0,2920,791,8,8.15
10008,201447,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,MA,304,300,98.6%,178,0,794,308,6,8.15
10008,201447,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,NJ,592,572,96.6%,137,24,1765,617,15,8.15
10008,201447,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,OR,344,343,99.8%,0,48,879,345,1,8.15
10008,201447,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,PA,464,462,99.6%,293,0,1254,468,3,8.15
10008,201447,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,SC,501,498,99.4%,65,24,1268,501,3,8.15
10008,201447,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,TN,447,444,99.4%,279,0,1152,447,2,8.15
10008,201447,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,UC,325,324,99.7%,173,0,1112,325,1,8.15
10008,201447,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,WN,568,565,99.5%,270,0,1869,615,4,8.15
10008,201447,66,973899,PREVENTIN NIGHT CR,1.7Z,5042849140,YK,399,392,98.2%,227,0,1263,402,5,8.15
10008,201447,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,AL,394,393,99.9%,72,0,1058,515,4,4.48
10008,201447,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,CR,388,386,99.6%,156,0,1064,564,5,4.48
10008,201447,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,DT,438,437,99.8%,217,0,1240,538,4,4.48
10008,201447,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,EN,495,493,99.7%,245,0,1469,674,9,4.48
10008,201447,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,FL,304,303,99.7%,121,0,1006,367,2,4.48
10008,201447,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,IN,634,631,99.5%,281,0,1699,850,9,4.48
10008,201447,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,LA,782,778,99.5%,182,0,3236,1091,8,4.48
10008,201447,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,MA,307,305,99.4%,163,0,781,372,4,4.48
10008,201447,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,NJ,591,589,99.7%,182,0,1908,699,4,4.48
10008,201447,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,OR,344,342,99.3%,114,0,947,490,5,4.48
10008,201447,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,PA,463,462,99.7%,222,0,1366,610,3,4.48
10008,201447,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,SC,501,500,99.8%,164,0,1371,613,3,4.48
10008,201447,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,TN,444,442,99.6%,142,0,1428,613,3,4.48
10008,201447,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,UC,325,324,99.6%,148,0,1156,398,3,4.48
10008,201447,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,WN,563,559,99.3%,270,0,1915,709,5,4.48
10008,201447,66,973901,PREVENTIN EYE CRM,.5Z,5042849357,YK,396,396,99.9%,222,0,1295,473,3,4.48
10127,201447,6,200964,CVS MUSCLE RUB,3Z,5042848018,AL,400,395,98.9%,142,288,1171,819,29,2
10127,201447,6,200964,CVS MUSCLE RUB,3Z,5042848018,CR,392,382,97.6%,1020,0,1034,836,41,2
10127,201447,6,200964,CVS MUSCLE RUB,3Z,5042848018,MA,327,321,98.1%,513,0,1105,746,27,2
10127,201447,6,200964,CVS MUSCLE RUB,3Z,5042848018,WN,606,593,97.9%,325,792,1990,1380,50,2
10127,201447,6,213140,CVS ARTHRICREAM RB,3Z,5042837498,AL,401,382,95.3%,193,360,1563,846,55,1.38
10127,201447,6,213140,CVS ARTHRICREAM RB,3Z,5042837498,CR,400,385,96.3%,207,360,1791,853,41,1.38
10127,201447,6,213140,CVS ARTHRICREAM RB,3Z,5042837498,MA,334,327,97.9%,825,0,1989,789,23,1.38
10127,201447,6,213140,CVS ARTHRICREAM RB,3Z,5042837498,WN,613,602,98.2%,2332,0,4474,1426,40,1.38
10127,201447,6,237741,CVS ITCH REL SPR,2Z,5042841765,AL,401,399,99.5%,95,72,1948,819,13,1.4
10127,201447,6,237741,CVS ITCH REL SPR,2Z,5042841765,CR,398,392,98.5%,720,0,1173,841,26,1.4
10127,201447,6,237741,CVS ITCH REL SPR,2Z,5042841765,DT,449,448,99.8%,2931,0,1489,921,9,1.4
10127,201447,6,237741,CVS ITCH REL SPR,2Z,5042841765,EN,505,500,99.0%,127,0,1590,1066,26,1.4
10127,201447,6,237741,CVS ITCH REL SPR,2Z,5042841765,FL,313,310,98.9%,1572,0,1087,697,18,1.4
10127,201447,6,237741,CVS ITCH REL SPR,2Z,5042841765,IN,649,646,99.6%,9869,0,2204,1338,17,1.4
10127,201447,6,237741,CVS ITCH REL SPR,2Z,5042841765,LA,762,755,99.1%,388,72,2347,1707,35,1.4
10127,201447,6,237741,CVS ITCH REL SPR,2Z,5042841765,MA,333,331,99.4%,222,0,1222,749,8,1.4
10127,201447,6,237741,CVS ITCH REL SPR,2Z,5042841765,NJ,660,658,99.7%,2635,0,3122,1560,23,1.4
10127,201447,6,237741,CVS ITCH REL SPR,2Z,5042841765,OR,368,362,98.3%,1227,0,1053,759,28,1.4
10127,201447,6,237741,CVS ITCH REL SPR,2Z,5042841765,PA,475,474,99.7%,1438,0,1592,960,13,1.4
10127,201447,6,237741,CVS ITCH REL SPR,2Z,5042841765,SC,506,501,99.0%,496,0,1461,1016,25,1.4
10127,201447,6,237741,CVS ITCH REL SPR,2Z,5042841765,TN,443,437,98.7%,1119,0,1407,888,18,1.4
10127,201447,6,237741,CVS ITCH REL SPR,2Z,5042841765,UC,342,339,99.1%,326,0,997,781,28,1.4
10127,201447,6,237741,CVS ITCH REL SPR,2Z,5042841765,WN,604,603,99.9%,1422,0,2991,1358,13,1.4
10127,201447,6,237741,CVS ITCH REL SPR,2Z,5042841765,YK,412,410,99.4%,4328,0,1942,846,10,1.4
10127,201447,6,237755,CVS ITCH RELIF GEL,4Z,5042843259,AL,401,399,99.4%,433,0,1254,822,19,1.55
10127,201447,6,237755,CVS ITCH RELIF GEL,4Z,5042843259,CR,398,388,97.6%,463,0,1117,839,41,1.55
10127,201447,6,237755,CVS ITCH RELIF GEL,4Z,5042843259,DT,449,445,99.2%,512,0,1316,921,15,1.55
10127,201447,6,237755,CVS ITCH RELIF GEL,4Z,5042843259,EN,506,501,99.0%,287,0,1622,1066,28,1.55
10127,201447,6,237755,CVS ITCH RELIF GEL,4Z,5042843259,FL,313,308,98.4%,438,0,1136,701,17,1.55
10127,201447,6,237755,CVS ITCH RELIF GEL,4Z,5042843259,IN,649,646,99.6%,1159,0,1984,1338,12,1.55
10127,201447,6,237755,CVS ITCH RELIF GEL,4Z,5042843259,LA,797,782,98.1%,488,288,2671,1860,73,1.55
10127,201447,6,237755,CVS ITCH RELIF GEL,4Z,5042843259,MA,333,330,99.1%,529,0,1392,749,10,1.55
10127,201447,6,237755,CVS ITCH RELIF GEL,4Z,5042843259,NJ,660,651,98.6%,760,0,2695,1560,34,1.55
10127,201447,6,237755,CVS ITCH RELIF GEL,4Z,5042843259,OR,369,362,98.0%,1305,0,1190,782,34,1.55
