basis,aim-store-count,instock-store-count,dc-on-hand,dc-on-order,store-on-hand,target-inventory-level,need-for-til
276778,401,363,98,42,860,801,98
276778,385,307,228,246,650,776,177
276778,449,365,210,60,877,900,184
276778,494,467,37,84,1047,984,82
276778,307,295,6,60,646,618,39
276778,644,566,180,48,1273,1287,204
276778,769,675,129,150,1674,1529,167
276778,326,269,140,66,702,657,116
276778,654,563,95,174,1546,1343,154
276778,370,309,54,210,688,739,107
276778,475,451,25,54,1075,950,42
276778,508,501,8,54,1167,1015,49
276778,446,441,24,60,1133,892,45
276778,341,328,15,36,1001,684,19
276778,608,406,504,222,786,1259,341
276778,410,349,140,24,830,823,102
973898,396,396,0,0,44,396,373
973898,388,388,0,240,22,388,376
973898,445,445,170,0,231,445,328
973898,493,493,0,0,954,494,16
973898,304,304,65,0,591,304,12
973898,630,630,36,0,46,629,607
973898,785,785,476,0,155,824,709
973898,319,319,0,192,43,320,299
973898,1260,1260,24,180,103,658,580
973898,362,362,0,0,435,362,144
973898,463,463,10,0,754,464,93
973898,499,499,0,0,817,499,90
973898,440,440,1,0,878,440,3
973898,336,336,258,0,452,336,144
973898,1166,1166,0,0,19,627,576
973898,405,405,14,0,286,411,263
973899,395,388,45,36,792,401,7
973899,383,378,19,108,758,398,6
973899,440,435,62,48,905,452,7
973899,490,483,60,36,1037,506,9
973899,300,293,118,12,619,311,8
973899,630,620,120,0,1275,646,13
973899,782,753,236,120,1806,825,29
973899,299,294,91,96,599,318,6
973899,589,582,50,168,1240,641,8
973899,345,341,34,36,699,348,5
973899,463,460,132,0,959,485,3
973899,500,494,58,48,1014,504,7
973899,447,441,92,0,940,457,5
973899,322,319,133,60,774,338,4
973899,567,562,242,120,1198,630,5
973899,396,392,189,0,811,411,4
973901,394,392,248,0,905,524,9
973901,383,380,236,60,892,560,12
973901,439,435,318,0,1029,552,6
973901,488,484,254,0,1174,679,12
973901,300,294,184,0,681,371,11
973901,630,622,378,0,1397,851,17
973901,780,768,189,84,2215,1125,21
973901,300,293,470,60,483,369,12
973901,588,578,200,144,1356,717,15
973901,345,342,177,0,780,494,8
973901,462,457,319,0,1079,627,9
973901,500,496,339,0,1171,623,8
973901,444,442,80,0,1315,616,6
973901,322,317,218,12,845,414,9
973901,563,554,392,0,1320,730,15
973901,393,391,312,0,955,477,3
200964,400,395,511,0,1061,814,29
200964,384,379,1572,0,955,798,34
200964,319,311,408,432,984,741,42
200964,605,598,1468,0,2078,1432,53
213140,401,388,486,0,2047,889,42
213140,393,384,104,360,1733,869,40
213140,326,319,214,1080,2726,938,17
213140,612,606,1711,720,4898,1672,31
237741,401,394,214,0,1553,970,33
237741,391,386,1203,0,1359,969,49
237741,450,448,3044,0,1642,1032,9
237741,497,493,585,0,1774,1247,47
237741,309,307,2040,0,1389,895,20
237741,644,641,10124,0,2406,1608,29
237741,762,740,1621,0,2451,1819,111
237741,325,316,479,0,1370,902,31
237741,657,651,2870,0,3648,2413,40
237741,369,365,826,936,1291,993,57
237741,474,473,1616,0,1789,1149,20
237741,506,493,204,720,1605,1308,79
237741,443,440,1290,0,1627,1123,36
237741,339,336,699,0,1170,816,27
237741,604,602,1518,0,3396,1731,12
237741,409,408,4451,0,2186,1194,11
237755,401,349,593,0,1004,957,148
237755,391,367,158,576,1155,958,57
237755,450,371,1010,0,1061,1028,103
237755,497,478,1180,0,1519,1245,72
237755,309,307,1066,0,1305,837,18
237755,642,576,301,1728,1726,1574,97
237755,795,771,633,936,2629,2303,160
237755,325,319,989,0,1459,981,39
237755,656,649,1418,144,2983,2034,60
237755,370,362,28,720,1297,1069,70
237755,474,470,557,360,1523,1294,57
237755,506,208,1944,0,261,1304,455
237755,443,437,138,720,1428,1113,47
237755,339,323,725,0,1006,818,30
237755,604,546,1063,0,2082,1665,73
237755,409,409,898,0,1733,1084,21
249816,401,385,163,156,916,823,69
249816,393,385,25,504,977,827,35
249816,451,417,414,0,1050,937,63
249816,498,490,384,0,1238,1033,49
249816,309,306,97,552,897,697,36
249816,646,629,176,396,1605,1340,43
249816,796,716,515,300,2323,2011,114
249816,326,247,0,804,610,785,159
249816,658,648,347,0,1954,1606,74
249816,370,365,1,600,976,795,37
249816,478,474,0,1044,1200,1018,43
249816,509,502,510,0,1133,1040,49
249816,449,443,647,0,1020,911,43
249816,344,324,113,252,905,792,37
249816,608,560,1503,0,1619,1465,66
249816,415,409,147,624,971,874,42
308266,401,399,211,204,1682,1006,33
308266,393,388,169,228,1635,1144,34
308266,451,437,66,156,1523,1066,66
