basis,aim-store-count,instock-store-count,dc-on-hand,dc-on-order,store-on-hand,target-inventory-level,need-for-til
276778,521,519,9,30,1077,611,5
276778,338,334,2,42,654,417,6
276778,478,474,58,36,1150,578,5
276778,348,342,4,42,700,400,8
276778,296,295,3,48,525,352,4
276778,718,709,29,126,1513,856,7
276778,736,712,0,126,1492,998,37
276778,328,324,12,0,727,393,6
276778,710,693,0,84,1503,933,23
276778,438,430,21,24,803,498,10
276778,442,440,53,36,869,576,3
276778,489,486,26,42,959,560,4
276778,393,386,12,0,967,523,9
276778,353,351,3,48,813,416,2
276778,605,574,0,150,1053,841,51
276778,351,314,0,66,654,425,58
330002,1,1,33,0,2,1,0
330002,1,1,7,0,3,3,0
249816,521,502,340,192,967,620,24
249816,344,329,41,216,747,530,35
249816,478,446,118,252,936,572,51
249816,353,335,0,204,898,525,31
249816,296,293,29,192,904,529,17
249816,721,685,288,120,1427,869,42
249816,758,712,555,396,1667,1213,103
249816,328,315,260,0,869,522,23
249816,714,671,0,492,2031,1149,73
249816,439,402,0,300,1058,741,78
249816,443,430,212,120,969,538,19
249816,489,476,14,204,1100,586,18
249816,393,376,60,0,802,449,24
249816,353,341,238,216,701,468,31
249816,608,598,0,372,1839,980,32
249816,350,347,14,132,909,470,7
308266,521,509,284,108,1314,1084,57
308266,344,340,126,240,990,785,37
308266,478,472,154,156,2011,988,39
308266,354,346,0,228,1100,752,37
308266,296,292,2,276,896,690,36
308266,726,715,16,192,2265,1493,46
308266,762,706,282,108,2043,1873,168
308266,328,321,284,0,945,717,36
308266,718,669,307,264,2379,1538,154
308266,437,427,0,300,1489,968,63
308266,443,442,133,96,1420,916,17
308266,489,484,6,204,1766,1018,35
308266,395,382,120,0,1115,816,51
308266,355,351,4,144,872,761,48
308266,614,612,327,0,2515,1345,26
308266,351,346,95,156,992,726,46
460400,521,518,517,924,2312,2089,106
460400,344,342,29,432,1493,1375,79
460400,478,476,87,300,1990,1917,144
460400,353,352,0,528,1624,1412,69
460400,296,295,232,0,1353,1210,65
460400,721,714,760,0,3053,2875,195
460400,750,743,455,0,3436,3108,154
460400,328,328,150,0,1581,1316,46
460400,714,712,0,384,3321,2867,145
460400,439,439,35,324,2081,1770,83
460400,443,443,314,192,1956,1772,104
460400,489,488,0,228,2210,1961,81
460400,393,393,295,0,1686,1576,94
460400,353,352,207,252,1697,1417,35
460400,608,606,111,144,2830,2425,106
460400,350,350,344,0,1640,1405,58
460403,521,519,412,480,2405,2081,78
460403,341,338,628,0,1595,1349,52
460403,475,474,124,144,2195,1904,80
460403,349,348,105,216,1687,1399,37
460403,296,294,230,156,1385,1225,61
460403,718,712,425,60,3277,2855,120
460403,749,748,560,0,3429,3109,141
