basis,aim-store-count,instock-store-count,dc-on-hand,dc-on-order,store-on-hand,target-inventory-level,need-for-til
276778,399,394,186,0,865,798,82
276778,380,365,0,36,734,761,138
276778,448,435,0,108,1066,896,125
276778,477,455,0,414,932,955,183
276778,308,290,0,210,523,616,148
276778,638,626,54,186,1372,1282,144
276778,767,753,0,336,1705,1523,96
276778,323,311,0,252,636,650,127
276778,647,630,0,606,1506,1329,154
276778,368,351,0,240,687,736,140
276778,474,456,0,312,919,948,161
276778,510,484,66,330,961,1019,226
276778,449,441,0,246,1062,897,137
276778,342,333,24,246,830,687,106
276778,604,573,0,186,1113,1250,239
276778,411,411,0,162,961,821,27
200964,0,0,0,0,352,805,293
200964,0,0,0,0,180,761,339
200964,0,0,0,0,617,704,167
200964,0,0,0,0,747,1328,409
213140,0,0,0,0,534,1289,310
213140,0,0,0,0,709,1171,262
213140,0,0,86,0,1658,1377,68
213140,0,0,180,0,3222,2562,81
237741,399,393,825,0,1162,923,51
237741,382,374,1428,288,1096,922,62
237741,447,437,655,1296,1222,932,31
237741,480,471,1446,2304,1437,1059,48
237741,309,297,667,2520,969,894,75
237741,635,620,1611,0,1800,1330,52
237741,757,736,979,432,1966,1720,116
237741,322,316,540,0,1074,788,45
237741,649,639,1433,360,2089,1855,122
237741,368,359,1268,0,1102,1001,78
237741,470,459,4657,0,1138,1072,63
237741,507,502,2257,0,1520,1150,72
237741,442,439,689,432,1339,960,38
237741,339,323,869,1296,822,791,60
237741,600,593,1859,720,2007,1623,81
237741,405,400,473,2232,1188,1001,51
237755,399,396,1090,0,1209,857,38
237755,382,377,374,1368,1111,834,37
237755,447,441,1021,0,1386,912,18
237755,480,475,523,1800,1436,1012,43
237755,309,296,715,1008,851,734,60
237755,636,632,1326,0,2036,1297,29
237755,788,753,774,864,2175,1915,126
237755,322,320,3260,0,1191,700,21
237755,649,639,1959,4320,1911,1388,62
237755,368,358,1066,0,1114,907,64
237755,470,465,1596,0,1570,977,29
237755,507,495,518,360,1584,1085,51
237755,442,436,323,360,1266,929,44
237755,339,325,768,0,884,732,54
237755,600,597,1450,288,2179,1260,39
237755,405,397,736,216,1208,829,26
249816,399,392,156,276,949,809,52
249816,384,381,21,324,939,780,40
249816,449,434,30,348,1072,905,82
249816,481,465,0,444,1091,969,89
249816,309,306,129,396,868,642,21
249816,640,636,136,456,1538,1293,66
249816,790,761,254,1248,2178,1769,101
249816,323,317,2,432,912,686,41
249816,651,627,0,912,1693,1395,142
249816,369,364,81,384,1096,767,25
249816,475,457,0,552,1138,985,107
249816,510,457,0,564,950,1024,177
249816,449,447,0,216,1058,901,35
249816,344,338,1,636,872,708,38
249816,604,597,139,396,1656,1299,61
249816,411,400,0,516,979,837,77
308266,399,371,516,456,1179,1143,116
308266,384,379,1313,0,1282,1297,111
308266,448,443,516,252,2030,1147,63
308266,481,477,257,792,1560,1396,98
308266,309,304,5,1632,960,1039,108
308266,637,632,1397,0,2026,1667,84
308266,790,774,1405,3300,2846,2806,216
308266,323,320,0,1056,1074,997,83
308266,651,641,1165,1452,2814,2098,109
308266,367,360,1008,960,1233,1258,118
308266,475,468,923,1632,1525,1291,73
308266,510,503,165,456,1630,1412,117
308266,448,439,566,1104,1270,1133,78
308266,344,339,503,1332,973,928,65
308266,607,604,999,504,2401,1934,84
308266,411,410,1,936,1418,1119,48
460400,399,399,2185,0,1747,1607,96
460400,384,383,548,300,1688,1545,79
460400,448,448,377,0,1954,1792,116
460400,481,480,256,696,2168,1924,107
460400,309,309,33,408,1332,1248,76
460400,638,637,291,300,2761,2564,173
460400,752,743,547,768,3223,3028,173
460400,323,322,209,264,1504,1301,66
460400,651,647,686,180,3027,2611,157
460400,369,368,377,348,1586,1478,99
460400,475,475,335,480,2128,1900,107
460400,510,508,50,480,2190,2042,145
460400,449,448,369,264,1934,1797,106
460400,343,342,0,504,1467,1378,57
460400,604,604,91,504,2657,2425,155
460400,411,408,0,348,1809,1646,117
460403,399,396,2006,1044,1790,1607,95
460403,381,380,779,48,1707,1523,91
460403,445,445,611,24,2092,1780,82
460403,477,475,659,300,2182,1910,101
460403,309,301,2,648,1209,1272,133
460403,634,631,420,132,2766,2553,132
460403,782,774,1746,0,3315,3259,214
460403,318,317,836,336,1546,1281,68
460403,639,637,1806,1716,3224,2563,100
460403,367,365,624,432,1715,1478,92
460403,473,473,777,756,2197,1896,92
460403,510,507,433,504,2297,2045,129
