basis,aim-store-count,instock-store-count,dc-on-hand,dc-on-order,store-on-hand,target-inventory-level,need-for-til
276778,521,518,29,72,1078,632,5
276778,338,333,3,24,630,393,6
276778,478,472,48,42,1127,624,11
276778,348,341,16,24,686,401,8
276778,296,282,0,66,492,314,14
276778,715,702,50,156,1485,940,13
276778,729,695,3,156,1308,844,40
276778,328,323,40,42,740,377,6
276778,710,694,31,144,1446,842,24
276778,438,427,7,126,778,496,12
276778,442,432,46,60,845,597,9
276778,489,482,29,36,963,583,7
276778,392,389,23,42,980,539,5
276778,353,348,32,12,813,387,5
276778,603,584,68,54,1043,795,27
276778,351,346,0,42,692,443,4
330002,521,519,25,12,1161,573,1
330002,1,1,29,0,1,1,0
330002,2,2,31,0,9,2,0
330002,348,347,24,0,743,371,1
330002,1,1,8,0,1,1,0
330002,715,708,0,24,1926,797,7
330002,580,572,88,36,1219,612,9
330002,328,326,28,24,756,353,1
330002,710,698,0,96,1803,806,22
330002,3,2,46,0,4,3,0
330002,489,482,33,0,1119,529,6
330002,2,2,16,0,6,2,0
330002,353,349,2,12,893,365,4
330002,604,599,18,36,1404,758,11
330002,351,344,15,12,938,387,6
249816,521,492,208,144,974,631,43
249816,344,333,159,0,701,509,20
249816,478,459,163,108,952,572,26
249816,353,341,63,0,780,533,21
249816,296,287,287,132,709,495,23
249816,719,679,0,324,1369,872,55
249816,758,699,273,396,1642,1239,103
249816,328,310,212,288,765,535,35
249816,714,683,2,384,1671,1113,70
249816,439,428,56,144,1034,722,32
249816,443,419,32,264,788,544,33
249816,489,473,236,0,929,614,26
249816,392,375,56,120,688,440,22
249816,353,340,121,144,742,501,28
249816,607,587,351,84,1444,981,57
249816,350,338,165,168,710,462,22
308266,521,517,0,168,1435,1100,36
308266,344,334,83,0,1052,804,50
308266,478,476,95,12,1463,998,16
308266,354,346,144,0,1017,760,47
308266,296,293,94,156,851,656,28
308266,724,700,0,276,2170,1516,84
308266,762,747,278,288,2526,1927,94
308266,328,324,82,156,1052,733,15
308266,719,714,193,36,2975,1569,24
308266,437,431,58,216,1338,967,29
308266,443,442,0,168,1424,938,25
308266,489,487,150,0,1597,1055,31
308266,394,392,32,72,1108,812,27
308266,355,352,553,0,963,759,35
308266,616,612,1224,0,2498,1351,22
308266,351,349,62,72,1181,720,9
460400,521,479,4,600,1690,2082,265
460400,344,342,245,0,1389,1365,119
460400,478,473,0,84,1985,1914,126
460400,353,346,183,12,1422,1406,133
460400,296,296,374,252,1261,1198,86
460400,719,708,1,600,3032,2865,208
460400,750,741,1311,276,3129,3097,208
460400,328,324,423,0,1415,1311,78
460400,714,709,0,372,3108,2857,189
460400,439,438,210,456,1855,1765,130
460400,443,442,0,348,1787,1767,139
460400,489,487,269,0,1971,1954,146
460400,392,390,0,288,1545,1567,127
460400,353,351,306,240,1481,1402,57
460400,607,606,242,72,2650,2420,142
460400,350,348,588,144,1506,1404,95
460403,521,478,0,876,1774,2081,246
460403,341,328,457,0,1282,1346,129
460403,475,475,684,0,1995,1902,124
460403,349,349,381,0,1551,1398,64
460403,296,296,425,216,1316,1212,65
460403,716,708,200,684,2946,2847,155
460403,749,744,1091,480,3158,3104,198
460403,323,319,644,0,1409,1295,69
460403,702,688,380,0,2932,2809,212
460403,437,416,612,600,1466,1761,230
460403,441,435,0,468,1746,1767,152
460403,489,486,716,0,2063,1960,137
460403,392,392,243,156,1599,1569,118
460403,350,334,804,348,1251,1397,152
460403,600,597,161,240,2724,2399,118
460403,349,348,2017,0,1512,1393,89
460423,521,512,4,672,2003,2078,178
460423,343,341,182,12,1384,1355,92
460423,477,475,306,408,1965,1908,145
460423,350,346,215,12,1324,1400,146
460423,296,296,383,192,1239,1199,88
460423,719,713,218,792,2945,2858,196
460423,720,717,1029,204,2853,2867,203
460423,328,325,135,204,1418,1311,66
460423,711,707,22,588,3182,2842,192
460423,439,436,24,384,1849,1761,150
460423,443,441,213,156,1796,1769,139
460423,489,464,624,0,1577,1952,275
460423,392,390,0,204,1543,1568,135
460423,353,351,376,144,1428,1400,45
460423,607,604,327,120,2700,2421,174
460423,349,348,729,0,1448,1392,102
689296,510,504,143,144,1202,1028,50
689296,340,337,76,0,786,686,27
689296,459,444,222,108,1029,919,60
689296,352,347,125,0,816,709,31
689296,295,272,252,72,623,600,70
689296,682,672,0,468,1576,1388,72
689296,734,708,287,276,1730,1583,135
689296,318,310,51,360,792,674,44
689296,698,660,0,576,1636,1430,128
689296,434,427,29,228,1030,881,52
689296,427,410,0,432,955,881,64
689296,473,458,262,0,1043,955,58
689296,370,358,52,144,832,750,43
689296,346,331,168,204,768,729,59
689296,580,571,115,288,1343,1197,69
689296,327,314,0,288,741,676,47
716887,519,507,522,396,1226,1106,76
716887,343,336,280,0,868,769,50
716887,478,471,301,156,1142,1001,53
716887,346,340,284,12,822,754,48
716887,292,283,369,396,820,746,39
716887,718,675,0,780,1527,1483,162
716887,751,722,1139,684,1880,1865,153
716887,327,319,368,720,885,848,64
716887,716,692,0,1836,1839,1754,147
716887,434,373,243,348,822,1008,163
716887,443,428,0,504,1006,974,89
716887,489,472,544,0,1095,1012,72
716887,392,388,0,360,896,804,40
716887,354,338,312,348,723,764,78
716887,610,593,459,540,1491,1358,92
716887,351,347,489,264,853,769,39
850624,521,512,314,264,1308,1076,42
850624,344,339,539,0,911,724,21
850624,478,475,2322,0,1204,969,28
850624,353,352,370,0,941,724,22
850624,296,294,263,0,766,608,19
850624,719,713,757,0,2083,1511,27
850624,735,722,1230,0,1798,1517,52
850624,328,323,552,336,899,684,13
850624,714,704,1010,0,2249,1555,37
850624,439,436,183,120,1198,906,34
850624,443,438,675,168,1181,922,20
850624,489,484,1106,0,1282,1e3,25
850624,392,392,681,156,1080,806,6
850624,353,352,359,0,947,718,16
850624,608,603,2211,240,1953,1324,25
850624,350,347,3053,0,906,707,17
868171,521,519,90,120,1170,1052,21
868171,344,342,95,0,782,680,21
868171,478,475,68,84,1085,956,22
868171,354,351,142,0,811,707,18
868171,296,294,99,84,687,595,12
868171,721,708,0,324,1608,1437,69
868171,720,715,246,180,1575,1441,48
868171,328,327,187,168,800,657,20
868171,715,677,0,396,1481,1429,141
868171,438,436,42,144,993,881,30
868171,443,436,0,180,991,886,24
868171,489,484,82,0,1067,978,29
868171,393,391,0,120,896,782,27
868171,354,338,98,84,727,701,78
868171,611,606,184,192,1331,1217,39
868171,351,349,61,132,791,705,28
920128,517,511,110,0,1e3,519,4
920128,327,321,87,0,662,345,5
920128,474,470,142,24,901,474,4
920128,335,332,66,0,682,348,1
920128,274,272,235,0,675,321,1
920128,711,696,151,0,1314,708,4
920128,713,699,452,0,1661,711,10
920128,316,312,157,0,847,314,1
920128,663,655,352,0,1754,668,5
920128,414,413,224,0,969,458,0
920128,432,427,88,0,885,429,3
920128,487,484,97,0,1034,492,2
920128,390,388,99,0,697,389,2
920128,349,345,258,0,713,349,2
920128,549,545,418,0,1486,545,0
920128,338,332,112,0,788,336,3
936445,520,510,139,96,1077,1035,19
936445,344,331,57,0,685,671,17
936445,478,453,0,132,941,957,38
936445,354,345,156,0,718,689,5
936445,296,291,212,60,625,604,5
936445,725,690,0,372,1502,1431,32
936445,721,703,325,108,1535,1454,21
936445,328,324,91,96,708,660,12
936445,715,691,30,192,1497,1414,19
936445,438,425,349,0,913,872,10
936445,443,434,50,132,922,880,13
936445,489,487,187,0,1027,985,9
936445,396,390,36,96,829,792,7
936445,353,346,168,96,776,717,8
936445,615,582,106,204,1291,1185,18
936445,350,348,122,84,734,702,5
936447,520,505,123,108,1077,1026,18
936447,344,334,55,0,695,668,12
936447,478,471,0,96,997,956,11
936447,354,341,161,0,697,687,11
936447,296,294,275,72,643,607,4
936447,725,688,0,336,1466,1368,33
936447,721,690,286,156,1505,1368,26
936447,328,317,46,132,703,629,11
936447,715,689,51,168,1490,1270,16
936447,438,433,251,108,949,888,9
936447,443,435,70,108,918,865,9
936447,489,486,154,0,1029,976,10
936447,396,388,64,60,807,788,14
936447,353,343,151,108,754,683,11
936447,615,584,128,192,1316,1128,16
936447,350,346,132,72,725,635,4
936448,520,508,103,120,1059,1034,19
936448,344,322,95,0,653,668,26
936448,478,466,0,144,973,956,22
936448,353,342,166,0,701,689,5
936448,296,292,248,72,639,605,5
936448,719,677,0,336,1431,1372,51
936448,719,693,284,144,1484,1380,34
936448,328,317,0,192,715,629,19
936448,710,687,0,216,1465,1283,23
