basis,aim-store-count,instock-store-count,dc-on-hand,dc-on-order,store-on-hand,target-inventory-level,need-for-til
276778,515,492,0,66,1019,590,30
276778,327,322,33,0,687,368,5
276778,475,456,33,24,1072,516,19
276778,330,326,61,30,677,366,4
276778,293,291,10,66,559,334,6
276778,683,671,32,138,1406,795,14
276778,696,663,50,102,1374,837,38
276778,324,315,2,54,767,370,10
276778,703,677,82,84,1396,750,26
276778,421,414,208,24,829,484,12
276778,471,453,42,36,848,494,19
276778,487,478,30,24,984,551,12
276778,390,382,32,42,784,427,8
276778,368,364,20,12,910,400,5
276778,598,553,79,60,952,628,46
276778,308,303,17,24,631,316,5
330002,515,487,0,60,1095,606,31
330002,328,322,5,0,688,383,6
330002,475,461,28,12,1302,527,16
330002,330,319,0,48,705,368,12
330002,293,286,0,48,549,305,9
330002,683,674,28,36,1908,834,10
330002,689,680,45,36,1425,807,10
330002,324,310,2,36,681,351,15
330002,702,677,24,48,1749,729,26
330002,421,415,24,24,948,456,7
330002,472,445,36,12,1195,558,29
330002,486,468,20,36,1057,568,21
330002,390,377,47,12,947,500,19
330002,368,357,38,0,873,424,13
330002,599,584,0,36,1302,621,17
330002,308,307,8,12,832,316,1
249816,516,506,324,132,1194,606,19
249816,331,327,265,0,780,477,7
249816,475,468,412,108,1112,539,13
249816,334,322,150,168,789,503,23
249816,293,283,193,180,749,533,39
249816,687,666,409,336,1589,802,32
249816,728,705,954,540,1760,1089,54
249816,324,315,270,216,853,485,31
249816,706,672,518,468,1707,1006,63
249816,439,431,433,84,1152,724,29
249816,472,458,224,108,957,559,23
249816,487,484,220,60,1100,566,9
249816,390,378,171,48,813,434,19
249816,368,358,389,72,994,493,25
249816,600,582,1255,228,1448,867,44
249816,308,296,246,132,693,389,19
308266,516,514,169,228,1499,1067,25
308266,331,328,226,0,1010,743,28
308266,475,473,96,84,1361,967,19
308266,337,331,96,144,1022,717,29
308266,293,287,22,156,949,770,52
308266,691,684,3167,0,2231,1405,26
308266,730,719,730,348,2410,1726,69
308266,324,317,199,24,1052,690,30
308266,712,707,199,312,2620,1503,37
308266,437,431,478,240,1528,1050,38
308266,472,470,1541,0,1409,982,27
308266,487,479,109,192,1570,1002,26
308266,392,388,972,0,1052,796,21
308266,370,366,1911,0,969,787,48
308266,609,603,2040,0,2146,1285,32
308266,308,307,1250,0,933,629,13
460400,516,505,572,0,1433,1062,42
460400,331,325,189,0,1010,810,43
460400,475,473,158,0,1368,958,15
460400,335,332,31,240,1006,779,31
460400,293,291,108,252,954,763,46
460400,687,675,417,0,2066,1389,35
460400,716,706,1739,0,2221,1878,125
460400,324,322,364,0,1060,758,42
460400,706,694,540,0,2277,1481,39
460400,439,434,376,264,1354,1067,64
460400,472,466,110,36,1328,964,31
460400,487,485,158,48,1372,993,14
460400,390,388,85,48,1116,798,17
460400,368,361,440,132,1110,898,48
