basis,aim-store-count,instock-store-count,dc-on-hand,dc-on-order,store-on-hand,target-inventory-level,need-for-til
276778,507,501,45,36,1123,651,10
276778,316,311,0,36,737,432,7
276778,465,461,50,54,1188,553,8
276778,321,319,28,36,641,441,8
276778,293,289,42,0,621,346,4
276778,661,654,19,66,1503,809,11
276778,711,696,91,78,1529,851,18
276778,320,316,33,36,841,373,6
276778,684,661,78,114,1533,748,25
276778,421,414,30,0,886,605,13
276778,468,448,42,60,949,512,27
276778,482,476,47,30,1061,595,7
276778,386,380,32,30,855,449,8
276778,364,358,124,0,940,382,7
276778,588,571,37,156,1094,652,26
276778,303,300,69,36,667,325,5
330002,508,500,28,24,1056,595,10
330002,314,313,16,12,680,348,2
330002,466,461,31,24,1367,496,5
330002,322,318,42,12,703,352,4
330002,289,285,46,0,556,302,4
330002,662,654,0,72,1968,753,12
330002,678,669,112,24,1354,735,9
330002,318,312,65,36,689,344,6
330002,684,678,159,0,1716,708,7
330002,420,416,36,0,973,460,4
330002,466,463,56,24,1220,491,4
330002,483,477,23,24,1066,548,7
330002,387,383,41,24,1002,418,4
330002,363,358,223,0,858,382,5
330002,586,583,62,48,1297,614,3
330002,299,295,47,12,785,303,4
249816,510,501,182,96,1110,668,24
249816,319,308,92,72,678,407,22
249816,463,440,93,0,1023,628,42
249816,324,314,135,48,677,407,16
249816,293,287,124,0,642,383,16
249816,667,657,0,360,1535,884,25
249816,719,689,299,396,1619,1112,71
249816,319,307,145,0,835,537,34
249816,685,666,406,384,1630,1087,58
249816,435,423,225,0,1073,556,23
249816,465,448,173,144,959,663,37
249816,481,473,80,168,1071,690,22
249816,385,374,54,120,770,543,21
249816,362,352,541,0,869,507,28
249816,589,573,79,492,1420,953,56
249816,304,297,33,96,667,440,19
308266,509,500,1111,732,2028,1898,130
308266,320,318,785,240,1385,1548,121
308266,464,462,1060,0,1869,1747,105
308266,323,320,684,732,1538,1396,93
308266,291,288,559,0,1151,1108,79
308266,665,662,5275,0,2930,2840,191
308266,723,694,2564,2880,3103,3356,281
308266,319,315,1688,0,1422,1364,102
308266,692,675,546,1464,3030,3050,273
308266,434,430,792,0,2118,1925,132
308266,468,465,3172,0,1849,1875,135
308266,484,480,176,828,2189,2073,156
308266,385,319,0,0,921,1377,237
308266,363,235,0,0,596,1017,238
308266,592,586,4643,408,2888,2797,199
308266,302,299,2375,0,1249,1170,89
327095,399,395,279,0,1059,587,15
327095,272,270,345,0,704,494,8
327095,242,241,117,0,641,398,6
327095,260,259,329,0,786,425,5
327095,370,367,250,0,1263,656,8
327095,416,412,148,0,1004,617,14
327095,334,332,6,0,924,474,5
460400,510,496,1824,0,1491,1128,60
460400,319,312,80,180,921,762,53
460400,465,452,268,0,1341,985,47
460400,324,321,258,132,1070,835,55
460400,292,267,320,0,979,740,76
460400,665,658,1475,528,2082,1465,76
460400,706,687,448,600,2197,1830,140
460400,321,312,519,0,1070,811,51
460400,688,676,3717,0,2552,1824,117
460400,437,414,372,0,1484,1136,106
460400,467,456,961,336,1358,1034,67
460400,484,472,86,516,1437,1122,74
460400,387,376,313,276,1035,838,54
460400,362,354,220,312,1187,832,54
460400,590,569,2283,0,1925,1472,100
460400,301,262,54,492,794,665,95
460403,509,504,2768,0,1636,1412,93
460403,315,308,562,120,1043,907,66
460403,464,458,1677,0,1392,1196,72
460403,320,318,1157,60,1143,932,52
460403,292,280,351,0,957,870,101
460403,654,641,4377,0,2294,1800,100
460403,704,688,483,960,2165,1909,174
460403,301,291,1309,0,1110,1065,98
460403,644,624,4919,0,2558,2399,198
460403,437,435,364,0,1661,1314,88
460403,468,457,1660,564,1512,1406,116
460403,480,470,1758,168,1631,1438,120
460403,388,379,1447,0,1284,1102,82
460403,363,358,292,240,1217,857,56
460403,573,565,2865,720,2122,1936,149
460403,301,290,0,492,1018,948,94
460423,506,502,730,0,1570,1217,70
460423,319,317,243,168,978,810,44
