basis,aim-store-count,instock-store-count,dc-on-hand,dc-on-order,store-on-hand,target-inventory-level,need-for-til
276778,499,492,60,36,1134,668,12
276778,314,308,32,36,724,405,10
276778,451,434,97,42,1150,566,18
276778,321,311,40,24,644,417,13
276778,292,290,86,30,608,343,3
276778,673,663,8,72,1551,857,11
276778,708,692,115,186,1535,892,23
276778,317,311,69,18,804,387,8
276778,609,598,139,78,1307,727,16
276778,424,414,100,0,873,568,14
276778,434,424,104,0,900,522,17
276778,483,479,69,42,1061,634,10
276778,387,382,64,12,1015,478,7
276778,360,354,224,0,931,382,6
276778,585,571,146,90,1100,713,23
276778,412,402,93,60,854,488,14
330002,497,493,138,0,1030,556,5
330002,313,311,29,24,669,343,3
330002,451,449,47,12,1335,477,2
330002,320,315,38,12,663,349,7
330002,291,287,129,0,515,304,4
330002,675,671,54,60,1989,773,4
330002,678,658,302,0,1238,748,21
330002,317,309,39,48,625,329,8
330002,610,601,282,0,1280,624,9
330002,424,418,39,12,956,450,6
330002,434,425,55,36,1076,453,9
330002,482,479,87,0,1038,526,4
330002,387,382,37,36,980,415,6
330002,359,355,343,0,741,406,5
330002,584,577,205,0,1179,600,7
330002,410,400,133,0,1078,412,10
249816,500,484,71,240,1035,661,27
249816,315,306,182,84,663,420,21
249816,451,433,100,132,913,633,32
249816,321,311,79,108,653,401,16
249816,292,282,172,60,652,412,21
249816,677,661,136,336,1492,907,37
249816,718,694,619,312,1753,1127,58
249816,317,302,331,0,822,540,38
249816,607,574,725,0,1380,951,72
249816,440,426,0,252,1068,599,27
249816,434,423,203,168,927,619,28
249816,483,469,198,72,1029,688,32
249816,388,382,101,48,836,549,16
249816,358,347,1192,0,879,508,24
249816,588,565,284,480,1383,912,49
249816,408,388,275,0,840,601,40
308266,498,485,1127,852,1616,1553,163
308266,318,313,1484,0,1276,1305,83
308266,451,447,646,1884,1596,1452,80
308266,321,315,184,564,1132,1053,95
308266,291,291,849,444,1118,1001,51
308266,674,671,696,5352,2763,2346,121
308266,719,694,1029,3048,2811,2918,243
308266,316,310,576,888,1289,1155,82
308266,612,611,2472,2484,2977,2361,120
308266,436,432,362,420,2302,1666,98
308266,435,433,685,5304,1533,1433,82
308266,483,477,1717,0,2007,1786,152
308266,386,384,0,1368,1272,1198,70
308266,359,346,743,0,914,889,104
308266,590,587,585,1440,2724,2459,128
308266,411,410,615,1860,1544,1411,76
327095,500,493,0,0,1252,802,27
327095,316,311,84,0,783,571,16
