Item,AIM Store Cnt,Instock Store Cnt,Store In Stock %,DC BOH Turn,DC BOO Turn,Store BOH,TIL,Need for TIL
276778,400,377,0.943,0,114,894,800,72
276778,385,331,0.86,0,228,679,773,166
276778,448,394,0.879,0,228,950,896,163
276778,481,390,0.812,0,336,756,976,252
276778,308,263,0.853,0,0,503,616,136
276778,638,594,0.931,46,216,1293,1279,182
276778,767,710,0.926,0,0,1705,1524,158
276778,325,292,0.898,0,150,725,654,102
276778,651,585,0.898,0,288,1536,1338,175
276778,369,315,0.854,0,210,638,737,144
276778,474,422,0.89,0,216,910,951,146
276778,507,470,0.926,0,0,1031,1015,146
276778,446,401,0.9,0,204,987,892,144
276778,341,322,0.943,0,96,882,683,57
276778,608,476,0.782,0,492,898,1258,312
276778,410,363,0.884,0,180,818,823,116
973898,40,40,1,0,24,0,80,40
973899,390,366,0.938,0,132,703,777,53
973899,380,344,0.906,156,60,656,768,69
973899,435,415,0.954,144,24,818,859,47
973899,484,464,0.959,133,0,952,964,34
973899,300,286,0.952,155,0,563,598,25
973899,626,600,0.958,141,48,1222,1239,44
973899,766,688,0.899,202,276,1699,1523,83
973899,299,299,1,744,0,9,579,295
973899,586,559,0.954,257,0,1135,1093,49
973899,344,316,0.92,77,24,639,688,34
973899,462,449,0.972,142,0,890,904,32
973899,500,470,0.941,136,0,924,959,49
973899,446,429,0.962,74,36,889,878,26
973899,322,316,0.982,146,72,652,647,14
973899,554,520,0.939,361,36,1022,1050,80
973899,390,368,0.945,95,120,775,735,25
973901,390,364,0.933,236,120,826,521,43
973901,380,352,0.927,275,0,800,557,44
973901,436,420,0.964,426,0,983,540,22
973901,483,465,0.963,419,0,1096,669,29
973901,299,286,0.958,312,0,672,375,18
973901,625,597,0.956,514,0,1382,839,32
973901,765,746,0.975,306,0,2190,1107,43
973901,301,301,1,1008,0,8,364,296
973901,583,554,0.95,600,0,1281,702,49
973901,344,315,0.915,237,0,738,492,26
973901,462,448,0.969,423,0,1043,622,24
973901,500,482,0.963,461,0,1123,619,23
973901,446,433,0.972,127,0,1265,620,18
973901,322,315,0.978,274,36,737,400,10
973901,557,521,0.935,682,0,1229,727,55
973901,390,381,0.977,444,0,886,461,15
200964,399,396,0.992,792,288,993,823,26
200964,383,335,0.875,2061,0,720,806,122
200964,318,311,0.979,715,432,875,772,52
200964,605,597,0.986,2277,0,1706,1507,93
213140,400,396,0.989,619,720,1430,1019,62
213140,392,383,0.978,600,0,1500,957,50
213140,325,321,0.989,414,360,1848,1035,39
213140,612,609,0.996,1988,720,4999,1920,44
237741,400,396,0.991,589,72,1498,1561,166
237741,390,387,0.993,804,864,1459,1496,123
237741,448,446,0.996,3569,0,1606,1594,98
237741,494,490,0.992,1264,0,1872,1843,145
237741,310,307,0.99,2468,0,1413,1329,99
