basis,aim-store-count,instock-store-count,dc-on-hand,dc-on-order,store-on-hand,target-inventory-level,need-for-til
276778,514,502,61,90,1034,590,13
276778,327,324,27,0,675,369,4
276778,475,463,33,48,1070,514,13
276778,331,327,57,0,670,363,4
276778,294,282,0,60,534,338,16
276778,685,672,38,126,1407,799,14
276778,696,684,13,174,1374,839,17
276778,325,316,31,36,771,363,10
276778,703,680,60,132,1399,743,24
276778,421,414,187,0,811,487,11
276778,469,460,19,54,870,493,11
276778,486,479,35,30,963,549,9
276778,390,384,26,36,762,430,6
276778,369,363,36,18,892,402,5
276778,598,583,10,192,984,627,17
276778,308,299,0,36,619,312,9
330002,514,505,8,120,1099,606,9
330002,328,324,26,0,687,385,7
330002,475,464,24,36,1315,527,11
330002,331,327,22,0,713,367,5
330002,294,287,19,12,551,311,8
330002,685,674,19,36,1867,839,14
330002,688,679,17,72,1427,806,11
330002,325,314,24,36,678,351,11
330002,703,683,0,108,1755,728,20
330002,421,415,24,12,932,453,7
330002,470,458,2,84,1189,554,13
330002,485,480,25,72,1065,567,8
330002,390,387,25,12,963,500,5
330002,369,363,59,12,866,424,9
330002,599,581,0,108,1299,621,18
330002,308,303,0,24,817,316,5
249816,515,500,391,0,1133,637,26
249816,331,322,232,0,740,490,25
249816,475,457,411,96,1051,545,29
249816,335,325,244,0,776,507,21
249816,294,282,219,168,738,543,35
249816,689,664,468,0,1528,820,38
249816,725,698,970,384,1693,1155,69
249816,325,310,240,36,827,489,38
249816,706,679,822,528,1691,1020,57
249816,439,430,416,132,1115,745,36
249816,470,448,354,72,906,563,33
249816,486,474,141,108,1042,609,22
249816,390,377,98,72,801,451,21
249816,369,357,481,108,954,496,21
249816,600,561,1017,0,1370,871,65
249816,308,294,196,144,680,399,26
308266,515,509,509,300,1440,1097,55
308266,331,327,357,0,999,796,39
308266,475,473,201,252,1318,985,26
308266,338,334,198,0,1012,741,34
308266,294,281,167,276,880,813,72
308266,693,686,2878,0,2153,1443,38
308266,729,721,462,756,2358,1797,86
308266,325,320,66,84,1025,699,28
308266,712,704,392,624,2578,1503,53
308266,437,429,1026,0,1490,1109,53
308266,470,466,1397,0,1351,978,44
308266,486,485,292,288,1578,1055,32
308266,392,387,784,0,1053,815,29
308266,371,367,1641,0,984,790,40
308266,609,605,1749,0,2075,1293,37
308266,308,306,1125,0,912,627,16
460400,515,506,445,132,1511,1063,26
460400,331,327,303,0,1055,819,44
460400,475,469,82,96,1412,961,25
460400,336,331,183,0,1028,784,38
460400,294,291,228,204,974,773,44
460400,689,682,208,0,2158,1396,24
460400,715,708,1248,0,2337,1889,105
460400,325,322,263,36,1099,760,43
460400,706,697,405,660,2534,1491,41
460400,439,428,537,240,1388,1088,71
460400,470,468,80,72,1422,956,19
460400,486,481,156,120,1451,997,30
460400,390,387,57,60,1174,798,27
460400,369,365,460,0,1184,903,49
460400,600,594,185,108,2139,1246,25
460400,308,306,313,0,974,700,22
460403,514,512,1070,0,1549,1056,21
460403,328,327,123,0,1054,800,42
460403,473,468,982,0,1413,956,20
460403,331,324,315,0,941,770,46
460403,294,286,289,204,936,765,44
460403,686,678,2618,0,2179,1375,31
460403,715,709,922,0,2316,1868,110
460403,320,313,460,0,1271,749,24
460403,695,680,699,1056,2710,1470,35
460403,438,432,803,276,1425,1075,57
460403,468,464,236,156,1479,966,18
460403,486,485,378,48,1463,1e3,24
460403,390,388,501,0,1217,804,24
460403,367,356,456,0,1214,906,51
460403,592,587,571,0,2141,1227,21
460403,307,304,1191,0,1035,704,7
460423,515,510,280,156,1420,1039,30
460423,330,325,228,0,848,680,29
460423,475,472,214,204,1287,950,24
460423,332,331,259,0,812,671,32
460423,294,290,47,216,808,648,51
460423,689,681,55,168,1987,1368,37
460423,689,681,262,444,1789,1434,58
460423,325,320,82,60,978,666,23
460423,703,694,185,324,2177,1438,38
460423,439,435,488,324,1265,931,36
460423,470,464,665,0,1246,953,24
460423,486,480,647,288,1230,975,25
460423,390,387,4,96,1045,785,18
460423,369,363,241,84,1042,744,27
460423,600,594,79,228,1735,1214,32
460423,307,305,221,60,890,626,12
689296,502,488,369,192,1175,1001,32
689296,328,322,222,0,801,666,33
689296,452,425,484,204,990,869,47
689296,333,329,186,0,757,675,33
689296,294,290,178,168,748,640,34
689296,649,640,410,252,1518,1313,61
689296,699,692,587,516,1726,1528,89
689296,312,293,309,132,763,648,43
689296,685,642,794,504,1643,1401,87
689296,434,428,522,216,1063,949,62
689296,449,437,191,228,999,909,58
689296,466,450,153,168,1054,935,55
689296,367,356,268,120,829,737,33
689296,362,352,440,204,920,772,60
689296,565,550,487,492,1312,1161,61
689296,286,277,355,120,701,570,22
716887,512,503,342,228,1175,1061,59
716887,330,325,318,0,806,712,35
716887,475,471,429,180,1105,962,41
716887,329,322,312,0,748,679,42
716887,289,276,292,216,724,745,78
716887,687,673,407,240,1610,1389,65
716887,714,698,642,900,1816,1684,109
716887,324,317,240,204,876,747,49
716887,707,687,858,900,1892,1646,108
716887,433,420,659,372,1086,1015,74
716887,470,458,443,156,1072,968,42
716887,486,480,225,216,1129,997,38
716887,391,385,174,144,875,785,43
716887,370,356,496,216,829,774,53
716887,601,595,484,432,1441,1251,58
716887,308,305,124,168,720,635,32
850624,515,514,293,0,1405,1030,19
850624,331,327,1543,0,856,663,21
850624,475,472,291,0,2793,950,16
850624,336,335,419,0,1026,670,15
850624,294,292,169,84,812,594,18
850624,689,683,385,0,1980,1370,11
850624,702,697,781,0,1888,1447,36
850624,325,324,369,0,1023,650,12
850624,706,700,6605,0,2149,1425,25
850624,438,433,161,132,1195,881,37
850624,470,467,344,0,1293,941,20
850624,486,485,2244,0,1361,974,18
850624,390,384,1935,0,1067,781,17
850624,369,359,152,108,1002,735,41
850624,601,599,512,0,1755,1208,18
850624,308,304,374,0,928,615,8
868171,515,511,137,108,1151,1032,31
868171,331,330,388,0,731,663,17
868171,475,471,131,72,1065,950,29
868171,337,336,130,0,754,671,25
868171,294,291,66,96,680,611,35
868171,690,685,106,144,1595,1373,35
868171,689,684,132,324,1513,1385,56
868171,325,322,157,36,775,651,22
868171,706,691,294,384,1623,1418,57
868171,437,434,175,132,979,886,41
868171,470,466,207,96,1012,947,43
868171,486,484,125,84,1073,974,24
868171,391,390,49,72,865,778,13
868171,370,364,215,72,803,733,29
868171,602,593,189,180,1292,1200,54
868171,308,307,53,108,677,615,14
559682,513,510,145,0,1426,1032,22
559682,327,323,385,0,805,659,14
559682,475,473,297,0,1330,964,20
559682,329,327,75,0,869,659,15
559682,294,287,313,0,774,644,36
559682,686,682,148,0,1884,1370,18
559682,724,708,868,0,2093,1725,98
559682,325,319,507,0,969,701,26
559682,703,683,2100,0,1939,1539,87
559682,438,434,77,0,1170,890,19
559682,469,463,21,204,1272,975,26
559682,484,483,128,0,1296,970,7
559682,388,387,40,0,1062,779,6
559682,369,361,190,288,1020,766,32
559682,598,590,172,636,1631,1298,69
559682,307,304,0,204,813,639,34
867042,513,500,682,0,1262,1043,62
867042,327,319,396,0,914,670,45
867042,475,461,1044,0,1066,961,52
867042,329,322,293,0,749,663,42
867042,294,281,371,0,810,674,40
867042,686,665,604,0,1611,1388,88
867042,724,702,1204,0,1929,1611,111
867042,325,317,468,0,854,693,41
867042,703,554,1216,0,1064,1435,335
867042,437,428,826,0,1103,947,55
867042,469,455,139,420,1146,960,55
867042,484,473,553,0,1182,994,55
867042,389,381,292,0,930,787,35
867042,368,360,393,624,950,799,66
867042,598,584,238,732,1547,1301,95
867042,308,296,30,216,746,620,34
867043,513,507,240,0,1136,1043,32
867043,327,322,161,0,747,664,25
867043,475,468,547,0,1036,962,45
867043,329,328,127,0,738,661,16
867043,294,289,315,0,746,665,45
867043,686,676,295,0,1517,1371,51
867043,726,713,1739,0,1765,1581,96
867043,325,317,468,0,858,738,45
867043,703,686,1813,0,1815,1527,92
867043,437,432,345,0,1014,910,42
867043,469,466,95,192,1084,961,35
867043,484,478,174,0,1047,981,46
867043,389,386,78,0,861,781,20
867043,368,364,408,216,806,753,42
867043,599,585,384,288,1408,1237,69
867043,308,301,243,48,697,622,31
232807,515,509,118,564,1565,1545,176
232807,326,322,179,0,965,984,110
232807,475,474,385,252,1585,1432,51
232807,331,324,219,0,960,993,115
232807,294,288,89,180,882,896,104
232807,686,676,140,312,2274,2059,85
232807,727,708,262,804,2350,2346,242
232807,325,310,308,168,1046,1004,115
232807,704,694,571,660,2465,2158,154
232807,438,427,314,108,1278,1320,155
232807,470,466,219,180,1482,1417,87
232807,486,482,143,384,1404,1458,176
232807,390,387,164,132,1276,1171,40
232807,369,360,302,276,1188,1106,73
232807,598,587,961,516,2080,1842,122
232807,308,303,143,192,1024,924,46
232813,515,505,196,408,1467,1555,203
232813,326,321,226,0,991,985,111
232813,475,469,515,276,1539,1453,87
232813,331,325,308,0,929,995,128
232813,294,281,260,336,876,917,109
232813,686,671,254,492,2194,2090,128
232813,727,706,1947,0,2527,2444,240
232813,325,314,545,0,1174,1064,115
232813,704,689,602,1356,2494,2258,189
232813,438,423,258,228,1214,1329,185
232813,470,459,357,336,1487,1434,85
232813,486,473,192,240,1363,1465,209
232813,390,384,35,216,1207,1172,64
232813,369,363,590,216,1206,1147,68
232813,598,586,1275,732,2290,1979,129
232813,308,303,125,336,1016,948,63
483167,514,506,90,360,1205,1031,44
483167,331,328,87,0,736,662,24
483167,475,470,173,192,1113,952,41
483167,337,332,126,0,742,672,34
483167,294,273,105,216,687,642,68
483167,688,668,59,288,1685,1371,68
483167,695,680,191,660,1936,1458,88
483167,325,303,108,288,760,677,83
483167,705,675,293,1044,1742,1575,136
483167,438,428,187,96,1056,902,51
483167,469,462,112,204,1071,941,57
483167,486,467,120,288,1050,976,74
483167,392,383,26,156,886,779,35
483167,369,347,221,180,896,754,56
483167,605,583,134,972,1584,1263,110
483167,308,304,100,228,783,640,29
483708,514,507,199,48,1373,848,15
483708,328,323,203,0,836,548,6
483708,475,472,45,60,1345,736,9
483708,332,326,237,0,803,574,13
483708,294,291,66,24,760,453,10
483708,687,676,233,0,2004,1176,17
483708,689,686,236,96,1933,1252,25
483708,325,324,71,132,977,511,7
483708,704,684,94,216,2087,1054,30
483708,438,436,222,36,1243,773,9
483708,470,463,101,0,1247,741,10
483708,486,484,246,0,1177,770,12
483708,390,382,3,96,1116,632,11
483708,369,364,146,0,1166,576,13
483708,599,586,10,216,1437,923,21
483708,308,305,18,36,841,462,5
697513,155,152,12,84,430,311,13
697513,122,122,19,0,300,244,1
697513,198,195,74,24,536,396,7
697513,163,162,31,0,391,326,4
697513,203,200,15,48,498,410,21
697513,266,261,0,60,671,533,30
697513,506,499,18,288,1347,1016,30
697513,204,198,15,132,557,412,15
697513,541,533,65,228,1499,1085,40
697513,188,185,0,36,499,379,11
697513,228,225,0,84,568,456,25
697513,164,158,0,60,417,328,14
697513,107,107,7,36,326,214,2
697513,288,282,106,72,837,577,26
697513,479,468,2,312,1251,971,59
697513,213,212,7,60,582,426,14
697531,513,508,267,312,1552,1539,146
697531,326,321,260,0,966,979,129
697531,475,474,421,156,1503,1431,78
697531,330,326,374,0,935,987,115
697531,293,287,190,288,835,883,109
697531,685,678,144,324,2255,2048,71
697531,689,677,729,1356,2136,2078,214
697531,323,316,260,36,958,979,120
697531,701,691,1136,240,2336,2140,127
697531,437,429,223,168,1207,1316,162
697531,468,464,368,180,1458,1405,66
697531,486,481,249,156,1371,1460,183
697531,390,388,146,60,1221,1170,41
697531,366,359,830,168,1153,1095,50
697531,595,587,2233,0,1972,1795,129
697531,308,306,328,72,974,926,42
697534,6,5,0,0,12,18,3
697534,6,6,36,0,15,18,4
697534,1,1,5,0,2,3,1
697537,4,4,0,0,10,12,2
697537,2,1,1,0,2,6,2
697537,6,6,0,0,18,18,1
804093,513,495,130,60,1082,740,23
804093,325,319,88,0,726,504,11
804093,472,453,54,60,1007,657,31
804093,330,321,36,0,773,491,15
804093,294,274,38,84,530,411,34
804093,679,652,78,144,1405,1005,44
804093,714,691,189,84,1654,1085,50
804093,322,288,28,108,585,381,37
804093,691,641,126,288,1346,768,51
804093,436,421,437,0,916,675,28
804093,463,446,100,84,921,638,25
804093,485,470,34,96,984,659,26
804093,388,379,684,0,785,579,14
804093,357,333,167,96,743,426,29
804093,583,539,153,216,988,638,47
804093,299,286,168,36,637,361,17
804094,513,488,190,36,1101,768,40
804094,325,317,74,0,731,503,15
804094,472,442,57,192,990,684,43
804094,330,325,82,0,730,488,10
804094,294,287,106,48,645,418,17
804094,679,657,6,168,1459,1017,34
804094,720,671,0,372,1616,1108,80
804094,322,303,73,48,687,407,21
804094,691,645,155,348,1455,796,51
804094,436,422,868,0,1704,676,25
804094,463,447,93,108,938,653,20
804094,485,463,91,96,957,710,34
804094,388,382,124,0,860,595,14
804094,357,339,336,0,686,393,21
804094,583,543,125,228,1052,649,43
804094,300,287,77,84,680,363,14
827731,514,495,81,612,1620,1571,205
827731,325,316,316,0,1067,1005,116
827731,475,464,393,744,1707,1476,90
827731,331,322,423,0,994,996,146
827731,294,283,275,396,930,944,121
827731,685,668,0,720,2463,2109,131
827731,689,671,747,1260,2568,2273,220
