Basis,Aim Store Count,Instock Store Count,Balance On Hand,Balance On Order,Store Balance On Hand,Target Inventory Level,Need for Target Inventory Level
276778,401,396,66,0,1006,801,12
276778,394,391,129,0,1027,782,14
276778,449,429,115,6,1205,898,31
276778,502,499,148,0,1314,999,13
276778,313,305,54,0,926,623,8
276778,648,644,166,0,1669,1293,16
276778,774,769,170,0,2707,1534,13
276778,333,313,63,0,880,661,38
276778,659,612,0,150,2076,1349,77
276778,369,366,61,0,926,738,13
276778,476,472,97,0,1223,955,24
276778,508,501,8,18,1308,1016,27
276778,448,441,148,0,1247,896,19
276778,345,342,16,24,1225,689,6
276778,609,584,0,102,1710,1259,38
276778,416,411,95,0,1248,829,15
973898,396,385,135,0,842,398,11
973898,391,386,85,0,849,392,6
973898,445,433,0,96,977,445,12
973898,495,470,2,144,1067,503,25
973898,307,296,12,84,779,310,15
973898,631,609,24,156,1253,633,27
973898,785,778,0,168,2416,806,7
973898,322,313,0,84,734,324,6
973898,632,599,0,432,1433,667,40
973898,363,349,110,0,709,366,15
973898,465,443,0,144,937,469,28
973898,501,477,0,120,993,502,29
973898,441,423,12,96,858,442,24
973898,340,337,64,12,981,340,1
973898,587,575,175,0,1566,632,11
973898,407,396,2,144,979,416,17
973899,395,393,85,0,952,396,2
973899,388,383,239,0,949,392,6
973899,439,437,211,0,1191,440,0
973899,497,494,332,0,1342,506,5
973899,304,302,149,0,954,310,2
973899,634,634,378,0,1616,635,2
973899,783,776,305,0,2920,791,8
973899,304,300,178,0,794,308,6
973899,592,572,137,24,1765,617,15
973899,344,343,0,48,879,345,1
973899,464,462,293,0,1254,468,3
973899,501,498,65,24,1268,501,3
973899,447,444,279,0,1152,447,2
973899,325,324,173,0,1112,325,1
973899,568,565,270,0,1869,615,4
973899,399,392,227,0,1263,402,5
973901,394,393,72,0,1058,515,4
973901,388,386,156,0,1064,564,5
973901,438,437,217,0,1240,538,4
973901,495,493,245,0,1469,674,9
973901,304,303,121,0,1006,367,2
973901,634,631,281,0,1699,850,9
973901,782,778,182,0,3236,1091,8
973901,307,305,163,0,781,372,4
973901,591,589,182,0,1908,699,4
973901,344,342,114,0,947,490,5
973901,463,462,222,0,1366,610,3
973901,501,500,164,0,1371,613,3
973901,444,442,142,0,1428,613,3
973901,325,324,148,0,1156,398,3
973901,563,559,270,0,1915,709,5
973901,396,396,222,0,1295,473,3
200964,400,395,142,288,1171,819,29
200964,392,382,1020,0,1034,836,41
200964,327,321,513,0,1105,746,27
200964,606,593,325,792,1990,1380,50
213140,401,382,193,360,1563,846,55
213140,400,385,207,360,1791,853,41
213140,334,327,825,0,1989,789,23
213140,613,602,2332,0,4474,1426,40
237741,401,399,95,72,1948,819,13
237741,398,392,720,0,1173,841,26
237741,449,448,2931,0,1489,921,9
237741,505,500,127,0,1590,1066,26
237741,313,310,1572,0,1087,697,18
237741,649,646,9869,0,2204,1338,17
237741,762,755,388,72,2347,1707,35
237741,333,331,222,0,1222,749,8
237741,660,658,2635,0,3122,1560,23
237741,368,362,1227,0,1053,759,28
237741,475,474,1438,0,1592,960,13
237741,506,501,496,0,1461,1016,25
237741,443,437,1119,0,1407,888,18
237741,342,339,326,0,997,781,28
237741,604,603,1422,0,2991,1358,13
237741,412,410,4328,0,1942,846,10
237755,401,399,433,0,1254,822,19
237755,398,388,463,0,1117,839,41
237755,449,445,512,0,1316,921,15
237755,506,501,287,0,1622,1066,28
237755,313,308,438,0,1136,701,17
237755,649,646,1159,0,1984,1338,12
237755,797,782,488,288,2671,1860,73
237755,333,330,529,0,1392,749,10
237755,660,651,760,0,2695,1560,34
237755,369,362,1305,0,1190,782,34
237755,475,467,320,0,1553,960,19
237755,506,187,1944,0,301,1016,397
237755,443,438,468,0,1453,888,25
237755,342,333,132,216,999,781,29
237755,604,601,571,0,2066,1358,32
237755,412,410,545,0,1635,846,7
249816,401,394,208,0,927,421,11
249816,400,389,169,0,912,441,18
249816,450,445,126,0,1086,492,5
249816,507,499,178,0,1149,561,18
249816,313,307,121,72,886,419,9
249816,651,645,217,0,1575,720,14
249816,798,780,113,360,2217,1265,62
249816,334,328,357,0,821,462,13
249816,661,637,112,384,1783,1143,52
249816,369,360,254,0,898,412,11
249816,479,472,484,0,1166,484,9
249816,509,497,219,0,1044,519,16
249816,449,445,391,0,942,453,5
249816,347,342,134,120,916,531,22
249816,608,599,599,0,1585,965,33
249816,419,415,320,0,1010,423,5
308266,401,399,297,0,1421,807,24
308266,400,396,136,36,1343,813,37
308266,450,446,42,108,1364,901,26
308266,507,501,1123,0,1436,1038,42
308266,313,309,214,0,1087,629,24
308266,648,645,239,0,1986,1303,26
308266,797,784,0,708,2814,1613,80
308266,334,333,630,0,1273,679,13
308266,661,655,1472,0,2681,1338,25
308266,367,360,362,0,1228,734,26
308266,479,472,142,24,1446,964,32
308266,509,503,81,84,1446,1018,38
308266,448,447,81,72,1382,897,20
308266,347,341,1181,0,1184,699,17
308266,612,609,2057,0,2683,1234,16
