Basis,Aim Store Count,Instock Store Count,Balance On Hand,Balance On Order,Store Balance On Hand,Target Inventory Level,Need for Target Inventory Level
276778,520,515,70,0,1066,632,5
276778,338,331,63,0,632,397,10
276778,478,469,88,36,1118,623,13
276778,348,346,32,18,691,402,2
276778,296,293,14,48,503,323,4
276778,716,708,140,0,1488,942,11
276778,729,708,63,162,1355,847,21
276778,328,320,53,12,728,375,9
276778,710,698,86,126,1456,845,15
276778,438,434,76,0,786,501,5
276778,442,437,68,24,834,598,12
276778,489,479,52,36,942,582,12
276778,393,386,61,0,963,540,7
276778,353,348,20,36,805,387,5
276778,604,584,56,72,1031,798,32
276778,351,326,0,66,684,444,30
330002,1,1,33,0,2,1,0
330002,1,1,12,0,4,1,0
330002,328,310,48,0,743,354,19
330002,393,384,3,12,953,481,9
330002,1,1,9,36,3,3,0
249816,520,502,280,0,981,627,23
249816,344,333,141,84,702,516,20
249816,478,460,152,96,924,551,22
249816,353,348,116,48,794,538,18
249816,296,293,137,96,753,518,13
249816,719,659,85,108,1283,870,79
249816,758,724,362,528,1693,1220,83
249816,328,318,276,252,780,522,27
249816,714,666,327,252,1632,1109,88
249816,439,424,0,216,1011,733,47
249816,443,423,271,72,800,550,28
249816,489,471,164,144,927,601,33
249816,393,379,191,0,683,444,17
249816,353,342,66,252,711,471,23
249816,607,580,328,276,1452,958,52
249816,350,338,108,156,732,458,21
308266,520,514,240,0,1365,1091,48
308266,344,341,27,96,1063,804,24
308266,478,466,112,48,1336,992,55
308266,354,353,41,168,1014,767,26
308266,296,290,0,156,833,682,36
308266,724,701,3,144,2086,1495,72
308266,762,743,41,492,2325,1911,128
308266,328,327,94,180,1021,727,21
308266,718,710,37,144,2842,1546,44
308266,437,431,0,360,1325,974,42
308266,443,441,141,72,1369,919,25
308266,489,486,102,120,1523,1036,31
308266,395,388,89,0,1063,803,31
308266,355,351,293,0,935,763,26
308266,615,608,989,0,2307,1325,36
308266,351,351,51,36,1106,713,16
460400,520,520,847,0,2112,2083,115
460400,344,343,50,156,1456,1376,80
460400,478,472,309,0,1891,1916,168
460400,353,350,71,216,1512,1412,83
460400,296,296,263,192,1289,1212,68
460400,719,706,288,0,2968,2867,231
460400,750,744,903,372,3177,3088,169
460400,328,327,223,144,1415,1314,83
460400,714,712,213,228,3121,2860,176
460400,439,439,222,276,1901,1769,115
460400,443,442,267,228,1812,1774,134
460400,489,488,307,0,2009,1960,133
460400,393,392,304,0,1547,1570,130
460400,353,347,278,336,1458,1410,50
460400,607,606,220,192,2655,2421,154
460400,350,350,534,0,1546,1407,75
460403,520,519,262,588,2159,2082,122
460403,341,338,802,48,1400,1350,78
460403,475,474,511,0,1995,1904,122
460403,349,348,143,168,1520,1400,64
460403,296,296,232,348,1285,1224,73
460403,716,708,621,168,2917,2855,191
460403,749,744,876,480,3175,3104,171
460403,323,321,471,48,1405,1294,72
460403,702,699,347,288,2975,2807,200
460403,437,436,341,780,1840,1771,100
460403,441,439,448,0,1817,1771,130
460403,489,489,502,0,2065,1962,145
460403,393,392,394,0,1623,1567,106
460403,350,349,671,540,1465,1397,40
460403,600,599,137,132,2690,2393,121
460403,349,348,1795,0,1497,1398,94
460423,520,519,355,288,2115,2082,135
460423,343,343,56,192,1443,1359,73
460423,477,477,534,0,1998,1908,127
460423,350,350,29,300,1453,1402,88
460423,296,294,328,132,1224,1202,88
460423,719,714,780,0,2864,2863,245
460423,720,718,548,252,2906,2875,192
460423,328,327,206,108,1439,1313,66
460423,711,706,473,0,3180,2850,193
460423,439,435,68,324,1822,1762,137
460423,443,443,250,0,1848,1776,121
460423,489,442,1212,0,1383,1956,324
460423,393,390,311,0,1593,1567,114
460423,353,351,287,132,1451,1407,36
460423,607,605,144,192,2728,2422,169
460423,349,349,581,0,1486,1396,84
689296,509,507,162,0,1215,1036,35
689296,340,337,63,96,806,703,29
689296,459,438,149,168,1004,928,76
689296,352,348,11,156,834,717,31
689296,295,281,1,240,688,624,52
689296,682,641,36,168,1480,1404,138
689296,734,707,276,480,1699,1620,152
689296,318,312,116,300,851,690,30
689296,698,645,152,468,1570,1466,169
689296,434,409,0,444,981,899,83
689296,427,413,480,144,942,906,79
689296,473,464,137,216,1083,962,49
689296,371,361,266,0,854,756,32
689296,346,337,76,336,782,719,44
689296,580,561,0,372,1360,1204,90
689296,327,295,0,336,643,693,109
716887,518,508,606,0,1269,1105,54
716887,343,339,182,300,940,802,45
716887,478,471,348,192,1136,1007,55
716887,346,344,283,276,886,778,42
716887,292,276,129,324,815,783,62
716887,718,684,64,672,1605,1508,130
