Basis,Aim Store Count,Instock Store Count,Balance On Hand,Balance On Order,Store Balance On Hand,Target Inventory Level,Need for Target Inventory Level
276778,401,394,0,42,1033,802,13
276778,394,387,0,54,997,787,18
276778,450,442,3,48,1250,899,33
276778,510,502,28,54,1308,1018,51
276778,314,303,0,66,1035,627,32
276778,648,637,49,36,1713,1298,34
276778,775,765,59,54,3160,1533,12
276778,335,331,32,6,1089,671,8
276778,657,644,0,156,2701,1314,18
276778,369,362,5,54,963,738,21
276778,475,470,0,36,1333,950,22
276778,509,508,12,18,1344,1018,7
276778,448,444,2,36,1279,896,15
276778,346,341,0,54,1408,692,12
276778,608,594,0,186,2275,1216,24
276778,422,405,26,42,1463,840,48
973898,397,393,51,12,948,421,3
973898,389,388,13,36,885,414,5
973898,444,442,31,36,1091,473,4
973898,504,496,37,60,1171,537,10
973898,308,303,0,48,970,319,5
973898,629,625,10,48,1469,679,6
973898,786,780,166,12,3015,873,7
973898,326,323,36,12,957,340,0
973898,634,630,49,72,2309,689,2
973898,365,358,10,36,845,383,7
973898,469,467,24,36,1164,512,3
973898,490,488,33,12,1115,527,3
973898,431,427,5,36,945,490,5
973898,333,328,0,72,1150,347,6
973898,584,582,59,12,2179,683,5
973898,405,400,35,48,1313,419,7
973899,393,390,12,48,981,453,5
973899,385,385,99,0,949,425,4
973899,434,434,81,0,1210,459,0
973899,503,497,113,0,1327,572,10
973899,304,302,23,36,1041,310,2
973899,625,622,137,0,1590,724,9
973899,783,778,168,24,3313,852,3
973899,305,303,28,24,930,325,3
973899,590,585,169,0,2297,621,7
973899,344,339,22,36,888,358,7
973899,457,456,123,0,1295,489,5
973899,486,483,37,48,1208,530,8
973899,436,436,97,0,1176,474,0
973899,325,323,41,36,1252,358,1
973899,555,554,108,48,2283,606,4
973899,392,392,117,0,1437,401,0
973901,393,391,0,60,1048,393,1
973901,385,384,14,48,1028,386,0
973901,434,433,64,0,1239,434,1
973901,502,501,75,24,1452,504,0
973901,304,302,1,48,1072,309,3
973901,625,625,68,0,1678,626,1
973901,784,777,155,36,3506,827,9
973901,307,306,64,0,906,310,1
973901,590,585,217,0,2261,625,4
973901,344,342,0,48,946,345,1
973901,457,456,98,0,1392,464,1
973901,486,484,48,36,1270,486,2
973901,436,433,48,12,1346,436,3
973901,325,323,27,48,1300,339,1
973901,555,552,120,48,2288,615,6
973901,392,392,67,12,1447,406,0
200964,400,397,454,288,1244,811,22
200964,392,384,303,432,1132,806,41
200964,328,326,1207,432,1294,724,9
200964,604,601,1188,792,2319,1366,20
213140,403,396,610,720,1604,831,19
213140,399,390,147,1080,1967,827,35
213140,335,333,503,1080,2451,760,5
213140,611,606,1012,1104,5028,1391,13
237741,403,402,59,288,2069,821,8
237741,397,396,355,576,1340,817,12
237741,450,448,2496,72,1714,923,6
237741,513,513,133,504,1725,1054,8
237741,314,310,476,504,1077,690,19
