Basis,Aim Store Count,Instock Store Count,Balance On Hand,Balance On Order,Store Balance On Hand,Target Inventory Level,Need for Target Inventory Level
276778,518,501,0,60,1042,629,54
276778,330,325,0,36,665,384,6
276778,476,461,0,66,1105,624,45
276778,338,323,0,42,658,390,23
276778,294,290,40,0,528,314,5
276778,696,673,15,132,1435,916,55
276778,725,708,92,12,1400,831,18
276778,326,314,20,54,774,379,14
276778,703,681,90,18,1442,805,30
276778,439,409,34,0,776,479,28
276778,439,422,27,0,832,598,46
276778,487,470,42,0,1296,584,34
276778,390,370,32,0,922,545,72
276778,350,345,31,0,841,379,4
276778,599,567,120,18,972,735,64
276778,348,328,59,0,661,443,37
330002,518,516,43,24,1142,572,3
330002,331,320,16,0,695,361,9
330002,476,470,0,24,1339,541,6
330002,338,337,18,0,750,361,1
330002,294,288,12,0,611,307,7
330002,696,689,45,36,1956,779,6
330002,714,686,20,0,1508,755,25
330002,326,323,27,24,742,354,3
330002,703,689,77,12,1833,784,16
330002,439,419,27,0,955,466,9
330002,440,436,11,0,1125,539,3
330002,487,481,17,0,1143,531,7
330002,390,387,25,0,999,480,5
330002,350,346,31,0,892,358,4
330002,599,583,1,36,1361,706,29
330002,348,342,35,0,968,392,7
249816,518,495,71,180,1060,641,33
249816,336,325,103,84,719,482,22
249816,476,454,107,144,954,565,35
249816,343,335,129,108,818,525,16
249816,294,290,221,0,772,491,17
249816,700,662,147,372,1402,858,54
249816,754,689,403,396,1670,1254,131
249816,326,317,302,228,792,520,31
249816,705,666,784,60,1842,1163,85
249816,440,430,321,0,1110,738,32
249816,440,423,253,0,827,553,30
249816,487,466,348,0,958,606,38
249816,390,376,100,0,731,454,24
249816,350,341,268,0,827,492,22
249816,602,573,501,312,1423,961,68
249816,347,322,278,0,711,463,34
308266,518,513,671,0,1719,1636,132
308266,336,326,297,348,1312,1430,118
308266,476,456,226,336,1586,1643,144
308266,344,343,267,300,1345,1256,64
308266,294,290,677,0,1096,993,43
308266,704,693,542,672,2783,2580,177
308266,759,742,1764,1092,3316,3484,233
308266,326,322,153,516,1327,1326,95
308266,710,693,2080,0,3566,3337,206
308266,438,425,576,0,1672,1609,121
308266,440,427,200,0,1655,1602,119
308266,487,480,619,0,1997,1869,140
308266,392,385,213,0,1345,1225,73
308266,352,343,1564,0,1141,1162,88
308266,612,602,2111,216,3121,2921,187
308266,348,340,295,0,1450,1307,78
460400,518,510,560,0,1567,1270,81
460400,336,325,0,132,1158,954,59
460400,476,454,42,732,1418,1100,80
460400,343,338,0,180,1275,1000,63
460400,294,264,444,0,914,880,118
460400,700,676,883,540,2301,1761,120
460400,746,701,202,876,2414,2205,229
460400,326,315,296,300,1163,978,70
460400,705,689,2089,0,2752,2274,162
460400,440,427,442,0,1557,1291,105
460400,440,432,294,0,1302,1110,71
460400,487,481,1174,0,1544,1248,82
460400,390,381,662,0,1179,909,51
460400,350,340,309,0,1096,900,65
460400,602,591,713,0,2450,1843,93
460400,347,261,526,0,856,944,179
460403,518,503,389,396,1486,1350,116
460403,333,318,207,120,1132,986,63
460403,474,458,399,936,1439,1179,87
460403,339,330,245,408,1240,1033,60
460403,294,243,672,0,738,874,135
460403,697,665,480,792,2178,1848,135
460403,745,682,476,1128,2133,2113,259
460403,321,311,451,300,1186,1101,91
460403,693,658,1252,0,2875,2728,228
460403,439,418,429,0,1371,1257,120
460403,438,425,363,0,1406,1249,100
460403,487,477,984,0,1614,1363,109
460403,390,383,892,0,1190,1015,76
460403,348,339,312,0,1090,910,69
460403,594,573,1393,216,2413,2137,156
460403,346,222,782,0,618,1087,240
460423,518,506,487,96,1505,1306,91
460423,335,325,219,132,1015,950,90
460423,476,462,53,828,1369,1146,73
460423,340,334,208,96,1101,909,43
460423,294,292,310,0,894,738,39
460423,700,688,1030,204,2262,1780,99
460423,715,678,387,1296,1938,1969,231
460423,326,320,417,204,1069,919,66
460423,702,675,942,72,2781,2079,124
460423,440,433,273,0,1490,1109,63
460423,440,431,304,0,1278,1117,77
460423,487,476,1311,0,1439,1229,82
460423,390,385,685,0,1135,949,43
460423,350,343,344,0,999,834,45
460423,602,554,708,240,1947,1688,175
460423,346,324,406,264,982,906,101
689296,506,499,139,216,1267,1023,44
689296,332,326,127,60,784,665,19
689296,456,441,255,180,1077,911,43
689296,342,337,186,48,788,690,41
689296,293,291,156,0,770,598,19
689296,663,650,480,288,1556,1346,77
689296,730,714,526,144,1898,1588,76
689296,316,303,189,168,860,655,36
689296,687,669,617,24,1779,1423,73
689296,435,431,370,0,1173,889,26
689296,425,419,367,0,976,868,52
689296,470,465,443,0,1136,956,38
689296,369,364,167,0,895,755,34
689296,343,336,347,0,824,714,35
689296,575,565,420,48,1416,1164,52
689296,325,319,284,0,808,664,28
716887,516,500,1,384,1210,1100,97
716887,335,304,123,216,740,759,87
716887,476,461,49,300,1124,989,83
716887,336,330,107,180,834,727,47
716887,290,281,499,0,806,725,50
716887,698,685,356,468,1681,1446,80
716887,744,661,471,672,1764,1874,256
716887,325,317,407,564,907,837,70
716887,706,685,964,84,1938,1871,171
716887,436,424,611,0,1153,1027,73
716887,440,427,314,0,1053,948,62
716887,487,471,245,0,1131,1019,78
716887,390,385,129,0,920,796,39
716887,351,336,227,0,767,771,72
716887,605,571,543,96,1404,1346,143
716887,348,308,554,0,688,741,112
850624,518,434,0,1104,1081,1232,204
850624,336,305,3,216,865,848,102
850624,476,293,0,588,697,1102,288
850624,343,312,0,1128,874,872,114
850624,294,276,506,0,809,778,86
850624,700,619,45,2040,1847,1734,202
850624,731,671,116,432,1789,1767,219
850624,326,319,5,288,1081,966,81
850624,705,683,1122,132,2631,2470,227
850624,440,433,717,0,1336,1088,61
850624,440,336,187,372,813,1149,243
850624,487,428,358,0,1200,1281,193
850624,390,362,61,0,999,987,144
850624,350,345,725,0,999,832,48
850624,603,545,540,1032,1930,2008,227
850624,347,158,228,660,446,981,259
868171,518,515,52,108,1184,1046,27
868171,336,332,170,0,773,667,18
868171,476,474,35,120,1096,954,29
868171,344,342,128,96,804,688,21
868171,294,294,191,0,705,592,16
868171,701,691,195,252,1633,1391,47
868171,715,702,136,180,1589,1445,61
868171,326,320,249,108,784,667,27
868171,705,692,448,0,1635,1421,58
868171,439,437,192,0,1037,885,21
868171,440,436,153,0,1009,880,23
868171,487,486,109,0,1092,976,28
868171,391,390,97,0,913,780,18
868171,351,346,153,0,816,693,22
868171,606,599,307,36,1389,1209,43
868171,348,338,144,0,754,698,54
920128,513,504,231,24,885,610,11
920128,320,314,209,0,620,399,2
920128,472,470,200,12,797,557,5
920128,325,320,200,0,636,400,4
920128,272,270,354,0,613,367,3
920128,687,672,314,60,1145,811,6
920128,708,696,870,0,1533,1040,21
920128,313,306,271,48,790,496,5
920128,660,642,716,0,1581,1063,27
920128,418,412,346,0,900,534,4
920128,427,421,259,0,788,537,9
920128,485,479,181,0,906,600,8
920128,387,383,204,0,625,446,8
920128,346,344,327,0,679,479,3
920128,558,550,647,0,1389,878,10
920128,335,331,233,0,672,446,3
559682,517,509,37,216,1311,1048,33
559682,330,319,0,144,747,682,49
559682,476,456,116,312,1179,975,67
559682,337,333,63,156,858,683,11
559682,294,286,382,0,766,675,33
559682,697,691,41,192,1832,1392,21
559682,753,655,192,900,1724,1806,251
559682,326,318,43,288,965,771,30
559682,703,684,1201,156,2060,1736,108
559682,439,436,258,0,1087,895,29
559682,438,434,165,396,1154,946,28
559682,485,480,103,0,1250,975,18
559682,388,387,45,0,1026,781,12
559682,350,341,72,408,887,749,45
559682,596,548,1141,0,1403,1396,174
559682,346,344,472,0,916,753,34
867042,517,512,141,396,1466,1062,46
867042,330,326,26,228,966,677,29
867042,476,472,240,324,1274,968,45
867042,337,335,219,168,918,685,27
867042,294,289,367,0,924,632,22
867042,697,684,265,396,1857,1410,78
867042,752,735,490,552,2238,1662,94
867042,326,323,83,348,999,703,29
867042,703,687,865,156,1908,1572,104
867042,439,433,296,0,1299,920,40
867042,438,431,255,276,1211,910,49
867042,485,478,367,0,1346,995,59
867042,389,381,257,0,1101,794,41
867042,349,341,285,348,920,749,74
867042,596,557,508,0,1590,1327,120
867042,347,343,369,0,951,722,45
867043,517,501,139,588,1179,1062,67
867043,330,318,0,336,741,664,56
867043,476,427,176,504,938,966,125
867043,337,335,97,288,771,683,32
867043,294,288,382,0,786,666,34
867043,697,674,0,648,1522,1406,111
867043,755,660,325,948,1646,1785,263
867043,326,316,0,816,906,822,69
867043,703,652,1208,156,1848,1859,192
867043,439,432,172,0,1090,937,42
867043,438,431,62,480,1086,919,37
867043,485,476,197,0,1079,989,63
867043,389,384,221,0,843,779,41
867043,349,340,78,576,808,729,55
867043,597,428,429,12,985,1331,281
867043,347,288,522,0,647,742,129
908126,517,511,103,324,1171,1061,45
908126,330,325,42,168,734,664,23
908126,476,469,243,276,1040,963,36
908126,337,335,181,120,740,683,21
908126,294,291,250,0,730,613,21
908126,697,657,0,660,1375,1395,138
908126,753,741,170,192,2013,1583,81
908126,326,318,214,336,820,726,43
908126,703,673,425,84,1759,1585,126
908126,439,436,182,0,967,887,27
908126,438,418,151,228,898,903,77
908126,485,478,440,0,1053,984,43
908126,389,385,225,0,836,784,27
908126,350,344,115,216,779,706,38
908126,597,562,338,0,1390,1296,126
908126,347,339,244,0,835,741,42
232807,518,515,175,168,1561,1558,169
232807,330,325,129,60,924,985,117
232807,476,470,129,240,1488,1438,87
232807,339,335,127,120,959,1017,122
232807,294,289,218,0,922,887,93
232807,697,684,362,516,2239,2087,103
232807,756,732,787,480,2369,2478,275
232807,326,318,240,348,937,994,135
232807,704,684,1661,600,2223,2203,179
232807,439,436,317,0,1309,1323,150
232807,440,433,190,132,1310,1323,77
232807,487,474,214,0,1353,1463,182
232807,390,387,163,0,1237,1170,42
232807,350,342,412,0,1065,1052,72
232807,599,587,1189,204,1870,1859,146
232807,348,342,127,444,1072,1055,68
232813,518,513,118,312,1441,1581,207
232813,330,320,138,120,905,997,132
232813,476,464,163,372,1483,1464,96
232813,339,330,111,228,973,1024,121
232813,294,287,420,0,1062,932,103
232813,697,680,432,948,2176,2141,135
232813,756,717,1144,612,2350,2508,290
232813,326,315,389,504,1103,1104,132
232813,704,685,2014,0,2475,2334,210
232813,439,435,504,0,1294,1335,169
232813,440,432,535,0,1376,1352,99
232813,487,477,252,0,1366,1476,181
232813,390,387,242,0,1203,1176,65
232813,350,343,312,0,1062,1099,85
232813,598,576,2816,0,2108,2046,177
232813,348,342,1037,0,1094,1076,76
483167,518,512,114,156,1157,1039,44
483167,334,287,0,384,570,662,112
483167,476,472,148,24,1087,952,37
483167,342,340,24,132,744,687,33
483167,294,292,73,120,737,601,28
483167,698,682,257,240,1725,1389,56
483167,725,710,455,180,1956,1470,87
483167,326,320,199,240,818,672,47
483167,704,679,938,528,1971,1539,119
483167,439,419,94,180,1018,899,67
483167,439,434,77,204,998,882,40
483167,487,480,168,36,1015,978,50
483167,392,386,131,36,906,781,35
483167,350,325,294,36,739,726,65
483167,604,586,646,312,1596,1243,93
483167,348,241,0,768,494,706,195
697513,156,155,35,36,418,313,12
697513,126,122,35,0,294,248,13
697513,196,194,51,24,537,392,8
697513,165,163,52,36,392,330,10
697513,204,204,80,0,506,410,11
697513,271,268,95,72,715,539,15
697513,526,513,278,72,1273,1050,50
697513,204,196,79,84,549,414,23
697513,542,533,299,48,2256,1094,46
697513,186,185,83,0,484,373,13
697513,217,216,71,0,571,434,14
697513,162,158,35,0,434,326,19
697513,106,105,24,0,292,212,7
697513,275,268,158,0,787,550,27
