Basis,Aim Store Count,Instock Store Count,Balance On Hand,Balance On Order,Store Balance On Hand,Target Inventory Level,Need for Target Inventory Level
276778,401,388,0,66,976,801,43
276778,394,385,6,54,1002,787,24
276778,449,444,0,30,1240,899,28
276778,511,501,0,36,1327,1019,38
276778,313,310,2,24,1101,627,12
276778,648,624,73,66,1633,1298,71
276778,774,753,38,144,2678,1531,50
276778,335,323,14,66,920,671,35
276778,661,634,12,228,2538,1323,54
276778,369,361,0,60,945,738,26
276778,476,452,54,6,1266,951,59
276778,509,499,2,42,1301,1018,32
276778,448,439,28,30,1258,896,28
276778,346,341,6,24,1418,692,16
276778,608,576,0,234,2105,1220,67
276778,420,398,24,78,1472,834,43
973898,397,389,3,60,895,421,10
973898,389,384,33,60,876,413,4
973898,443,435,0,60,1046,474,15
973898,504,498,0,36,1180,538,5
973898,307,304,23,12,993,319,4
973898,628,622,12,48,1446,679,8
973898,785,775,94,108,2551,875,12
973898,326,316,36,36,781,341,11
973898,638,621,0,216,2193,693,17
973898,363,353,0,60,823,383,13
973898,468,464,36,24,1167,510,2
973898,490,484,16,48,1104,527,6
973898,431,425,24,12,934,490,10
973898,333,330,6,12,1189,349,2
973898,586,580,0,132,2108,685,10
973898,402,384,72,96,1283,420,22
973899,393,389,2,72,952,453,6
973899,385,381,142,0,938,424,9
973899,434,428,119,0,1197,459,5
973899,504,499,187,0,1294,573,10
973899,303,300,57,0,1079,310,5
973899,625,620,222,0,1581,723,9
973899,781,771,115,144,2850,854,15
973899,305,303,110,0,812,325,3
973899,591,586,52,192,2224,623,8
973899,344,337,0,60,875,358,7
973899,457,455,183,0,1302,488,5
973899,487,481,4,60,1204,531,8
973899,436,434,161,0,1134,474,1
973899,325,324,74,0,1305,358,1
973899,557,554,39,156,2269,607,4
973899,391,388,152,0,1469,400,2
973901,393,391,8,48,1034,393,1
973901,385,379,74,0,1020,386,7
973901,434,431,136,0,1238,434,5
973901,503,499,139,0,1446,505,1
973901,303,300,41,12,1132,309,3
973901,625,621,144,0,1671,626,3
973901,782,779,134,120,3070,829,4
973901,307,305,56,24,776,310,2
973901,591,581,74,252,2231,629,12
973901,344,342,35,12,960,345,0
973901,457,455,136,0,1405,463,2
973901,487,484,100,0,1301,487,2
973901,435,432,78,0,1332,435,3
973901,325,321,45,24,1332,340,4
973901,557,552,54,156,2282,616,5
973901,391,386,127,0,1480,406,3
200964,400,397,518,0,1185,813,31
200964,391,387,432,0,1164,806,30
200964,328,323,761,432,1197,724,22
200964,606,603,1328,0,2164,1369,35
213140,402,396,829,360,1405,836,49
213140,399,391,1032,0,1569,831,31
213140,335,329,906,0,1660,762,19
213140,613,611,1014,1080,3950,1528,17
237741,402,400,167,0,2049,819,7
237741,397,393,237,0,1339,817,7
237741,449,449,2571,0,1705,923,8
237741,514,512,99,144,1694,1060,12
237741,313,310,777,0,1077,684,17
237741,649,644,1290,0,2514,1328,9
237741,764,761,342,288,2537,1707,20
237741,334,334,212,0,1313,735,5
237741,662,660,1973,0,3261,1556,12
237741,368,367,655,0,1180,759,11
237741,476,475,1030,0,1763,957,8
237741,507,506,179,0,1758,1018,7
237741,443,442,2581,0,1532,888,6
237741,343,342,640,0,1137,779,19
237741,604,603,914,1800,3111,1360,6
237741,415,415,3912,0,2053,844,4
237755,402,400,73,144,1353,819,8
237755,397,395,128,144,1313,817,13
237755,449,448,404,0,1447,923,10
237755,514,510,157,216,1630,1060,19
237755,313,310,660,0,1090,682,12
237755,649,646,509,0,2216,1328,11
237755,798,791,702,360,2716,1824,49
237755,334,334,111,0,1496,735,6
237755,661,651,175,288,2784,1556,43
237755,369,366,569,0,1293,767,10
237755,476,474,115,72,1588,957,9
