Basis,Aim Store Count,Instock Store Count,Balance On Hand,Balance On Order,Store Balance On Hand,Target Inventory Level,Need for Target Inventory Level
276778,516,510,121,0,1028,589,5
276778,328,319,0,18,656,370,12
276778,476,472,42,54,1075,521,4
276778,335,331,20,30,660,368,4
276778,294,288,54,0,510,312,7
276778,688,656,23,84,1367,807,33
276778,698,688,111,90,1356,830,14
276778,325,319,5,66,776,371,8
276778,702,674,53,90,1376,753,31
276778,421,417,56,0,776,458,5
276778,436,423,22,66,801,466,15
276778,487,473,7,60,1266,551,15
276778,390,383,13,36,911,434,8
276778,372,353,18,42,880,404,19
276778,601,571,0,126,947,633,32
276778,348,331,50,18,636,359,19
330002,516,511,110,0,1121,608,4
330002,329,327,21,12,691,383,2
330002,476,476,42,12,1338,528,1
330002,335,332,25,12,731,373,2
330002,294,292,20,12,588,304,2
330002,688,680,63,0,1920,845,9
330002,689,682,33,60,1453,811,8
330002,325,320,35,36,733,354,5
330002,702,690,62,36,1804,732,12
330002,421,415,52,0,923,453,7
330002,437,434,45,12,1096,517,3
330002,486,484,56,0,1106,568,2
330002,390,388,15,24,968,500,2
330002,372,371,62,0,950,427,1
330002,601,587,66,12,1354,625,13
330002,348,347,62,0,974,361,1
249816,516,494,196,180,1110,643,32
249816,332,319,48,108,754,500,23
249816,476,458,244,144,1024,593,31
249816,340,333,114,180,842,535,18
249816,294,292,180,120,798,528,22
249816,692,673,141,180,1513,853,34
249816,728,706,549,612,1747,1235,74
249816,325,310,8,396,888,557,35
249816,704,668,565,588,1798,1198,88
249816,439,430,349,180,1125,748,30
249816,437,422,152,276,864,563,33
249816,487,461,131,228,983,629,56
249816,390,380,18,120,792,460,14
249816,372,358,149,360,932,543,43
249816,601,574,96,888,1520,998,73
249816,347,330,154,180,767,521,47
308266,516,503,1258,468,1714,1617,147
308266,332,329,937,0,1414,1407,105
308266,476,471,917,372,1663,1616,117
308266,341,335,949,576,1236,1210,86
308266,294,291,1130,228,1148,1016,57
308266,696,688,2407,288,2780,2511,188
308266,731,721,2659,1308,3267,3257,218
308266,325,323,878,684,1341,1260,86
308266,709,705,2990,408,3771,3104,164
308266,437,435,1200,108,1815,1621,106
308266,437,428,471,1032,1615,1555,115
308266,487,482,766,360,1942,1825,160
308266,392,390,1262,228,1327,1216,78
308266,374,372,712,1644,1281,1228,69
308266,613,607,1283,1812,3154,2744,160
308266,348,346,793,984,1382,1258,65
460400,516,506,647,348,1572,1250,74
460400,332,329,95,192,1155,944,65
460400,476,472,402,24,1532,1084,33
460400,340,334,267,432,1194,973,76
460400,294,289,32,0,1059,867,58
460400,692,680,298,264,2197,1684,86
460400,720,707,354,648,2542,2124,129
460400,325,323,62,636,1235,950,63
460400,704,692,100,624,2785,2163,102
460400,439,432,243,276,1462,1300,134
460400,437,433,193,336,1386,1086,45
460400,487,486,203,180,1493,1242,91
460400,390,386,160,204,1189,907,39
460400,372,359,177,336,1224,987,79
460400,601,592,134,1008,2358,1779,86
460400,347,345,158,144,1191,915,52
460403,516,509,724,216,1553,1293,98
460403,329,325,269,228,1164,959,68
460403,474,467,336,384,1481,1140,49
460403,336,330,593,420,1114,964,78
460403,294,286,69,156,998,857,54
460403,689,674,1635,0,2195,1749,102
460403,718,711,349,792,2426,2008,125
460403,320,317,266,552,1215,1023,85
460403,692,687,629,768,2973,2487,155
460403,438,432,600,252,1478,1225,87
460403,435,431,588,576,1420,1178,58
460403,487,481,441,456,1535,1328,113
460403,390,387,280,12,1284,1000,43
460403,370,365,168,648,1343,993,38
460403,593,586,472,1440,2442,2006,113
460403,346,344,256,204,1283,1032,67
460423,516,511,585,624,1463,1283,105
460423,331,327,206,0,1048,933,84
460423,476,472,688,0,1415,1144,35
460423,337,329,401,348,964,880,69
460423,294,285,1,216,841,741,71
460423,692,680,951,924,2091,1725,132
460423,690,681,406,504,2044,1883,163
460423,325,312,0,576,990,894,110
460423,701,693,794,432,2671,1967,91
460423,439,436,664,108,1438,1093,89
460423,437,429,627,84,1237,1095,66
460423,487,477,865,0,1298,1215,130
460423,390,387,434,180,1156,935,39
460423,372,356,87,552,1003,882,97
460423,601,595,115,708,2150,1626,65
460423,346,342,73,168,1064,885,59
689296,503,490,214,228,1235,1004,40
689296,329,325,80,120,833,678,23
689296,454,431,374,192,1060,885,25
689296,338,333,225,168,834,682,19
689296,294,293,218,96,814,621,19
689296,652,641,328,264,1588,1340,61
689296,703,698,403,672,1905,1567,83
689296,313,303,143,312,884,680,30
689296,684,658,460,504,1805,1477,78
689296,433,433,442,180,1168,925,31
689296,420,414,192,372,975,871,45
689296,469,461,368,240,1148,964,38
689296,367,354,66,192,864,748,32
689296,365,362,264,348,955,777,40
689296,568,560,247,516,1430,1192,50
689296,323,317,178,192,771,679,32
716887,513,504,128,324,1262,1079,56
716887,331,327,2,252,867,758,43
716887,476,474,183,276,1147,988,45
716887,333,329,160,336,842,722,37
716887,289,285,340,252,851,736,39
716887,690,669,255,276,1634,1433,92
