Basis,Point of Sale,Balance On Hand,Aim Store Count,Instock Store Count,Date
4000902,1363,23843,3957,3595,201301
4000902,1366,23602,3949,3417,201302
4000902,1377,22090,3686,2996,201303
4000902,2053,20114,25,17,201304
4000902,2029,18537,26,17,201305
4000902,2981,15757,26,17,201306
4000902,1993,13741,26,15,201307
4000902,1434,12323,0,0,201308
4000902,879,10801,0,0,201309
4000902,555,10018,0,0,201310
4000902,489,9194,0,0,201311
4000902,571,8682,0,0,201312
4000902,495,8260,0,0,201313
4000902,776,7010,0,0,201314
4000902,762,5672,0,0,201315
4000902,274,5169,0,0,201316
4000902,266,4962,0,0,201317
4000902,246,4774,0,0,201318
4000902,282,4501,0,0,201319
4000902,239,4239,0,0,201320
4000902,298,4057,0,0,201321
4000902,201,3863,0,0,201322
4000902,195,3764,0,0,201323
4000902,147,3615,0,0,201324
4000902,101,3347,0,0,201325
4000902,106,3252,0,0,201326
4000902,82,3104,0,0,201327
4000902,55,3060,0,0,201328
4000902,52,2967,0,0,201329
4000902,48,2949,0,0,201330
4000902,36,2910,0,0,201331
4000902,54,2851,0,0,201332
4000902,32,2845,0,0,201333
4000902,17,2795,0,0,201334
4000902,110,2655,0,0,201335
4000902,203,2396,0,0,201336
4000902,83,2076,0,0,201337
4000902,14,2044,0,0,201338
4000902,7,2005,0,0,201339
4000902,10,1994,0,0,201340
4000902,8,1992,0,0,201341
4000902,10,1989,0,0,201342
4000902,16,1976,0,0,201343
4000902,9,1971,0,0,201344
4000902,17,1958,0,0,201345
4000902,5,1956,0,0,201346
4000902,3,1959,0,0,201347
4000902,10,1951,0,0,201348
4000902,3,1948,0,0,201349
4000902,2,1904,0,0,201350
4000902,3,1899,0,0,201351
4000902,18,1879,0,0,201352
4000902,0,1879,0,0,201353
4000909,12713,33061,3697,3619,201301
4000909,13044,33471,3700,3632,201302
4000909,13065,34221,3702,3661,201303
4000909,12767,33947,3706,3658,201304
4000909,13075,33390,3707,3663,201305
4000909,12924,26901,3707,3593,201306
4000909,11749,30779,3715,3614,201307
4000909,12605,34521,3715,3674,201308
4000909,12004,30956,3717,3643,201309
4000909,11840,28171,3717,3636,201310
4000909,11564,29334,3719,3659,201311
4000909,12022,27129,3724,3621,201312
4000909,10961,25829,3725,3593,201313
4000909,11115,26611,3725,3622,201314
4000909,10721,25583,3826,3701,201315
4000909,9997,28034,3827,3735,201316
4000909,10676,27890,3828,3714,201317
4000909,10344,29087,3828,3735,201318
4000909,11379,28231,3828,3713,201319
4000909,10736,31112,3842,3759,201320
4000909,10943,34195,3837,3787,201321
4000909,11182,30164,3843,3742,201322
4000909,11509,33658,3840,3778,201323
4000909,11558,30989,3841,3711,201324
4000909,11085,30897,3860,3778,201325
4000909,11033,29178,3865,3745,201326
4000909,10405,28507,3870,3753,201327
4000909,10201,25942,3868,3723,201328
4000909,10080,26448,3888,3751,201329
4000909,9923,26425,3889,3765,201330
4000909,9744,26812,3894,3809,201331
4000909,10374,24309,3894,3765,201332
4000909,9462,25281,3903,3779,201333
4000909,9417,26340,3910,3820,201334
4000909,9491,25212,3910,3783,201335
4000909,9603,27931,3919,3796,201336
4000909,9719,29010,3919,3850,201337
4000909,10150,27485,3927,3826,201338
4000909,9663,28982,3930,3849,201339
4000909,9522,30765,3935,3862,201340
4000909,10289,29972,3940,3874,201341
4000909,9909,29811,3946,3868,201342
4000909,9897,30192,3945,3879,201343
4000909,8513,28266,3944,3882,201344
4000909,9417,28878,3947,3879,201345
4000909,8849,30147,3947,3896,201346
4000909,9009,30362,3948,3902,201347
4000909,8369,28518,3948,3895,201348
4000909,10161,25856,3948,3839,201349
4000909,9708,27456,3949,3854,201350
4000909,10934,27701,3967,3869,201351
4000909,10221,27783,3968,3854,201352
4000909,1512,27783,3968,3854,201353
4011825,2,233,0,0,201301
4011825,3,231,0,0,201302
4011825,8,223,0,0,201303
4011825,8,208,0,0,201304
4011825,0,203,0,0,201305
4011825,5,195,0,0,201306
4011825,2,177,0,0,201307
4011825,2,183,0,0,201308
4011825,1,175,0,0,201309
4011825,-1,127,0,0,201310
4011825,0,107,0,0,201311
4011825,0,105,0,0,201312
4011825,2,101,0,0,201313
4011825,3,92,0,0,201314
4011825,2,87,0,0,201315
4011825,1,78,0,0,201316
4011825,1,77,0,0,201317
4011825,2,75,0,0,201318
4011825,2,71,0,0,201319
4011825,5,67,0,0,201320
4011825,0,59,0,0,201321
4011825,3,56,0,0,201322
4011825,2,54,0,0,201323
4011825,1,52,0,0,201324
4011825,0,51,0,0,201325
4011825,0,51,0,0,201326
4011825,0,50,0,0,201327
4011825,1,42,0,0,201328
4011825,0,42,0,0,201329
4011825,2,40,0,0,201330
4011825,1,38,0,0,201331
4011825,0,37,0,0,201332
4011825,0,40,0,0,201333
4011825,0,47,0,0,201334
4011825,0,48,0,0,201335
4011825,0,43,0,0,201336
4011825,1,42,0,0,201337
4011825,0,40,0,0,201338
4011825,0,39,0,0,201339
4011825,0,39,0,0,201340
4011825,-1,38,0,0,201341
4011825,0,38,0,0,201342
4011825,-1,39,0,0,201343
4011825,0,38,0,0,201344
4011825,0,38,0,0,201345
4011825,0,38,0,0,201346
4011825,0,38,0,0,201347
4011825,0,36,0,0,201348
4011825,0,36,0,0,201349
4011825,1,35,0,0,201350
4011825,1,33,0,0,201351
4011825,0,33,0,0,201352
4011825,0,33,0,0,201353
550168489,5661,27867,3966,3941,201301
550168489,5492,28347,3966,3936,201302
550168489,5424,28683,3969,3957,201303
550168489,5255,28675,3972,3949,201304
550168489,5231,28493,3976,3954,201305
550168489,5337,25845,3976,3930,201306
550168489,5576,26289,3985,3947,201307
550168489,5244,27125,3985,3954,201308
550168489,4945,25860,3988,3965,201309
550168489,5135,24550,3988,3950,201310
550168489,4920,24501,3987,3954,201311
550168489,5004,23698,3994,3955,201312
550168489,4923,22910,3996,3938,201313
550168489,4784,22870,3997,3949,201314
550168489,4728,22062,3998,3931,201315
550168489,4709,22802,4000,3940,201316
550168489,4865,22497,4002,3947,201317
550168489,4843,23141,4001,3947,201318
550168489,5102,23272,4001,3926,201319
550168489,4984,24070,4016,3949,201320
550168489,4852,23843,4010,3959,201321
550168489,4926,21511,4016,3926,201322
550168489,5113,23248,4013,3950,201323
550168489,5111,23011,4012,3916,201324
550168489,5142,23793,4032,3965,201325
550168489,5053,23963,4037,3980,201326
550168489,4820,24365,4043,3979,201327
550168489,4873,23614,4042,3966,201328
550168489,4738,24123,4060,3996,201329
550168489,4610,24817,4061,4011,201330
550168489,4601,25118,4066,4014,201331
550168489,4815,24277,4066,4014,201332
550168489,4515,23950,4074,4012,201333
550168489,4319,22579,4079,4011,201334
550168489,4167,20819,4080,3958,201335
550168489,4092,20378,4089,3949,201336
550168489,4107,21901,4090,4000,201337
550168489,4210,23310,4098,4012,201338
550168489,4289,25048,4102,4035,201339
550168489,4210,26182,4107,4062,201340
550168489,4516,26066,4113,4062,201341
550168489,4237,26512,4126,4082,201342
550168489,4289,26810,4124,4079,201343
550168489,3685,26340,4124,4082,201344
550168489,4120,26075,4127,4073,201345
550168489,3925,25256,4126,4081,201346
550168489,3734,25000,4127,4088,201347
550168489,3637,23947,4127,4052,201348
550168489,4572,22892,4127,4027,201349
550168489,4355,23767,4129,4037,201350
550168489,4869,24312,4147,4053,201351
550168489,4428,24581,4147,4050,201352
550168489,671,24581,4147,4050,201353
550210106,1738,27420,3967,3956,201301
550210106,1952,27243,3969,3956,201302
550210106,2501,26780,3973,3952,201303
550210106,2509,26529,3976,3950,201304
550210106,2657,26680,3979,3956,201305
550210106,2696,25341,3978,3936,201306
550210106,2764,26271,3987,3951,201307
550210106,2807,27715,3986,3956,201308
550210106,2965,27580,3988,3957,201309
550210106,3114,27908,3988,3961,201310
550210106,2940,29394,3987,3963,201311
550210106,3000,29850,3994,3965,201312
550210106,3081,29753,3996,3971,201313
550210106,3445,30678,3951,3920,201314
550210106,3360,31759,3952,3927,201315
550210106,4233,33902,3954,3933,201316
550210106,6389,35113,3955,3922,201317
550210106,8619,35864,3954,3858,201318
550210106,10159,36145,3954,3802,201319
550210106,11372,40185,3961,3818,201320
550210106,13366,45051,3955,3874,201321
550210106,15070,39106,3977,3734,201322
550210106,14322,44545,3973,3866,201323
550210106,14536,41666,3973,3825,201324
550210106,13118,38146,3984,3816,201325
550210106,10819,34606,3989,3822,201326
550210106,8097,34624,3994,3858,201327
550210106,6904,34418,3993,3900,201328
550210106,5619,35947,4003,3950,201329
550210106,4463,35859,4003,3960,201330
550210106,4354,34542,4006,3969,201331
550210106,4643,31782,4007,3965,201332
550210106,3622,30514,4022,3974,201333
550210106,3034,29356,4024,3952,201334
550210106,2825,28774,4025,3958,201335
550210106,2680,29803,4029,3971,201336
550210106,2714,30361,4030,3979,201337
550210106,2688,30486,4038,3991,201338
550210106,2471,31380,4039,3993,201339
550210106,2418,30412,4040,3984,201340
550210106,2573,28705,4042,3960,201341
550210106,2311,27612,4043,3922,201342
550210106,2447,26700,4040,3927,201343
550210106,2268,25447,4040,3863,201344
550210106,2186,24496,4040,3849,201345
550210106,1929,23756,4039,3844,201346
550210106,2021,22338,4039,3761,201347
550210106,1988,20788,4038,3662,201348
550210106,2328,18966,4038,3518,201349
550210106,2022,17178,4038,3318,201350
550210106,1858,15360,4044,3062,201351
550210106,1486,13855,4044,2809,201352
550210106,212,13855,4044,2809,201353
551118810,0,0,0,0,201301
551118810,0,0,0,0,201302
551118810,0,0,0,0,201303
551118810,7,1262,80,1,201304
551118810,1334,14131,3963,3682,201305
551118810,1561,13368,3963,3603,201306
551118810,1564,26818,3968,3891,201307
551118810,1946,32316,3971,3922,201308
551118810,1648,33454,3971,3950,201309
551118810,2132,35467,3971,3942,201310
551118810,2565,35173,3969,3924,201311
551118810,2934,34488,3976,3926,201312
551118810,3232,43394,3978,3926,201313
551118810,3965,43104,3979,3951,201314
551118810,3979,43577,3981,3939,201315
551118810,5166,49433,3984,3963,201316
551118810,8045,66917,3986,3963,201317
551118810,10366,69629,3984,3959,201318
551118810,13044,70766,3981,3944,201319
551118810,14490,70021,3997,3942,201320
551118810,17324,72353,3993,3969,201321
551118810,20633,66520,4000,3899,201322
551118810,20629,68396,3998,3948,201323
551118810,18434,59280,3997,3831,201324
551118810,15079,54312,4017,3879,201325
551118810,13490,51666,4024,3878,201326
551118810,12837,49000,4032,3893,201327
551118810,12174,45164,4029,3861,201328
551118810,10675,43561,4048,3922,201329
551118810,10999,41720,4051,3913,201330
551118810,10683,39823,4055,3934,201331
551118810,10564,34446,4055,3839,201332
551118810,8506,34913,4064,3922,201333
551118810,6897,33517,4070,3913,201334
551118810,5812,34007,4069,3935,201335
551118810,5963,35472,4077,3989,201336
551118810,4528,35309,4079,4005,201337
551118810,4001,36007,4088,4041,201338
551118810,2724,37571,4090,4064,201339
551118810,2290,38003,4096,4076,201340
551118810,2107,37021,4102,4082,201341
551118810,1743,36374,4106,4072,201342
551118810,1738,35651,4114,4068,201343
551118810,1309,34863,4115,4071,201344
551118810,1415,33910,4118,4063,201345
551118810,1126,33586,4117,4069,201346
551118810,1218,33073,4118,4065,201347
551118810,1128,32719,4118,4072,201348
551118810,1237,32408,4118,4057,201349
551118810,1185,32334,4122,4037,201350
551118810,1263,31914,4140,4051,201351
551118810,1184,31794,4140,4050,201352
551118810,159,31794,4140,4050,201353
551118811,0,0,0,0,201301
551118811,0,0,0,0,201302
551118811,0,0,0,0,201303
551118811,0,0,9,0,201304
551118811,3,2122,3324,327,201305
551118811,1621,19225,3327,3122,201306
551118811,4263,27461,3334,3293,201307
551118811,4673,26618,3336,3299,201308
551118811,4248,23784,3337,3273,201309
551118811,4738,21546,3340,3238,201310
551118811,4908,21924,3343,3281,201311
551118811,4767,22398,3350,3288,201312
551118811,4751,22378,3352,3282,201313
551118811,5164,23850,3354,3303,201314
551118811,5351,23965,3355,3296,201315
551118811,5438,26755,3356,3324,201316
551118811,6325,28486,3357,3327,201317
551118811,6473,31810,3358,3330,201318
551118811,7063,33728,3358,3334,201319
551118811,6762,36550,3376,3353,201320
551118811,6995,40442,3373,3359,201321
551118811,6946,38573,3381,3360,201322
551118811,7431,38600,3378,3370,201323
551118811,6856,35034,3380,3366,201324
551118811,6608,32608,3403,3381,201325
551118811,6268,29659,3407,3364,201326
551118811,6039,27542,3413,3357,201327
551118811,6059,24395,3413,3327,201328
551118811,5662,23378,3432,3347,201329
551118811,5615,23448,3436,3378,201330
551118811,5502,22851,3440,3379,201331
