Basis,Point of Sale,Aim Store Count,Instock Store Count,Balance On Order,Balance On Hand,Date
4000909,9327,0,0,0,0,201412
4000909,9643,0,0,0,0,201413
4000909,9447,0,0,0,0,201414
4000909,9238,0,0,0,0,201415
4000909,8885,0,0,0,0,201416
4000909,9099,0,0,0,0,201417
4000909,9652,0,0,0,0,201418
4000909,9993,0,0,0,0,201419
4000909,10150,0,0,0,0,201420
4000909,9952,0,0,0,0,201421
4000909,10291,0,0,0,0,201422
4000909,10111,0,0,0,0,201423
4000909,10010,0,0,0,0,201424
4000909,9709,0,0,0,0,201425
4000909,9735,0,0,0,0,201426
4000909,9650,0,0,0,0,201427
4000909,9576,0,0,0,0,201428
4000909,9277,0,0,0,0,201429
4000909,9510,0,0,0,0,201430
4000909,9494,0,0,0,0,201431
4000909,9375,0,0,0,0,201432
4000909,9078,0,0,0,0,201433
4000909,8752,0,0,0,0,201434
4000909,9236,0,0,0,0,201435
4000909,8775,0,0,0,0,201436
4000909,8709,0,0,0,0,201437
4000909,8561,0,0,0,0,201438
4000909,8333,0,0,0,0,201439
4000909,8954,0,0,0,0,201440
4000909,8714,0,0,0,0,201441
4000909,8294,0,0,0,0,201442
4000909,7916,0,0,0,0,201443
4000909,9239,0,0,0,0,201444
4000909,9074,0,0,0,0,201445
4000909,9019,0,0,0,0,201446
4000909,7773,0,0,0,0,201447
4000909,9567,0,0,0,0,201448
4000909,9017,0,0,0,0,201449
4000909,9737,0,0,0,0,201450
4000909,9899,0,0,0,0,201451
4000909,9734,0,0,0,0,201452
4000909,10525,0,0,0,0,201501
4000909,10530,0,0,0,0,201502
4000909,9741,0,0,0,0,201503
4000909,10240,0,0,0,0,201504
4000909,10418,0,0,0,0,201505
4000909,10661,0,0,0,0,201506
4000909,10380,0,0,0,0,201507
4000909,10733,0,0,0,0,201508
4000909,10258,0,0,0,0,201509
4000909,10168,0,0,0,0,201510
4000909,10528,4486,4295,265,19056,201511
4000909,1558,0,0,0,0,201512
550168489,4198,0,0,0,0,201412
550168489,4394,0,0,0,0,201413
550168489,4317,0,0,0,0,201414
550168489,4330,0,0,0,0,201415
550168489,4073,0,0,0,0,201416
550168489,4050,0,0,0,0,201417
550168489,4495,0,0,0,0,201418
550168489,4694,0,0,0,0,201419
550168489,4747,0,0,0,0,201420
550168489,4558,0,0,0,0,201421
550168489,4647,0,0,0,0,201422
550168489,4488,0,0,0,0,201423
550168489,4514,0,0,0,0,201424
550168489,4392,0,0,0,0,201425
550168489,4196,0,0,0,0,201426
550168489,4357,0,0,0,0,201427
550168489,4299,0,0,0,0,201428
