Basis,Aim Store Count,Instock Store Count,Balance On Hand,Balance On Order,Store Balance On Hand,Target Inventory Level,Need for Target Inventory Level
276778,397,392,5,42,1121,794,12
276778,397,393,17,48,1103,792,6
276778,450,442,18,36,1420,899,29
276778,515,503,11,66,1310,1030,40
276778,315,306,3,48,1280,630,22
276778,648,631,55,42,1859,1301,59
276778,777,768,0,66,3506,1536,25
276778,351,345,6,30,1101,703,14
276778,658,652,2,102,3814,1319,16
276778,368,362,0,60,1029,736,37
276778,474,468,24,18,1415,949,25
276778,494,490,2,42,1434,988,18
276778,447,439,36,18,1401,894,31
276778,347,339,18,72,1519,694,21
276778,609,603,12,48,2553,1219,18
276778,420,414,48,6,1621,840,21
973898,393,391,15,36,1058,420,3
973898,393,391,17,0,998,420,2
973898,445,443,9,48,1249,477,7
973898,509,502,18,12,1189,535,12
973898,310,299,4,72,1095,324,9
973898,631,630,27,24,1653,679,6
973898,797,792,23,48,3377,861,7
973898,342,337,0,36,1021,357,2
973898,649,646,28,48,2500,706,5
973898,364,359,0,48,924,382,4
973898,471,470,42,0,1274,514,2
973898,476,472,24,24,1237,512,5
973898,432,431,32,0,1122,493,2
973898,345,344,36,36,1291,357,1
973898,598,592,63,12,2513,696,8
973898,410,407,36,12,1431,422,3
973899,389,388,0,48,1094,447,7
973899,387,384,0,60,1061,426,4
973899,435,433,0,36,1292,459,3
973899,508,504,4,120,1333,582,10
973899,305,300,17,72,1155,312,3
973899,625,622,7,48,1776,723,12
973899,783,780,57,12,3589,849,4
973899,320,317,0,36,983,344,6
973899,591,588,80,0,2355,621,3
973899,343,339,0,60,944,357,9
973899,456,456,29,12,1375,488,2
973899,473,471,1,48,1325,512,5
973899,435,431,33,12,1271,473,10
973899,326,322,23,60,1269,359,6
973899,559,558,49,0,2506,608,1
973899,391,390,40,0,1494,401,3
973901,389,389,8,36,1122,390,1
973901,387,384,28,72,1093,392,2
973901,435,433,12,36,1326,437,2
973901,508,504,4,120,1420,518,6
973901,305,297,10,60,1151,315,9
973901,625,623,6,36,1815,628,5
973901,785,783,75,0,3690,812,3
973901,322,320,24,24,953,330,2
973901,591,585,33,48,2279,629,7
973901,343,338,23,48,980,344,6
973901,456,455,27,0,1453,464,1
973901,473,470,0,60,1359,478,3
973901,435,432,34,12,1414,436,3
973901,325,322,22,72,1306,341,7
973901,559,556,39,24,2459,619,3
973901,391,387,48,12,1479,403,4
200964,396,395,313,0,1339,801,14
200964,399,393,264,0,1300,837,18
200964,343,341,1327,0,1330,756,12
200964,607,605,839,0,4066,1382,13
213140,399,391,898,0,1688,852,29
213140,407,402,422,360,2411,888,22
213140,351,348,1074,0,2479,849,6
213140,612,608,1234,0,5489,1488,4
237741,399,396,291,144,1945,822,19
237741,399,397,303,0,1312,833,19
237741,450,448,2347,0,1710,923,13
237741,518,514,205,0,1818,1069,26
237741,315,308,765,0,1132,734,26
237741,649,647,844,0,2488,1336,12
237741,768,759,555,360,2606,1721,34
237741,349,346,518,72,1442,763,5
237741,658,658,1189,144,3218,1549,7
237741,368,361,170,576,1180,772,31
237741,474,471,622,0,1773,953,9
237741,492,486,341,216,1753,1004,23
237741,442,435,2128,0,1536,886,10
237741,344,343,648,432,1263,784,20
237741,605,604,2010,0,3142,1372,8
237741,415,413,3448,0,2014,830,8
237755,399,395,278,288,1348,824,18
237755,399,395,318,0,1258,825,29
237755,450,449,476,0,1498,923,9
237755,518,513,163,0,1767,1072,32
237755,315,311,590,0,1179,718,20
237755,649,644,303,216,2265,1336,15
237755,800,792,803,576,2837,1831,37
237755,349,345,365,288,1446,764,17
237755,658,655,294,1152,2865,1552,22
237755,368,361,260,648,1244,777,32
237755,474,472,404,72,1613,954,13
237755,492,485,566,0,1376,997,36
237755,442,440,286,144,1514,886,16
237755,344,342,469,288,1151,785,20
237755,605,602,703,216,2453,1361,14
237755,415,412,501,72,1630,832,6
249816,399,384,174,84,856,420,19
249816,404,386,126,156,942,446,23
249816,451,439,78,96,1100,493,12
249816,518,476,12,192,1181,560,34
249816,315,307,119,276,921,421,17
249816,651,636,31,192,1499,715,22
249816,802,780,294,624,2410,1231,52
249816,350,336,167,228,925,478,28
249816,658,625,219,504,1928,1109,80
249816,368,356,6,240,906,416,21
249816,478,459,229,12,1072,493,16
249816,495,460,118,108,943,507,31
249816,448,422,55,108,817,452,33
249816,349,343,149,312,1034,545,22
249816,608,596,348,264,1786,912,35
249816,422,416,236,60,1104,423,3
263113,336,336,136,0,486,336,4
263113,386,386,0,180,3,389,385
263113,361,361,1,144,499,362,1
263113,500,500,0,216,0,503,500
263113,309,309,324,0,0,324,309
263113,546,546,217,0,787,548,6
263113,755,755,0,600,1310,782,8
263113,265,265,0,168,321,265,70
263113,487,487,0,348,706,507,106
263113,346,346,0,252,554,354,14
263113,353,353,227,0,576,358,1
263113,402,402,156,0,568,402,5
263113,321,321,132,0,463,321,5
263113,325,325,9,300,20,328,315
263113,447,447,324,0,65,485,414
263113,636,636,204,0,550,318,5
263124,353,353,79,0,348,354,7
263124,392,392,0,144,3,393,391
263124,380,380,83,84,305,380,75
263124,509,509,0,120,0,509,509
263124,314,314,276,0,0,330,314
263124,576,576,108,0,585,577,5
263124,783,783,0,420,888,801,15
263124,301,301,0,108,228,301,73
263124,571,571,0,372,496,574,109
263124,356,356,0,84,356,356,1
263124,384,384,108,0,387,387,4
263124,419,419,72,0,415,420,6
263124,350,350,48,0,347,350,3
263124,339,339,9,120,11,339,329
263124,533,533,156,0,0,532,532
263124,367,367,158,0,365,367,7
263135,336,336,130,0,488,336,3
263135,386,386,0,180,3,389,385
263135,361,361,0,144,401,362,59
263135,500,500,0,216,1,503,499
263135,309,309,324,0,0,324,309
263135,546,546,217,0,790,548,2
263135,1524,1524,0,600,1325,786,8
263135,266,266,0,168,326,266,70
263135,488,488,0,348,713,489,106
263135,346,346,0,252,563,354,10
263135,353,353,216,0,561,358,1
263135,402,402,156,0,572,402,3
263135,321,321,132,0,466,321,1
263135,326,326,9,300,20,329,316
263135,447,447,324,0,0,447,446
263135,318,318,206,0,554,318,5
263146,350,350,72,0,349,351,3
263146,375,375,0,144,3,377,374
263146,379,379,4,84,377,379,2
263146,482,482,0,120,0,482,482
263146,576,576,96,0,587,577,4
263146,1542,1542,0,408,842,788,42
263146,301,301,6,108,198,301,103
263146,569,569,0,372,487,572,116
263146,336,336,0,72,331,336,7
263146,384,384,108,0,386,387,5
263146,419,419,12,0,416,420,5
263146,350,350,47,0,349,350,5
263146,339,339,9,120,11,339,329
263146,531,531,156,0,42,530,488
263146,367,367,155,0,367,367,5
263157,328,328,129,0,472,328,5
263157,352,352,0,168,3,355,351
263157,357,357,2,144,502,358,2
263157,457,457,0,204,0,459,457
263157,543,543,211,0,781,545,5
263157,743,743,0,588,1292,768,8
263157,253,253,0,156,305,253,67
263157,463,463,0,324,696,464,89
263157,306,306,0,216,496,312,2
263157,347,347,204,0,565,351,2
263157,400,400,156,0,574,400,2
263157,642,642,131,0,461,321,2
263157,323,323,1,288,20,326,313
263157,433,433,307,0,61,433,402
263157,315,315,197,0,545,315,7
308266,399,392,597,348,1349,836,27
308266,407,384,804,0,1191,919,63
308266,451,445,446,360,1392,905,19
308266,519,506,377,12,1656,1086,42
308266,315,303,626,0,1178,754,31
308266,649,645,551,528,2064,1315,31
308266,802,792,1644,1092,3055,1764,43
308266,351,347,596,408,1241,718,19
308266,658,649,449,1128,2676,1328,29
308266,366,355,316,960,1157,828,56
308266,477,463,736,96,1540,961,26
308266,495,487,632,420,1560,1016,35
308266,447,439,464,168,1316,896,24
308266,349,346,676,540,1196,708,16
308266,611,606,726,324,2545,1238,20
308266,422,419,659,120,1500,844,13
311023,41,41,0,0,0,82,41
311023,1,1,0,0,0,2,1
320989,218,217,285,384,752,456,16
320989,259,253,653,0,1076,571,19
320989,345,343,478,384,1355,743,23
320989,290,284,379,0,1137,608,22
320989,237,235,502,384,1158,600,12
320989,441,437,678,0,1903,920,21
320989,657,645,1538,1536,3006,1590,47
320989,282,277,806,0,1295,632,14
320989,606,601,993,768,2747,1322,22
320989,227,223,547,384,943,535,19
320989,351,347,716,0,1450,764,21
320989,295,292,487,0,1240,604,10
320989,267,265,421,0,963,549,30
320989,303,299,211,384,1193,612,14
320989,550,543,1144,36,2851,1191,18
320989,358,351,928,0,1613,769,13
460400,393,391,4172,0,1691,791,8
460400,387,383,103,204,1442,786,10
460400,450,445,99,84,1795,902,10
460400,491,485,238,0,1874,1000,17
460400,281,277,206,0,1018,573,10
460400,650,646,190,84,2903,1310,15
460400,762,755,476,264,3049,1537,18
460400,350,348,161,48,1564,702,5
460400,658,656,183,360,2722,1322,9
460400,345,341,67,204,1236,691,16
460400,478,477,192,24,1823,965,10
460400,495,489,527,0,1767,992,16
460400,448,444,177,0,1706,897,16
460400,349,347,222,192,1373,707,13
460400,609,609,194,216,2568,1227,6
460400,422,420,201,36,1703,845,3
460403,399,396,2436,0,2892,802,5
460403,401,401,247,300,3185,829,4
460403,448,448,327,0,4409,898,0
460403,515,512,434,0,3474,1050,7
460403,315,312,346,240,2292,652,7
460403,648,647,172,36,5802,1305,2
460403,797,792,604,288,4543,1630,15
460403,345,344,312,0,3083,693,1
460403,647,647,340,120,6786,1299,1
460403,366,365,265,216,2872,742,3
460403,475,474,277,0,4134,951,1
460403,495,494,248,60,3900,996,2
460403,448,447,167,12,3685,899,5
460403,346,344,364,24,2095,706,4
460403,601,601,388,84,5701,1209,2
460403,420,419,647,0,3001,840,1
460423,399,397,347,24,1873,804,11
460423,403,400,404,0,2440,828,10
460423,451,450,756,0,2855,905,8
460423,518,515,290,264,2384,1062,23
460423,315,312,287,168,1933,637,9
460423,651,648,141,132,4289,1314,6
460423,804,795,904,228,3491,1640,29
460423,350,348,167,144,2514,702,2
460423,659,657,238,132,4926,1325,6
460423,368,367,219,228,2225,739,3
460423,478,476,521,0,3110,969,4
460423,495,491,238,96,2958,991,10
460423,448,447,259,0,2717,896,4
460423,349,347,286,216,1293,704,11
460423,611,609,181,96,4691,1226,10
460423,422,420,252,0,2478,844,4
689296,390,385,121,108,1077,791,26
689296,402,383,202,0,1088,834,56
689296,435,432,178,96,1364,898,18
689296,516,500,143,0,1402,1069,62
689296,314,309,213,204,1060,683,17
689296,625,614,142,204,1826,1291,33
689296,785,774,311,456,2725,1792,42
689296,344,340,207,108,1131,760,24
689296,648,642,248,444,2225,1529,36
689296,365,353,0,360,1045,753,31
689296,463,459,261,36,1377,930,26
689296,478,472,205,60,1349,963,23
689296,427,422,201,48,1169,862,27
689296,342,341,226,144,1208,780,9
689296,588,582,282,192,1947,1328,38
689296,399,396,316,24,1260,801,17
716887,397,394,258,72,1230,805,21
716887,406,385,177,0,1255,856,27
716887,451,444,137,168,1489,912,26
716887,508,493,176,288,1485,1050,62
716887,311,308,639,0,1372,678,16
716887,648,636,275,144,2116,1311,35
716887,794,786,750,540,3322,1664,33
716887,350,345,360,132,1281,729,18
716887,659,655,687,696,2698,1377,21
716887,363,359,378,276,1399,765,16
716887,477,472,331,60,1608,974,24
716887,495,487,180,120,1496,996,31
716887,447,439,185,72,1370,907,24
716887,348,344,269,192,1306,717,6
716887,612,606,553,132,2040,1236,48
716887,422,420,222,84,1610,858,12
850624,399,396,110,24,2120,800,13
850624,404,397,91,252,1768,820,16
850624,451,450,159,0,2886,904,2
850624,518,509,165,12,2464,1052,34
850624,315,313,125,180,1281,644,12
850624,651,647,383,0,3165,1310,15
850624,766,761,323,0,3947,1538,9
850624,350,349,308,0,1663,702,6
850624,658,656,283,324,3250,1322,6
850624,368,367,27,180,1616,736,8
850624,478,476,174,12,2164,961,11
850624,495,492,148,36,2322,990,11
850624,448,447,124,36,2156,896,8
850624,349,346,155,0,1952,702,3
850624,609,607,647,0,3087,1222,16
850624,422,420,886,0,2162,844,4
908183,281,272,168,24,755,570,26
908183,354,317,210,144,918,716,42
908183,280,274,92,120,835,563,18
908183,466,424,385,0,1122,946,97
908183,267,256,447,0,801,542,27
908183,451,421,341,0,1266,910,57
908183,730,684,622,144,2201,1469,95
908183,224,215,262,0,637,455,24
908183,419,409,275,264,1361,855,43
908183,330,321,10,192,961,663,25
908183,285,271,179,48,781,580,39
908183,288,263,143,48,728,579,38
908183,247,236,104,48,637,495,33
908183,324,310,282,360,889,664,52
908183,415,404,495,0,1347,838,39
908183,278,268,270,0,871,560,22
936448,398,398,13,24,1154,798,3
936448,403,395,78,0,1106,816,36
936448,451,451,38,0,1342,915,6
936448,518,511,18,12,1456,1052,22
936448,315,314,27,36,1079,632,4
936448,651,650,21,36,2017,1310,7
936448,799,795,14,120,2717,1604,16
936448,350,349,107,0,1129,702,3
936448,658,658,2,84,2186,1322,6
936448,368,367,0,36,1102,736,5
936448,478,478,26,12,1406,961,14
936448,495,491,7,36,1294,990,12
936448,448,447,26,0,1273,896,6
936448,349,348,21,36,1176,702,3
936448,609,607,12,36,1940,1222,4
936448,422,421,36,0,1321,844,5
957603,399,394,300,0,1531,992,60
957603,398,391,235,0,2155,966,27
957603,451,448,78,192,2445,1163,42
957603,516,504,26,12,1935,1264,108
957603,315,312,126,348,1888,835,10
957603,651,649,85,132,3876,1570,23
957603,806,788,419,684,2746,1705,66
957603,350,347,52,204,2349,875,11
957603,659,658,82,300,4613,1687,17
957603,369,368,0,384,2247,978,8
957603,478,476,535,0,2952,1213,10
957603,495,485,191,48,2573,1250,45
957603,447,446,201,0,2493,1151,31
957603,348,344,1002,0,1249,777,14
957603,610,607,1032,0,4859,1754,15
957603,421,419,305,0,2355,1094,22
957606,398,394,284,0,1125,801,20
957606,403,378,264,192,943,827,87
957606,451,444,540,0,1318,905,24
957606,515,492,68,24,1275,1051,98
957606,308,301,592,0,1192,675,29
957606,648,642,1012,0,1968,1321,37
957606,802,781,1341,0,3011,1664,53
957606,349,346,849,0,1247,728,22
957606,656,651,1552,0,2383,1400,37
957606,365,358,311,0,1129,770,33
957606,478,471,665,0,1486,996,24
957606,495,486,569,0,1514,1002,29
957606,448,441,470,0,1395,902,24
957606,349,345,182,120,1095,703,20
957606,609,605,878,0,2587,2317,125
957606,422,417,758,24,1403,982,26
957608,183,182,91,24,525,368,6
957608,212,209,345,0,654,433,16
957608,282,281,206,0,863,566,12
957608,248,247,179,0,704,502,15
957608,216,212,163,132,712,443,18
957608,357,356,184,0,1367,721,15
957608,582,576,1003,0,2270,1195,27
957608,207,207,99,60,694,418,11
957608,441,439,186,288,2247,904,13
957608,197,196,27,120,773,396,2
957608,297,295,146,0,1031,606,11
957608,237,233,20,48,602,475,8
957608,225,220,39,24,562,450,13
957608,251,249,119,84,799,508,15
957608,410,410,430,0,1946,829,11
957608,277,275,170,12,1344,558,8
957609,188,185,144,0,570,379,9
957609,209,207,302,0,702,432,10
957609,286,284,263,0,975,585,7
957609,248,247,138,0,845,501,6
957609,195,195,263,0,693,395,6
957609,365,362,233,0,1198,735,13
957609,584,573,198,168,2051,1177,36
957609,212,211,169,24,714,427,6
957609,453,449,147,252,1569,920,16
957609,199,199,290,0,752,410,4
957609,300,296,100,12,920,607,13
957609,246,245,213,0,724,495,12
957609,229,227,150,0,655,458,11
957609,258,258,409,0,980,528,4
957609,414,412,79,36,1446,832,17
957609,277,275,76,12,897,554,10
972687,399,393,301,216,1264,810,22
972687,406,262,1002,0,529,839,243
972687,451,435,346,216,1373,916,37
972687,518,502,107,432,1469,1075,51
972687,315,307,418,864,1387,924,41
972687,652,640,249,432,1990,1329,53
972687,802,784,1647,720,3079,1776,76
972687,351,351,698,0,1388,740,18
972687,659,651,1028,1296,2771,1451,28
972687,368,355,883,432,1389,857,45
972687,477,470,702,288,1740,1006,30
972687,495,484,224,216,1610,1006,34
972687,448,439,306,216,1405,905,30
972687,348,345,669,288,1333,754,20
972687,611,605,1366,24,2650,1284,26
972687,422,416,786,288,1675,886,19
992952,180,178,38,0,390,362,20
992952,243,239,47,36,591,490,9
992952,300,298,83,0,718,601,23
