Basis,Aim Store Count,Instock Store Count,Balance On Hand,Balance On Order,Store Balance On Hand,Target Inventory Level,Need for Target Inventory Level
276778,518,493,84,0,1055,629,35
276778,333,327,2,30,656,391,7
276778,476,451,21,78,1105,624,38
276778,341,323,0,54,670,391,17
276778,294,290,44,30,531,313,4
276778,703,655,21,150,1421,921,52
276778,725,683,69,0,1329,835,47
276778,326,315,19,60,761,376,13
276778,706,660,35,102,1419,808,54
276778,440,397,0,0,755,491,40
276778,439,392,59,0,786,599,69
276778,487,474,46,66,1298,582,15
276778,390,378,0,150,968,545,19
276778,352,342,41,0,822,383,9
276778,599,572,37,228,1000,743,32
276778,349,329,52,12,687,445,23
330002,518,513,53,0,1156,572,6
330002,334,327,17,24,701,367,6
330002,476,472,34,24,1319,541,6
330002,341,333,4,24,732,362,5
330002,294,290,17,12,608,308,4
330002,703,684,9,48,1920,785,13
330002,715,666,72,0,1458,758,50
330002,326,318,0,48,744,353,8
330002,706,689,5,72,1837,778,17
330002,440,421,0,0,973,467,13
330002,440,416,33,12,1077,541,29
330002,487,482,7,36,1120,531,6
330002,390,385,1,36,989,479,6
330002,352,346,15,0,891,360,4
330002,600,575,0,108,1342,714,33
330002,349,343,13,24,939,396,6
249816,518,480,0,240,1037,676,72
249816,339,328,59,156,738,503,21
249816,476,451,184,216,949,603,36
249816,346,336,26,132,803,532,19
249816,294,289,144,192,755,512,29
249816,707,676,125,276,1388,925,61
249816,754,599,721,24,1373,1295,254
249816,326,305,164,312,784,552,50
249816,708,687,426,504,1840,1156,54
249816,441,433,216,0,1123,752,24
249816,440,422,144,132,830,568,37
249816,487,466,66,264,984,663,36
249816,390,377,41,156,724,460,24
249816,352,337,254,0,791,516,44
249816,603,576,187,756,1445,1051,81
249816,348,318,0,384,678,508,54
308266,518,510,184,336,1670,1247,38
308266,339,335,322,120,1327,999,33
308266,476,472,595,0,1663,1163,35
308266,347,344,195,180,1182,833,31
308266,294,290,531,48,980,747,32
308266,712,694,589,120,2660,1785,65
308266,759,747,2111,60,3102,2396,93
308266,326,326,189,396,1234,994,42
308266,713,699,1304,0,3359,2095,82
308266,439,434,229,0,1659,1283,59
308266,440,426,461,0,1507,1087,76
308266,487,481,488,216,1869,1414,67
308266,392,390,130,228,1284,905,23
308266,354,350,1211,0,1063,858,54
308266,613,607,1871,12,2910,1973,70
308266,349,327,4,456,1274,901,66
460400,518,513,8,0,1867,2085,262
460400,339,332,221,0,1422,1339,98
460400,476,467,22,324,1830,1904,187
460400,346,339,106,0,1458,1367,114
460400,294,291,427,60,1288,1195,90
460400,707,689,325,240,2756,2792,302
460400,746,734,1087,60,2857,3081,335
460400,326,323,34,420,1421,1322,100
460400,708,697,1512,0,3018,2845,249
460400,441,439,538,84,1924,1786,131
460400,440,433,452,0,1637,1766,193
460400,487,482,469,0,1861,1953,192
460400,390,387,5,216,1464,1562,158
460400,352,347,456,0,1390,1407,105
460400,603,596,116,240,2648,2414,210
460400,348,343,13,600,1431,1404,134
460403,518,509,66,108,1921,2096,245
460403,336,327,2,72,1408,1323,98
460403,474,466,336,408,1801,1907,195
460403,342,335,0,0,1499,1371,97
460403,294,289,479,324,1308,1202,65
460403,704,680,67,516,2644,2793,295
460403,745,730,1841,48,2859,3102,320
460403,321,311,85,156,1403,1361,98
460403,696,656,701,624,2554,2935,415
460403,440,436,377,144,1886,1816,139
460403,438,415,453,108,1324,1779,302
460403,487,481,40,396,1933,1983,183
460403,390,387,0,408,1518,1573,154
460403,349,333,251,0,1271,1397,150
460403,595,584,1177,60,2632,2424,175
460403,347,338,15,972,1396,1413,145
460423,518,507,0,252,1700,2079,313
460423,338,333,266,12,1345,1329,103
460423,476,473,0,348,1762,1900,212
460423,343,340,139,0,1355,1357,119
460423,294,293,410,84,1164,1182,97
460423,707,692,8,540,2601,2777,324
460423,716,709,1316,12,2542,2849,311
460423,326,321,473,0,1335,1319,111
460423,705,688,274,84,2975,2824,313
460423,441,437,332,0,1840,1766,155
460423,440,438,217,48,1615,1768,206
460423,487,476,378,96,1728,1949,232
460423,390,386,22,156,1400,1556,187
460423,352,346,463,0,1345,1390,96
460423,603,595,235,240,2499,2403,234
460423,347,341,115,528,1310,1386,142
689296,507,502,115,204,1254,1030,61
689296,335,329,156,84,776,673,30
689296,456,445,382,192,1089,912,41
689296,345,335,22,180,799,692,38
689296,293,292,97,132,753,598,23
689296,670,652,331,240,1574,1358,71
689296,730,708,365,36,1809,1600,113
689296,316,307,91,204,871,671,39
689296,691,670,487,252,1790,1413,92
689296,436,433,296,0,1141,895,39
689296,425,414,238,156,947,880,78
689296,471,463,382,144,1093,965,65
689296,368,362,114,168,870,757,47
689296,345,335,213,0,818,733,52
689296,575,569,185,396,1408,1191,61
689296,325,312,4,348,759,683,56
716887,516,469,6,504,1102,1139,155
716887,338,329,199,336,848,766,58
716887,476,455,84,540,1072,1000,111
716887,339,312,0,408,740,736,92
716887,290,283,398,372,818,742,53
716887,706,683,156,336,1691,1480,89
716887,745,546,1137,48,1252,1874,416
716887,325,316,448,456,912,848,73
716887,710,642,109,1308,1712,1859,247
716887,436,425,356,0,1193,1079,79
716887,440,423,193,228,1002,965,85
716887,487,453,47,396,1043,1046,127
716887,390,388,2,324,896,798,56
716887,353,297,390,0,609,791,146
716887,605,561,203,804,1368,1382,175
716887,349,340,4,792,822,774,67
850624,518,509,158,696,1418,1116,47
850624,339,327,0,456,926,714,38
850624,476,316,381,1308,782,1004,236
850624,346,337,0,732,913,723,46
850624,294,291,401,180,849,621,26
850624,707,677,5,2160,2019,1633,123
850624,731,593,651,0,1483,1533,279
850624,326,276,0,360,815,789,111
850624,708,677,544,2352,2304,1954,164
850624,441,434,583,0,1327,973,41
850624,440,266,210,684,597,1020,277
850624,487,467,0,528,1386,1112,80
850624,390,334,0,564,950,877,126
850624,352,348,841,0,972,723,38
850624,604,576,586,2544,1955,1688,138
850624,348,143,0,1644,416,784,258
868171,518,503,74,132,1138,1048,60
868171,339,336,139,60,793,673,18
868171,476,474,103,132,1118,958,22
868171,347,343,113,84,790,689,22
868171,294,293,124,108,706,590,13
868171,709,692,202,120,1629,1399,44
868171,716,681,369,0,1468,1439,142
868171,326,323,207,120,799,665,28
