Basis,Point of Sale,Balance On Hand,Aim Store Count,Instock Store Count,Date
551118810,3634,37375,4183,4027,201412
551118810,4237,35518,4187,3980,201413
551118810,4835,33492,4184,3901,201414
551118810,6027,35863,4191,3959,201415
551118810,7002,38727,4200,4017,201416
551118810,10451,38972,4202,3855,201417
551118810,14865,45676,4204,4035,201418
551118810,15676,48785,4207,4004,201419
551118810,17821,55540,4212,4018,201420
551118810,22854,56189,4211,4098,201421
551118810,23032,53775,4213,4037,201422
551118810,22428,40416,4213,3805,201423
551118810,16734,43906,4229,3992,201424
551118810,16391,40275,4233,3984,201425
551118810,14867,36222,4235,3937,201426
551118810,13619,36379,4240,3965,201427
551118810,11593,33943,4256,3928,201428
551118810,11565,35724,4265,4053,201429
551118810,11071,36208,4266,4068,201430
551118810,11536,35004,4265,3974,201431
551118810,9427,36305,4275,4097,201432
551118810,7988,34593,4275,4082,201433
551118810,7829,32892,4277,4045,201434
551118810,7378,30340,4281,4014,201435
551118810,5390,30435,4287,4052,201436
551118810,4402,29113,4291,4046,201437
551118810,3569,27908,4299,3980,201438
551118810,3056,28154,4301,3986,201439
551118810,2298,28858,4316,4059,201440
551118810,1903,29599,4317,4098,201441
551118810,1518,30482,4320,4155,201442
551118810,1489,30554,4319,4178,201443
551118810,1714,31025,4324,4212,201444
551118810,1618,30971,4339,4235,201445
551118810,1510,30849,4357,4230,201446
551118810,1262,30789,4356,4215,201447
551118810,1626,30592,4356,4217,201448
551118810,1490,31168,4387,4269,201449
551118810,1293,30937,4405,4251,201450
551118810,1481,31080,4441,4309,201451
551118810,1439,31074,4473,4323,201452
551118810,1570,31679,4472,4337,201501
551118810,1648,32303,4474,4344,201502
551118810,1405,32308,4474,4353,201503
551118810,1592,32408,4475,4396,201504
551118810,227,32408,4475,4396,201505
551118811,3507,22546,3444,3382,201405
551118811,3524,23506,3394,3325,201406
551118811,3509,24259,3485,3429,201407
551118811,3314,23721,3489,3426,201408
551118811,3705,23718,3492,3428,201409
551118811,3508,23916,3498,3446,201410
551118811,3808,22734,3504,3433,201411
551118811,3742,21426,3509,3418,201412
551118811,3796,19272,3519,3351,201413
551118811,3839,17879,3521,3286,201414
551118811,3726,19461,3529,3379,201415
551118811,4188,19977,3539,3426,201416
551118811,4737,19398,3542,3407,201417
551118811,5113,20516,3545,3449,201418
551118811,4909,20724,3549,3449,201419
551118811,4965,21378,3554,3476,201420
551118811,4991,21770,3559,3509,201421
551118811,5456,21714,3560,3502,201422
551118811,5307,20074,3563,3463,201423
551118811,4928,20306,3576,3489,201424
551118811,4733,20141,3580,3488,201425
551118811,4595,20313,3582,3486,201426
551118811,4757,20523,3587,3499,201427
551118811,4266,20085,3602,3520,201428
551118811,4315,19950,3605,3522,201429
551118811,4280,20461,3608,3526,201430
551118811,4329,20716,3611,3527,201431
551118811,3945,22490,3617,3578,201432
551118811,3723,22400,3619,3576,201433
551118811,3614,22182,3621,3560,201434
551118811,3650,22517,3622,3578,201435
551118811,3625,23422,3627,3578,201436
551118811,3408,22117,3631,3580,201437
551118811,3277,20235,3642,3561,201438
551118811,3156,18642,3642,3547,201439
551118811,2849,18463,3656,3580,201440
551118811,2700,18480,3655,3584,201441
551118811,2550,18319,3658,3583,201442
551118811,2534,17543,3658,3563,201443
551118811,2635,17890,3659,3569,201444
551118811,2421,18433,3670,3605,201445
551118811,2452,19058,3675,3601,201446
551118811,2415,18675,3674,3599,201447
551118811,2785,18114,3674,3582,201448
551118811,2635,18288,3693,3578,201449
551118811,2682,18817,3697,3606,201450
551118811,2780,19104,3721,3608,201451
551118811,2697,19648,3749,3666,201452
551118811,3037,19303,3750,3658,201501
551118811,3247,18647,3750,3625,201502
551118811,3090,17534,3752,3596,201503
551118811,3109,16651,3755,3553,201504
551118811,506,16651,3755,3553,201505
551567603,11077,19540,4122,4005,201405
551567603,10920,19722,4130,3993,201406
551567603,10721,20384,4129,4044,201407
551567603,10768,20139,4130,4057,201408
551567603,11090,20120,4134,4071,201409
551567603,10902,20423,4140,4076,201410
551567603,10735,20642,4150,4070,201411
551567603,10138,21054,4152,4074,201412
551567603,10963,20664,4155,4081,201413
551567603,10729,21204,4155,4088,201414
551567603,10015,20064,4161,4094,201415
551567603,10008,18148,4169,4040,201416
551567603,9990,18134,4170,4079,201417
551567603,10915,17671,4173,4032,201418
