Basis,Aim Store Count,Instock Store Count,Balance On Hand,Balance On Order,Store Balance On Hand,Target Inventory Level,Need for Target Inventory Level
276778,495,486,5,54,1163,650,31
276778,314,310,35,0,751,402,22
276778,453,441,19,66,1243,561,27
276778,319,314,13,72,660,407,19
276778,292,277,0,60,622,405,49
276778,667,657,58,0,1651,802,35
276778,618,607,76,108,1410,714,25
276778,318,310,38,0,827,389,29
276778,684,636,0,168,1459,799,98
276778,425,421,41,54,921,581,24
276778,469,459,0,78,1045,550,31
276778,479,470,0,72,1083,611,39
276778,389,384,70,0,961,474,19
276778,418,412,54,24,1179,458,8
276778,591,529,0,168,1094,703,113
276778,296,279,20,0,654,358,39
330002,497,479,0,180,1053,555,31
330002,314,304,181,0,743,343,17
330002,450,437,110,0,1375,478,17
330002,318,304,0,36,669,346,23
330002,292,267,0,132,502,335,40
330002,662,648,141,0,2004,744,24
330002,617,587,72,36,1130,688,52
330002,318,276,52,0,563,336,49
330002,685,658,205,108,1403,700,29
330002,424,417,101,48,1017,458,13
330002,470,456,81,0,1280,486,18
330002,479,471,55,108,1104,527,18
330002,389,382,50,0,1097,418,8
330002,419,397,99,180,766,476,28
330002,591,578,187,60,1221,609,15
330002,296,284,62,0,756,299,13
249816,497,482,126,48,1068,623,31
249816,314,300,132,0,637,364,24
249816,453,442,147,72,957,585,25
249816,320,313,129,96,661,374,14
249816,289,280,54,96,663,433,25
249816,669,651,319,0,1542,846,34
249816,619,591,391,228,1272,793,55
249816,318,307,273,0,766,486,30
249816,683,656,223,216,1533,898,52
249816,433,421,23,192,1051,542,29
249816,470,465,163,132,984,628,22
249816,481,468,144,108,1031,624,28
249816,389,375,171,0,815,522,19
249816,452,432,2415,108,1145,602,50
249816,590,566,0,456,1318,779,69
249816,296,285,1,84,652,388,20
308266,497,489,80,108,1416,1017,49
308266,315,312,159,0,929,668,39
308266,451,447,117,132,1354,917,22
308266,320,315,89,156,846,654,34
308266,290,283,32,168,874,730,66
308266,667,664,116,0,2144,1361,41
308266,623,616,665,0,1870,1346,88
308266,316,304,171,0,959,659,72
308266,689,680,1436,0,2354,1403,52
308266,429,420,0,180,1436,945,49
308266,468,460,185,156,1347,953,46
308266,481,480,130,96,1523,976,24
308266,387,383,107,0,1033,784,38
308266,454,441,404,72,1234,978,85
308266,591,587,1077,0,2020,1220,45
308266,294,291,434,0,921,609,23
327095,497,496,287,0,1313,751,8
327095,314,314,406,0,827,553,9
327095,453,451,715,0,1329,648,5
327095,320,319,986,0,858,574,7
327095,292,289,721,0,809,508,12
327095,670,668,320,0,2031,1074,5
327095,618,615,601,0,1635,1159,37
327095,317,315,1091,0,866,471,10
327095,684,674,1354,0,2583,1057,18
327095,438,437,864,0,1499,783,10
327095,470,470,334,0,1322,658,4
327095,480,476,919,0,1213,684,6
327095,389,387,290,0,1154,530,2
327095,432,428,394,0,1401,786,20
327095,591,585,510,0,1493,886,13
327095,295,294,38,0,786,441,12
460400,496,491,8,132,1450,1021,43
460400,314,302,100,0,810,705,91
460400,453,443,107,108,1206,911,34
460400,319,313,0,120,859,757,90
460400,292,285,82,120,899,768,72
460400,666,660,296,0,1847,1379,49
460400,618,607,658,192,1665,1362,91
460400,317,317,158,0,929,652,27
460400,685,677,92,300,2098,1393,47
460400,438,431,87,156,1323,1096,117
460400,470,464,239,0,1256,945,33
460400,477,470,67,96,1336,963,40
460400,388,382,86,0,1026,780,35
460400,443,435,636,96,1291,937,73
460400,591,586,67,276,1806,1188,42
460400,296,291,119,36,846,596,22
460403,496,493,0,84,1324,995,30
460403,313,310,103,0,894,629,23
460403,452,448,11,72,1273,907,24
460403,319,306,0,72,802,638,52
460403,292,287,0,108,782,669,46
460403,661,659,272,0,1860,1349,30
460403,616,609,527,204,1632,1324,60
460403,299,292,79,0,862,610,31
460403,644,641,541,0,2034,1306,33
460403,439,434,128,48,1237,919,43
460403,467,465,55,72,1276,938,27
460403,481,474,0,96,1330,966,40
460403,389,389,70,0,1087,784,15
460403,441,432,446,0,1214,948,85
460403,576,575,53,180,1736,1159,30
460403,294,291,208,0,794,593,20
460423,497,494,30,96,1566,1164,58
460423,314,306,88,0,959,771,73
460423,453,451,92,60,1407,1024,16
460423,320,318,120,96,932,751,30
460423,292,288,0,108,964,716,45
460423,669,664,135,0,2170,1553,32
460423,618,613,217,156,1705,1495,134
460423,318,315,81,0,1022,725,31
460423,685,680,140,168,2286,1565,46
460423,438,432,4,120,1407,1011,59
460423,470,466,179,12,1467,1075,28
460423,479,474,0,120,1406,1098,60
460423,388,386,76,0,1134,878,17
460423,418,395,0,24,1067,918,89
460423,590,582,0,240,1853,1349,67
460423,296,292,86,36,929,688,24
480957,497,489,192,0,1104,503,11
480957,312,307,718,0,725,314,5
480957,453,449,1008,0,1006,461,5
480957,320,317,98,0,660,323,3
480957,288,281,55,60,681,379,21
480957,669,665,194,0,1631,678,4
480957,617,599,125,96,1335,663,23
480957,312,305,350,0,698,327,9
480957,681,668,0,360,1630,701,14
480957,433,424,1094,0,1011,471,16
480957,467,455,65,0,978,480,12
480957,480,476,370,0,1106,482,6
480957,387,381,98,0,834,389,6
480957,438,429,156,84,1084,493,12
480957,587,577,68,144,1312,610,10
480957,296,293,93,0,723,307,3
488681,491,486,96,0,1899,978,19
488681,314,313,99,0,858,628,11
488681,451,450,85,0,1163,902,17
488681,318,317,100,0,782,636,10
488681,292,291,44,0,751,597,14
488681,650,649,86,0,1779,1301,18
488681,614,607,314,0,1488,1235,49
488681,313,312,92,0,827,626,13
488681,672,665,175,0,2514,1344,37
488681,436,434,124,0,1186,874,23
488681,460,457,47,0,1193,920,16
488681,475,472,65,0,1581,948,17
488681,382,381,104,0,1402,764,13
488681,446,445,82,0,1302,901,28
488681,576,574,218,0,1389,1152,35
488681,285,284,21,0,797,570,8
689296,340,338,68,132,825,680,35
689296,288,286,140,0,714,578,34
689296,261,256,54,228,619,523,31
689296,292,287,70,108,659,584,31
689296,285,282,6,108,748,644,40
689296,490,483,240,0,1212,987,56
689296,597,587,412,264,1425,1234,88
689296,210,208,139,0,520,427,19
689296,508,497,72,348,1293,1024,60
689296,416,412,0,204,1035,869,49
689296,260,254,112,144,646,525,28
689296,269,264,4,132,620,541,31
689296,202,201,113,0,489,420,25
689296,439,434,297,216,1057,914,75
689296,422,420,138,336,1055,849,33
689296,197,195,59,48,496,407,14
716887,494,487,269,180,1214,994,36
716887,314,306,266,0,832,639,34
716887,453,447,180,156,1152,908,35
716887,313,304,253,144,741,627,32
716887,291,286,240,216,808,658,52
716887,667,655,334,0,1700,1340,66
716887,618,599,538,324,1556,1275,104
716887,314,309,336,0,834,684,51
716887,683,664,365,612,1880,1406,105
716887,434,427,131,288,1090,912,68
716887,470,467,261,216,1173,950,45
716887,477,472,165,120,1209,959,46
716887,387,381,197,0,938,776,33
716887,437,423,315,216,1083,922,76
716887,591,578,304,516,1571,1190,70
716887,296,290,84,36,736,595,33
716882,282,282,131,0,840,566,10
716882,284,284,59,0,740,574,13
716883,282,281,45,0,915,578,10
716883,298,298,114,0,910,604,5
848334,226,225,90,0,632,450,4
848334,216,216,96,0,552,430,1
848334,290,289,68,0,797,576,5
848334,221,220,234,0,568,438,2
848334,225,224,107,12,579,450,8
848334,418,418,197,0,1130,836,4
848334,524,521,187,0,1367,1044,9
848334,229,229,167,0,701,463,0
848334,572,569,406,0,1815,1142,10
848334,279,278,277,0,1025,558,6
848334,271,270,181,0,784,540,0
848334,224,224,283,0,683,448,0
848334,138,137,174,0,414,274,1
848334,354,353,156,0,942,708,3
848334,507,506,543,0,1552,1025,3
848337,213,211,42,0,585,426,7
848337,191,189,44,0,521,381,7
848337,289,289,199,0,792,576,0
848337,159,159,152,0,416,316,2
848337,158,156,0,96,378,316,7
848337,404,404,323,0,1066,806,1
848337,498,495,268,0,1351,992,8
848337,227,224,45,0,656,455,8
848337,565,553,534,0,1631,1112,23
848337,153,152,138,0,424,306,5
848337,272,270,146,0,748,541,0
848337,222,221,350,0,618,444,2
848337,138,137,277,0,398,272,0
848337,283,281,168,0,819,563,2
848337,505,504,261,0,1475,1017,5
199279,312,312,178,0,1126,624,1
199279,318,318,198,0,1190,636,3
199279,292,267,0,924,923,639,108
199279,1547,1538,1316,0,5486,3103,41
199279,618,600,127,300,2317,1241,81
199279,676,669,365,0,3403,1369,38
199279,435,435,370,1212,1787,905,16
199279,1631,1621,259,300,5993,3285,48
199279,451,446,227,60,1575,1034,59
199279,568,563,722,72,2354,1140,38
199279,285,284,282,0,1073,570,11
199296,311,311,39,0,1295,622,4
199296,318,317,121,0,1362,637,2
199296,292,277,0,936,1009,692,91
199296,1550,1541,1659,0,5604,3105,59
199296,619,606,94,264,2358,1251,57
199296,678,668,3955,0,2873,1369,57
199296,439,438,524,960,1932,928,28
199296,1626,1613,4122,0,6756,3264,61
199296,417,408,84,156,1659,834,25
199296,574,568,1023,0,2548,1156,30
199296,288,288,547,0,1022,578,14
351097,82,82,503,0,279,178,5
351097,77,75,534,0,210,158,5
351097,281,276,37,1092,900,655,36
351097,254,233,446,0,730,508,39
351097,163,161,726,0,627,376,17
351097,199,186,120,0,948,429,43
351097,422,418,13,1524,1416,944,33
351097,280,260,320,0,925,581,51
351097,123,122,5175,0,713,270,2
351097,153,149,494,0,469,324,21
351097,74,74,549,0,242,149,5
442893,312,306,120,0,1030,627,17
442893,320,316,192,0,1188,635,11
442893,292,283,27,2568,1098,691,84
442893,1527,1495,1539,0,5288,3067,80
442893,618,548,181,792,1755,1259,224
442893,678,673,2613,0,3650,1388,26
442893,439,426,262,2688,1894,934,64
442893,1612,1567,1701,0,5354,3219,82
442893,434,393,1,180,1740,923,132
442893,577,564,609,288,2882,1165,51
442893,289,283,191,0,1302,576,18
689603,43,26,42,0,87,60,6
689603,38,22,1184,0,72,46,0
689603,31,20,411,0,163,40,0
689603,162,110,1996,0,420,240,10
689603,120,100,134,0,420,215,11
689603,76,57,1526,0,284,126,8
689603,46,26,495,0,103,69,7
689603,115,73,2214,0,309,156,7
689603,65,51,138,0,199,104,1
689603,78,66,1255,0,410,151,3
689603,28,25,463,0,111,54,0
690341,50,50,58,0,189,105,2
690341,55,54,324,0,208,115,2
690341,272,270,12,612,964,558,15
690341,223,148,1009,0,474,303,9
690341,84,84,176,0,391,173,2
690341,113,54,630,0,213,109,1
690341,420,420,194,636,1611,855,8
690341,222,165,546,0,606,339,7
690341,62,62,42,0,230,129,0
690341,86,67,1481,0,256,136,3
690341,39,25,731,0,75,50,1
727120,313,313,22,0,1129,626,2
727120,318,318,62,0,1185,636,0
727120,292,279,0,312,887,600,39
727120,1549,1546,5,120,5301,3098,14
727120,618,609,39,108,1875,1238,39
727120,674,673,125,0,2942,1366,5
