Basis,Aim Store Count,Instock Store Count,Balance On Hand,Balance On Order,Store Balance On Hand,Target Inventory Level,Need for Target Inventory Level
276778,798,798,0,0,924,797,56
276778,772,772,0,0,690,768,159
276778,1347,1347,0,0,991,898,146
276778,980,980,0,0,793,971,232
276778,927,927,0,0,538,616,120
276778,1286,1286,46,0,1346,1283,153
276778,2307,2307,0,0,1763,1522,114
276778,652,652,0,0,764,651,81
276778,1968,1968,0,0,1645,1338,128
276778,738,738,0,0,683,737,120
276778,948,948,0,0,952,946,120
276778,1014,1014,0,0,1091,1014,122
276778,894,894,0,0,1053,892,118
276778,676,676,0,0,898,678,41
276778,1218,1218,0,0,973,1256,274
276778,1236,1236,0,0,893,823,80
973899,19,19,7,228,3,38,19
200964,398,387,505,576,878,803,56
200964,381,369,327,1944,760,778,68
200964,318,309,791,0,757,688,64
200964,605,584,1010,1584,1441,1341,130
213140,399,381,957,360,1004,953,100
213140,390,380,852,0,1027,917,72
213140,325,314,665,360,1065,929,72
213140,612,596,1532,1440,2100,1789,130
237741,399,390,2,1296,1165,1556,279
237741,387,378,581,576,1258,1477,196
237741,449,444,4172,0,1546,1604,136
237741,489,480,2244,0,1601,1825,251
237741,310,305,3140,0,1192,1322,161
237741,639,631,1578,5976,2215,2399,225
237741,757,741,1758,1656,2208,2527,365
237741,324,301,6,1008,1157,1536,214
237741,652,642,3275,4032,3410,3899,348
237741,368,348,0,864,1040,1540,271
237741,472,465,3234,0,1643,1822,171
237741,504,494,254,936,1701,2049,298
237741,443,437,415,2160,1489,1696,178
237741,336,331,1123,0,1049,1130,95
237741,604,597,2417,2520,2998,3288,309
237741,405,400,5929,0,1911,2018,199
237755,399,360,2,936,898,1496,332
237755,387,380,16,504,1268,1438,179
237755,449,444,0,288,1304,1534,223
237755,489,478,31,936,1625,1823,219
237755,310,304,1694,0,1134,1234,154
237755,640,583,2,1008,1462,2364,479
237755,790,768,538,1584,2628,2968,360
237755,324,311,556,504,1211,1504,204
237755,652,645,1762,504,2904,3233,322
237755,368,364,0,936,1414,1618,195
237755,472,364,0,1224,781,1895,418
237755,504,300,0,1008,633,1970,460
237755,443,315,0,864,663,1699,403
237755,336,281,0,576,636,1140,267
237755,604,562,0,1080,1961,2767,417
237755,405,402,165,2016,1565,1746,190
249816,399,392,0,348,958,986,121
249816,390,377,0,396,852,1048,191
249816,450,430,0,396,944,1106,200
249816,490,481,4,600,1147,1303,202
249816,310,300,0,396,818,896,163
249816,642,593,1,600,1285,1552,304
249816,791,663,0,1200,1760,2417,469
249816,325,286,0,600,632,962,209
249816,653,445,0,1500,991,1937,468
249816,369,363,0,396,1003,1063,179
249816,476,399,0,396,828,1228,268
249816,507,418,0,504,819,1260,297
249816,450,353,0,504,669,1088,277
249816,341,328,0,504,836,924,126
249816,608,411,0,1104,813,1812,469
249816,411,322,0,504,653,1124,280
308266,399,392,0,696,1383,1685,230
308266,390,331,0,936,1132,1944,306
308266,450,439,0,900,2142,1696,208
308266,488,307,6,840,819,2077,430
308266,310,309,1070,0,1265,1289,130
308266,639,613,0,1068,1860,2574,455
308266,792,716,0,2604,2466,4075,638
308266,325,318,147,600,1372,1563,166
308266,654,459,0,1188,1572,3585,541
308266,367,360,227,600,1434,1618,200
308266,477,470,0,756,1564,1966,273
308266,507,250,0,1200,576,2285,459
308266,449,444,505,180,1554,1656,145
308266,341,335,2877,0,1139,1282,131
308266,612,563,0,2004,2514,3506,428
308266,411,407,4,456,1710,1748,133
320989,657,657,712,0,265,458,130
320989,735,735,492,660,240,521,173
320989,1035,1035,1152,384,218,714,282
320989,831,831,1329,0,171,577,230
320989,696,696,573,384,569,535,62
320989,1296,1296,903,768,722,880,162
320989,2592,2592,2007,1536,649,1481,496
320989,1048,1048,0,1536,170,612,217
320989,1800,1800,2346,1152,469,1304,479
320989,678,678,1431,0,199,484,170
320989,1062,1062,604,1152,796,762,71
320989,915,915,764,384,562,631,86
320989,813,813,396,288,545,553,51
320989,885,885,733,768,536,619,91
320989,1656,1656,2565,768,304,1252,484
320989,1041,1041,631,768,664,731,103
460400,399,398,5807,0,2282,2413,127
460400,390,388,0,504,1808,2345,258
460400,450,448,0,552,1799,2695,384
460400,490,472,4,804,1811,2923,423
460400,310,301,2,468,1095,1892,282
460400,642,633,0,2124,3075,3860,409
460400,753,741,0,1644,3381,4548,553
460400,325,306,0,696,1370,1983,235
460400,654,640,0,1800,2681,3967,526
460400,369,362,0,504,1549,2234,292
460400,477,468,0,804,1906,2863,365
460400,507,459,0,804,1479,3048,483
460400,450,443,0,468,1680,2701,395
460400,340,335,0,804,1475,2067,267
460400,609,587,0,1800,2465,3685,476
460400,411,402,0,396,1608,2481,358
460403,399,399,4352,0,2234,2429,160
460403,387,382,0,804,1788,2338,260
460403,447,442,0,996,2146,2682,276
460403,485,342,4,1068,1012,2947,458
460403,310,301,2,1152,1236,1936,269
460403,639,609,0,3144,2408,3844,525
460403,789,747,0,2496,3009,4987,689
460403,320,311,0,804,1466,2030,226
460403,643,638,1105,2400,3767,4122,343
460403,367,363,0,504,1645,2260,282
460403,474,472,0,1500,2510,2903,244
460403,507,469,0,924,1475,3089,472
460403,450,408,0,1068,1253,2719,425
460403,337,334,0,696,1591,2038,217
460403,601,477,0,4632,1764,3716,528
460403,410,307,0,504,952,2531,381
460423,399,393,0,576,1744,2399,292
460423,389,376,0,636,1585,2341,319
460423,449,446,0,456,1679,2690,412
460423,487,476,8,720,2306,2916,315
460423,309,250,0,948,813,1866,283
460423,642,640,79,1104,3350,3837,337
460423,784,767,0,3096,3352,4685,618
460423,325,280,0,756,1078,1978,268
460423,652,608,0,948,2246,3923,566
460423,369,365,0,348,1693,2215,250
460423,476,433,0,660,1332,2881,456
460423,507,499,0,1752,2149,3045,366
460423,450,439,0,420,1569,2695,419
460423,340,309,0,2196,1007,2029,319
460423,609,532,0,1224,1870,3657,549
460423,411,286,0,492,863,2466,390
689296,390,386,131,48,941,789,36
689296,388,386,78,108,1161,809,24
689296,433,427,57,216,1190,875,36
689296,488,487,66,192,1423,988,26
689296,309,307,138,0,1074,627,17
689296,613,606,60,348,1790,1250,40
689296,778,770,259,276,2237,1692,87
689296,319,314,19,156,996,666,32
689296,640,634,40,372,1959,1322,63
689296,365,363,307,0,1161,735,22
689296,461,458,214,60,1344,947,41
689296,489,485,66,180,1435,987,37
689296,428,423,0,216,1144,874,45
689296,334,328,63,180,879,681,33
689296,588,558,1,504,1340,1197,147
689296,386,383,238,0,1160,790,37
716887,397,345,0,276,887,818,142
716887,388,370,0,576,972,851,105
716887,450,439,0,408,1137,921,69
716887,481,421,4,600,1148,1013,150
716887,306,294,0,552,875,734,76
716887,638,625,80,492,1738,1318,84
716887,784,755,30,1296,2361,1888,151
716887,324,299,0,600,790,762,106
716887,654,507,0,1716,1375,1566,314
716887,363,355,0,600,1063,845,67
716887,477,442,0,504,1198,1054,127
716887,507,472,0,504,1243,1050,137
716887,448,427,0,396,1170,923,87
716887,340,325,182,204,828,730,64
716887,611,438,0,1104,987,1352,342
716887,411,404,322,300,1076,905,54
850624,399,386,0,204,981,1206,251
