Missing,Basis,Missing,Missing,Missing,Balance On Hand,Balance On Order,Store Balance On Hand,Missing,Missing
201151,122649,Y,469,469,118,216,1507,1408,59
201151,122649,Y,474,471,50,96,1376,1422,191
201151,122649,Y,388,388,100,0,1244,1163,40
201151,122649,Y,455,454,336,120,1494,1474,119
201151,122649,Y,590,586,188,1008,1863,1772,130
201151,122649,Y,296,295,0,120,932,889,39
201151,232807,Y,497,478,78,192,1537,1490,262
201151,232807,Y,313,304,180,0,940,942,156
201151,232807,Y,453,444,222,0,1471,1359,155
201151,232807,Y,319,315,108,0,960,957,166
201151,232807,Y,292,289,12,108,961,876,100
201151,232807,Y,668,644,0,324,2143,2005,218
201151,232807,Y,618,561,0,504,1627,1861,510
201151,232807,Y,318,289,0,240,977,957,215
201151,232807,Y,685,633,0,360,2252,2064,345
201151,232807,Y,438,425,0,204,1364,1320,211
201151,232807,Y,470,462,40,300,1589,1409,109
201151,232807,Y,481,477,66,132,1562,1442,163
201151,232807,Y,389,388,120,0,1377,1166,42
201151,232807,Y,453,444,144,192,1498,1467,200
201151,232807,Y,590,545,0,696,1766,1776,327
201151,232807,Y,296,290,0,180,1069,888,77
201151,232813,Y,497,470,186,300,1350,1494,347
201151,232813,Y,314,303,288,0,861,945,189
201151,232813,Y,453,430,445,0,1318,1369,232
201151,232813,Y,319,313,194,0,894,957,183
201151,232813,Y,292,289,0,228,916,896,106
201151,232813,Y,670,654,0,624,2133,2023,220
201151,232813,Y,618,578,0,996,1745,1886,440
201151,232813,Y,318,303,0,312,988,979,172
201151,232813,Y,687,661,0,804,2247,2109,322
201151,232813,Y,438,414,0,300,1185,1319,280
201151,232813,Y,470,459,209,360,1521,1419,130
201151,232813,Y,481,472,61,372,1469,1447,228
201151,232813,Y,389,379,353,0,1222,1167,118
201151,232813,Y,453,439,139,396,1452,1471,225
201151,232813,Y,590,522,15,1080,1640,1839,450
201151,232813,Y,296,284,0,240,983,891,134
201151,246784,Y,494,489,54,24,1275,564,6
201151,246784,Y,314,310,62,0,703,331,4
201151,246784,Y,448,443,46,0,1260,502,5
201151,246784,Y,318,313,44,0,664,337,5
201151,246784,Y,291,283,32,36,595,314,12
201151,246784,Y,662,642,9,72,1810,702,20
201151,246784,Y,616,583,0,132,1460,633,34
201151,246784,Y,317,310,42,24,762,336,7
201151,246784,Y,684,658,101,108,2144,708,28
201151,246784,Y,436,428,15,36,1228,460,8
201151,246784,Y,468,463,34,48,1198,531,5
201151,246784,Y,480,474,55,48,1153,567,6
201151,246784,Y,389,386,56,0,1111,462,4
201151,246784,Y,446,436,80,36,1328,461,10
201151,246784,Y,589,572,84,144,1173,614,18
201151,246784,Y,294,291,69,0,843,313,3
201151,265245,Y,497,482,283,264,1688,1506,215
201151,265245,Y,313,299,348,0,1193,940,185
201151,265245,Y,450,442,227,0,1595,1362,122
201151,265245,Y,318,316,264,0,1012,957,137
201151,265245,Y,292,286,0,192,1191,914,104
201151,265245,Y,668,651,1,384,2362,2041,172
201151,265245,Y,618,537,348,852,1919,1954,606
201151,265245,Y,317,301,0,528,1239,1122,202
201151,265245,Y,683,666,396,960,2819,2288,286
201151,265245,Y,437,432,99,216,1741,1344,129
201151,265245,Y,466,455,326,492,1630,1452,174
201151,265245,Y,480,472,22,372,1735,1445,183
201151,265245,Y,388,378,384,0,1396,1172,85
201151,265245,Y,416,387,76,300,1565,1286,265
201151,265245,Y,589,567,1397,588,2695,1996,269
201151,265245,Y,296,288,8,192,1073,926,103
201151,483167,Y,497,486,178,216,1199,1071,78
201151,483167,Y,314,313,125,0,796,661,27
201151,483167,Y,453,431,211,0,1040,966,109
201151,483167,Y,319,309,142,0,759,667,63
201151,483167,Y,292,288,0,156,758,610,31
201151,483167,Y,670,662,0,264,1664,1416,64
201151,483167,Y,620,601,0,684,1515,1308,160
201151,483167,Y,318,301,0,240,724,670,88
201151,483167,Y,690,632,2,564,1654,1425,225
201151,483167,Y,438,437,0,156,1103,923,40
201151,483167,Y,470,467,151,216,1208,1009,39
201151,483167,Y,480,475,72,192,1194,1051,72
201151,483167,Y,387,382,148,0,1007,848,39
201151,483167,Y,453,442,115,204,1256,1057,88
201151,483167,Y,591,553,0,804,1326,1226,171
201151,483167,Y,296,286,0,132,670,625,78
201151,483708,Y,496,495,63,36,1729,915,15
201151,483708,Y,314,313,44,0,1085,597,15
201151,483708,Y,453,449,41,0,1596,799,15
201151,483708,Y,319,314,43,0,1024,624,18
201151,483708,Y,292,289,21,24,957,566,16
201151,483708,Y,669,667,2,48,2509,1245,16
201151,483708,Y,618,617,32,144,2133,1246,44
201151,483708,Y,317,310,68,24,1053,512,20
201151,483708,Y,685,678,39,84,2501,1084,20
201151,483708,Y,437,435,99,0,1485,869,13
201151,483708,Y,470,460,42,48,1571,826,16
201151,483708,Y,481,479,26,36,1491,843,17
201151,483708,Y,388,385,48,0,1468,715,5
201151,483708,Y,419,418,126,0,1667,823,14
201151,483708,Y,591,585,82,72,1733,944,26
201151,483708,Y,296,294,61,0,1009,484,6
201151,483980,Y,634,629,4,0,2070,1286,37
201151,483980,Y,458,456,3,0,1487,917,24
201151,483980,Y,383,382,82,0,1448,778,4
201151,483980,Y,286,284,178,0,923,580,15
201151,559682,Y,496,493,127,12,1496,997,16
201151,559682,Y,315,314,105,0,939,635,12
201151,559682,Y,453,450,162,0,1451,914,11
201151,559682,Y,317,317,91,0,957,635,3
201151,559682,Y,292,287,135,84,873,647,37
201151,559682,Y,670,670,76,60,2247,1348,2
201151,559682,Y,618,609,109,432,1873,1291,71
201151,559682,Y,318,316,40,144,1043,670,25
201151,559682,Y,686,676,504,216,2117,1425,56
201151,559682,Y,438,436,26,84,1365,903,14
201151,559682,Y,469,468,185,84,1520,951,9
201151,559682,Y,478,478,89,24,1426,959,13
201151,559682,Y,389,387,69,0,1235,780,5
201151,559682,Y,455,452,337,144,1537,1074,44
201151,559682,Y,589,588,579,432,1755,1213,38
201151,559682,Y,295,293,44,60,874,605,17
201151,697513,Y,490,486,93,84,1596,1038,44
201151,697513,Y,309,308,80,0,899,662,31
201151,697513,Y,432,426,123,0,1248,907,50
201151,697513,Y,313,312,77,0,821,652,26
201151,697513,Y,291,289,27,48,836,617,23
201151,697513,Y,654,647,0,192,1910,1391,39
201151,697513,Y,607,578,0,324,1605,1313,182
201151,697513,Y,315,314,1,96,927,659,35
201151,697513,Y,677,667,60,96,2445,1374,72
201151,697513,Y,433,430,21,84,1225,913,36
201151,697513,Y,459,451,44,120,1246,980,49
201151,697513,Y,466,462,42,96,1447,977,45
201151,697513,Y,378,376,98,0,1187,812,18
201151,697513,Y,408,400,132,108,1205,831,55
201151,697513,Y,583,579,0,300,1561,1202,46
201151,697513,Y,294,292,26,48,868,598,21
201151,697531,Y,497,495,62,180,1470,1490,203
201151,697531,Y,314,309,204,0,977,942,142
201151,697531,Y,453,451,177,0,1456,1359,75
201151,697531,Y,319,309,107,0,836,957,187
201151,697531,Y,291,290,0,168,917,876,109
201151,697531,Y,667,664,0,300,2191,2006,96
201151,697531,Y,618,579,0,636,1744,1863,406
201151,697531,Y,317,309,0,216,969,952,146
201151,697531,Y,685,674,184,480,2313,2061,169
201151,697531,Y,437,427,0,228,1324,1313,211
201151,697531,Y,469,466,82,216,1465,1407,86
201151,697531,Y,481,470,32,216,1396,1443,257
201151,697531,Y,388,388,132,0,1266,1164,43
201151,697531,Y,418,415,165,132,1308,1258,110
201151,697531,Y,588,565,8,804,1708,1766,249
201151,697531,Y,296,295,8,72,982,888,44
201151,697534,Y,439,437,3,0,1459,1317,79
201151,697534,Y,384,344,108,0,963,1149,301
201151,697534,Y,287,284,6,0,1029,862,40
201151,697537,Y,439,420,2,0,1362,1318,184
201151,730264,Y,29,29,8,0,115,61,4
201151,730264,Y,23,22,23,0,72,53,3
201151,730264,Y,11,11,3004,0,41,22,0
201151,730264,Y,9,9,55,0,32,18,0
201151,804092,Y,222,91,306,0,182,234,140
201151,804092,Y,227,225,0,0,454,258,1
201151,804092,Y,295,293,63,0,676,311,2
201151,804092,Y,436,432,25,0,994,472,4
201151,804092,Y,535,530,10,0,1299,679,9
201151,804092,Y,260,256,54,0,613,286,4
201151,804092,Y,287,285,96,0,604,340,3
201151,804092,Y,224,219,446,0,468,244,5
201151,804092,Y,141,140,91,0,308,151,1
201151,804092,Y,361,359,31,0,927,383,3
201151,804092,Y,537,527,407,0,1449,570,13
201151,804092,Y,229,226,140,0,559,239,3
201151,804093,Y,223,51,539,0,102,254,201
201151,804093,Y,226,222,71,0,471,297,6
201151,804093,Y,294,287,59,0,605,347,10
201151,804093,Y,230,225,50,0,502,321,6
201151,804093,Y,242,236,19,48,519,295,8
201151,804093,Y,434,426,36,48,930,537,12
201151,804093,Y,537,485,0,228,1122,741,72
201151,804093,Y,260,245,0,60,503,303,23
201151,804093,Y,625,602,43,132,1323,721,35
201151,804093,Y,283,277,114,0,614,394,13
201151,804093,Y,272,260,14,84,496,308,16
201151,804093,Y,226,213,550,0,444,257,13
201151,804093,Y,141,135,32,0,260,152,8
201151,804093,Y,366,344,94,36,886,507,37
201151,804093,Y,539,509,0,216,1034,622,36
201151,804093,Y,232,212,0,36,444,275,27
201151,804094,Y,230,47,510,0,82,253,202
201151,804094,Y,230,225,50,0,464,270,4
201151,804094,Y,298,291,47,0,616,326,7
201151,804094,Y,233,218,42,0,431,271,20
201151,804094,Y,245,238,27,48,436,269,7
201151,804094,Y,444,408,0,108,901,514,44
201151,804094,Y,547,515,33,204,1119,744,47
201151,804094,Y,268,242,0,72,558,297,29
201151,804094,Y,639,612,82,144,1346,674,28
201151,804094,Y,289,284,230,0,541,333,6
201151,804094,Y,276,254,24,72,548,297,27
201151,804094,Y,230,224,516,0,413,245,7
201151,804094,Y,141,136,32,0,292,148,5
201151,804094,Y,374,346,88,60,785,494,35
201151,804094,Y,542,494,0,240,1009,579,52
201151,804094,Y,233,222,19,48,494,242,13
201151,804095,Y,216,58,533,0,102,238,172
201151,804095,Y,223,220,30,0,478,260,2
201151,804095,Y,280,259,43,0,571,307,21
201151,804095,Y,230,226,22,0,440,254,5
201151,804095,Y,232,227,2,36,472,253,5
201151,804095,Y,435,426,205,0,1009,501,9
201151,804095,Y,539,495,0,180,1092,714,62
201151,804095,Y,250,237,0,60,461,278,14
201151,804095,Y,596,538,0,96,1149,646,67
201151,804095,Y,282,277,608,0,572,315,8
201151,804095,Y,266,245,0,60,505,294,25
201151,804095,Y,215,209,914,0,420,232,6
201151,804095,Y,139,134,39,0,249,146,5
201151,804095,Y,367,332,8,24,804,407,41
201151,804095,Y,502,460,0,132,938,545,47
201151,804095,Y,219,206,41,0,444,229,13
201151,807138,Y,46,46,12,0,135,74,0
201151,807138,Y,14,14,48,0,33,17,0
201151,827731,Y,496,437,320,348,925,1000,208
201151,827731,Y,314,304,464,0,694,638,59
201151,827731,Y,452,429,366,0,982,925,122
201151,827731,Y,319,302,239,0,650,641,84
201151,827731,Y,292,283,46,300,682,595,58
201151,827731,Y,668,631,0,672,1487,1357,161
201151,827731,Y,618,559,0,1332,1401,1311,263
201151,827731,Y,312,264,0,456,649,669,183
201151,827731,Y,684,593,321,816,1611,1539,377
201151,827731,Y,437,418,79,384,1027,892,95
201151,827731,Y,470,450,76,504,1061,958,106
201151,827731,Y,480,458,47,336,1056,963,88
201151,827731,Y,388,382,240,0,874,782,44
201151,827731,Y,420,394,374,336,1005,874,126
201151,827731,Y,588,488,193,1452,1199,1312,373
201151,827731,Y,296,270,0,420,702,609,98
201151,845042,Y,473,460,137,0,1030,928,17
201151,845042,Y,268,268,96,0,620,537,14
201151,845042,Y,444,443,214,0,1118,890,17
201151,845042,Y,243,242,50,0,563,484,5
201151,845042,Y,180,179,50,24,446,377,10
201151,845042,Y,649,643,56,84,1535,1298,24
201151,845042,Y,607,596,992,0,1371,1214,53
201151,845042,Y,314,311,58,84,841,641,17
201151,845042,Y,676,658,164,252,1973,1416,73
201151,845042,Y,315,313,45,24,738,649,19
201151,845042,Y,454,449,115,48,1017,911,25
201151,845042,Y,464,460,96,72,1066,928,15
201151,845042,Y,377,375,138,0,850,754,17
201151,845042,Y,408,339,1237,0,771,683,20
201151,845042,Y,576,573,196,384,1463,1155,36
201151,845042,Y,288,284,99,0,733,575,19
201151,850338,Y,231,227,33,12,300,231,3
201151,850338,Y,231,228,44,0,311,238,3
201151,850338,Y,297,293,35,0,384,296,2
201151,850338,Y,233,233,40,0,322,239,0
201151,850338,Y,242,238,36,12,384,304,4
201151,850338,Y,447,435,45,0,606,449,11
201151,850338,Y,547,539,69,60,788,555,8
201151,850338,Y,267,262,50,12,406,269,5
201151,850338,Y,647,629,118,0,977,645,12
201151,850338,Y,288,287,28,24,410,313,1
201151,850338,Y,276,273,57,0,399,278,3
201151,850338,Y,225,220,38,12,331,226,5
201151,850338,Y,141,140,50,0,195,140,1
201151,850338,Y,381,375,43,24,524,380,3
201151,850338,Y,554,543,72,24,834,556,9
201151,850338,Y,236,229,0,36,327,231,0
