Missing,Basis,Missing,Missing,Missing,Balance On Hand,Balance On Order,Store Balance On Hand,Missing,Missing
201151,480957,Y,320,318,102,0,665,323,2
201151,480957,Y,288,282,79,60,691,381,22
201151,480957,Y,669,665,208,0,1637,678,6
201151,480957,Y,617,605,107,144,1347,658,16
201151,480957,Y,312,308,358,0,708,323,4
201151,480957,Y,681,659,28,180,1612,701,22
201151,480957,Y,433,425,1105,0,1018,469,15
201151,480957,Y,467,461,73,0,998,479,7
201151,480957,Y,480,478,380,0,1119,480,2
201151,480957,Y,387,385,105,0,841,389,2
201151,480957,Y,440,430,183,84,1097,504,13
201151,480957,Y,587,579,82,144,1333,611,9
201151,480957,Y,296,292,99,0,728,307,4
201151,488681,Y,491,480,121,0,1875,978,25
201151,488681,Y,314,313,106,0,861,628,8
201151,488681,Y,451,449,107,0,1179,902,12
201151,488681,Y,318,317,119,0,775,636,18
201151,488681,Y,292,292,57,0,751,598,12
201151,488681,Y,650,648,124,0,1784,1301,25
201151,488681,Y,614,609,374,0,1484,1234,48
201151,488681,Y,313,306,133,0,794,626,28
201151,488681,Y,669,660,231,0,2526,1338,34
201151,488681,Y,436,434,145,0,1208,874,13
201151,488681,Y,460,458,72,0,1195,920,21
201151,488681,Y,474,472,94,0,1585,946,23
201151,488681,Y,382,380,114,0,1408,764,12
201151,488681,Y,446,445,114,0,1320,900,24
201151,488681,Y,576,573,261,0,1395,1152,33
201151,488681,Y,285,282,28,0,788,571,16
201151,689296,Y,340,324,138,132,774,681,76
201151,689296,Y,288,287,177,0,721,579,22
201151,689296,Y,261,252,123,0,591,522,46
201151,689296,Y,292,289,130,0,662,585,33
201151,689296,Y,285,280,56,108,745,645,40
201151,689296,Y,490,487,20,240,1231,986,46
201151,689296,Y,597,587,53,720,1425,1230,91
201151,689296,Y,210,205,45,132,513,426,28
201151,689296,Y,508,489,189,168,1264,1025,88
201151,689296,Y,416,412,22,204,1024,866,51
201151,689296,Y,260,256,148,144,636,525,36
201151,689296,Y,269,264,52,132,619,540,33
201151,689296,Y,202,199,152,0,496,419,23
201151,689296,Y,439,433,398,216,1065,914,77
201151,689296,Y,422,421,215,336,1051,849,44
201151,689296,Y,197,193,38,84,494,405,28
201151,716887,Y,494,488,353,180,1209,994,42
201151,716887,Y,314,307,314,0,818,637,41
201151,716887,Y,453,446,229,0,1160,908,45
201151,716887,Y,313,309,313,0,745,628,30
201151,716887,Y,291,286,335,216,793,660,45
201151,716887,Y,667,661,144,276,1734,1340,50
201151,716887,Y,618,606,462,684,1590,1279,91
201151,716887,Y,314,309,203,216,835,673,53
201151,716887,Y,683,661,550,420,1904,1409,103
201151,716887,Y,434,423,226,288,1083,910,68
201151,716887,Y,470,463,344,216,1157,949,54
201151,716887,Y,477,469,227,120,1216,959,48
201151,716887,Y,387,380,240,0,933,777,33
201151,716887,Y,438,425,408,216,1105,930,83
201151,716887,Y,591,583,423,516,1589,1190,67
201151,716887,Y,296,294,27,120,763,596,23
201151,716882,Y,282,282,131,0,840,566,10
201151,716882,Y,284,284,59,0,740,574,13
201151,716883,Y,282,281,45,0,915,578,10
201151,716883,Y,298,298,114,0,910,604,5
201151,848334,Y,226,225,96,0,624,450,4
201151,848334,Y,216,216,96,0,552,430,1
201151,848334,Y,290,290,71,0,799,576,1
201151,848334,Y,221,220,234,0,566,438,3
201151,848334,Y,225,224,119,12,589,450,3
201151,848334,Y,418,418,201,0,1129,836,3
201151,848334,Y,524,520,207,0,1374,1045,16
201151,848334,Y,229,228,179,0,689,463,2
201151,848334,Y,572,565,422,0,1798,1143,19
201151,848334,Y,279,279,286,0,1031,558,1
201151,848334,Y,271,269,185,0,782,540,2
201151,848334,Y,224,224,287,0,678,448,2
201151,848334,Y,138,136,174,0,413,274,2
201151,848334,Y,354,353,162,0,941,708,2
201151,848334,Y,507,505,552,0,1556,1025,6
201151,848337,Y,213,211,50,0,582,426,8
201151,848337,Y,191,189,47,0,520,381,7
201151,848337,Y,289,289,200,0,792,576,1
201151,848337,Y,159,159,154,0,417,316,1
201151,848337,Y,158,157,7,96,383,316,4
201151,848337,Y,404,404,325,0,1062,806,5
201151,848337,Y,500,494,288,0,1354,998,12
201151,848337,Y,227,226,52,0,650,455,4
201151,848337,Y,565,553,570,0,1637,1112,21
201151,848337,Y,153,152,138,0,428,306,2
201151,848337,Y,272,270,150,0,749,541,0
201151,848337,Y,222,222,359,0,619,444,1
201151,848337,Y,138,137,279,0,398,272,0
201151,848337,Y,285,281,195,0,794,567,7
201151,848337,Y,505,501,266,0,1477,1017,11
201151,199279,Y,312,312,180,0,1128,624,4
201151,199279,Y,318,318,200,0,1195,636,1
201151,199279,Y,292,279,0,924,957,637,77
201151,199279,Y,1547,1540,1388,0,5523,3097,42
201151,199279,Y,618,606,0,156,2358,1242,64
201151,199279,Y,676,672,401,0,3468,1367,31
201151,199279,Y,435,435,389,1212,1799,903,17
201151,199279,Y,1631,1625,315,0,6039,3283,37
201151,199279,Y,451,447,270,60,1584,1034,56
201151,199279,Y,568,563,770,0,2413,1141,20
201151,199279,Y,285,284,289,0,1105,570,6
201151,199296,Y,311,311,18,24,1302,622,0
201151,199296,Y,318,316,126,0,1361,637,5
201151,199296,Y,292,290,14,936,1116,688,36
201151,199296,Y,1550,1539,1730,0,5643,3104,60
201151,199296,Y,619,612,0,120,2396,1250,31
201151,199296,Y,678,670,4031,0,2964,1369,44
201151,199296,Y,439,439,549,960,1962,926,18
201151,199296,Y,1626,1618,4182,0,6809,3266,38
201151,199296,Y,417,413,95,156,1678,834,11
201151,199296,Y,574,572,1076,0,2672,1156,22
201151,199296,Y,288,286,565,0,1060,578,13
201151,351097,Y,82,82,503,0,279,178,5
201151,351097,Y,77,75,534,0,210,158,5
201151,351097,Y,281,278,99,1092,904,660,30
201151,351097,Y,254,233,446,0,730,508,39
201151,351097,Y,163,161,726,0,627,376,17
201151,351097,Y,199,186,120,0,948,429,43
201151,351097,Y,422,419,49,1524,1450,946,24
201151,351097,Y,280,260,320,0,925,581,51
201151,351097,Y,123,122,5175,0,713,270,2
201151,351097,Y,153,149,492,0,469,324,21
201151,351097,Y,75,75,549,0,245,151,5
201151,442893,Y,312,308,23,108,1038,627,13
201151,442893,Y,320,314,211,0,1199,635,8
201151,442893,Y,292,288,113,2568,1196,687,45
201151,442893,Y,1527,1496,1584,0,5322,3067,79
201151,442893,Y,618,573,0,276,1869,1257,154
201151,442893,Y,678,673,2651,0,3717,1387,18
201151,442893,Y,439,436,326,2688,1971,933,28
201151,442893,Y,1612,1567,1726,0,5394,3220,75
201151,442893,Y,434,410,17,180,1818,921,86
201151,442893,Y,577,570,641,0,2951,1165,30
201151,442893,Y,289,286,200,0,1325,575,9
201151,689603,Y,43,26,42,0,87,60,6
201151,689603,Y,39,23,1184,0,75,48,0
201151,689603,Y,31,20,411,0,163,40,0
201151,689603,Y,162,110,2001,0,420,240,10
201151,689603,Y,120,100,134,0,420,215,11
201151,689603,Y,76,57,1526,0,284,126,8
201151,689603,Y,47,27,495,0,106,71,7
201151,689603,Y,116,74,2214,0,311,159,8
201151,689603,Y,66,52,143,0,201,106,1
201151,689603,Y,78,66,1255,0,410,151,3
201151,689603,Y,29,26,463,0,114,57,0
201151,690341,Y,50,50,58,0,189,105,2
201151,690341,Y,55,54,324,0,208,115,2
201151,690341,Y,272,270,23,612,981,558,10
201151,690341,Y,223,148,1009,0,474,303,9
201151,690341,Y,84,84,176,0,391,173,2
201151,690341,Y,113,54,630,0,213,109,1
201151,690341,Y,420,419,199,636,1620,855,6
201151,690341,Y,222,165,546,0,606,339,7
201151,690341,Y,62,62,42,0,230,129,0
201151,690341,Y,87,68,1481,0,258,138,3
201151,690341,Y,40,26,731,0,78,52,1
201151,727120,Y,313,313,22,0,1129,626,2
201151,727120,Y,318,318,62,0,1188,636,0
201151,727120,Y,292,287,0,312,922,600,18
201151,727120,Y,1549,1545,21,120,5311,3098,12
201151,727120,Y,618,605,12,48,1881,1238,41
201151,727120,Y,674,673,137,0,2949,1366,4
201151,727120,Y,438,400,0,396,1480,886,100
201151,727120,Y,1630,1616,556,0,5710,3269,36
201151,727120,Y,449,442,48,36,1622,909,21
201151,727120,Y,571,568,927,0,2096,1144,13
201151,727120,Y,282,281,12,0,1084,564,5
201151,727121,Y,313,312,24,12,1141,627,3
201151,727121,Y,318,317,15,0,1172,636,3
201151,727121,Y,292,290,28,696,1075,601,14
201151,727121,Y,1546,1540,39,180,5298,3092,19
201151,727121,Y,618,617,0,120,2156,1247,25
