Basis,Aim Store Count,Instock Store Count,Balance On Hand,Balance On Order,Store Balance On Hand,Target Inventory Level,Need for Target Inventory Level
276778,504,500,79,0,1120,667,7
276778,314,309,16,18,726,409,7
276778,464,460,77,24,1157,586,5
276778,321,318,57,24,625,419,8
276778,292,286,50,30,619,343,7
276778,661,637,43,0,1485,834,30
276778,710,691,39,102,1521,880,23
276778,321,317,58,24,820,391,10
276778,682,659,78,114,1487,821,27
276778,421,417,37,36,869,566,6
276778,465,453,68,0,965,555,12
276778,483,478,79,12,1044,631,14
276778,386,377,2,60,853,476,13
276778,363,358,154,0,939,382,5
276778,588,578,178,18,1111,722,18
276778,304,299,35,60,666,371,7
330002,502,490,92,0,1034,560,14
330002,315,312,33,0,670,346,3
330002,465,462,43,0,1359,495,3
330002,322,319,33,24,691,351,3
330002,291,288,82,0,543,304,3
330002,661,656,49,24,1955,752,5
330002,678,666,140,24,1295,745,14
330002,319,312,69,24,701,335,7
330002,686,678,159,84,1631,707,8
330002,421,419,61,0,965,451,2
330002,467,463,72,0,1223,487,5
330002,482,479,56,12,1046,526,3
330002,386,384,54,12,987,415,2
330002,362,357,278,0,840,409,5
330002,587,579,123,24,1264,615,8
330002,301,297,81,0,787,304,4
249816,505,491,258,0,1088,678,29
249816,319,308,60,48,701,451,22
249816,463,446,71,108,1008,637,31
249816,323,314,62,132,678,422,18
249816,292,281,83,108,650,397,21
249816,666,646,179,108,1470,907,42
249816,719,688,281,360,1677,1089,63
249816,318,309,121,168,872,544,26
249816,685,665,303,516,1621,1125,67
249816,438,432,217,108,1077,601,23
249816,463,449,223,0,1004,656,28
249816,483,457,104,96,1007,691,47
249816,387,376,11,96,784,542,24
249816,363,356,855,0,840,515,23
249816,590,571,410,120,1442,960,56
249816,304,285,0,96,639,470,34
308266,505,495,297,2088,1899,1876,165
308266,320,317,159,1356,1541,1562,116
308266,465,457,1340,1140,1625,1756,185
308266,323,286,0,1944,1102,1413,206
308266,291,289,611,468,1171,1104,68
308266,663,650,4600,3036,2826,2821,249
308266,722,700,1842,4716,2907,3180,306
308266,319,310,841,1776,1307,1345,128
