Basis,Aim Store Count,Instock Store Count,Balance On Hand,Balance On Order,Store Balance On Hand,Target Inventory Level,Need for Target Inventory Level
276778,499,496,25,120,1136,666,9
276778,315,309,47,0,730,408,8
276778,453,441,36,60,1167,564,17
276778,321,315,42,0,660,417,10
276778,292,286,141,0,624,348,10
276778,674,669,70,0,1591,857,8
276778,646,623,49,270,1368,810,39
276778,318,312,158,0,775,380,10
276778,645,626,360,0,1364,770,26
276778,424,399,0,150,854,559,40
276778,434,419,143,90,914,518,21
276778,483,476,31,78,1056,633,13
276778,388,381,103,42,1032,476,10
276778,421,414,306,0,1069,463,7
276778,590,572,365,0,1125,703,23
276778,372,364,163,0,776,448,11
330002,499,491,160,24,1036,558,9
330002,314,311,65,0,675,344,4
330002,452,451,47,0,1335,478,1
330002,320,316,21,0,674,349,4
330002,291,289,139,0,511,307,2
330002,674,667,112,0,1948,773,8
330002,616,603,445,0,1119,675,20
330002,318,314,91,0,591,335,4
330002,646,634,199,204,1368,659,13
330002,424,418,69,36,963,452,6
330002,435,425,67,36,1080,453,10
330002,483,474,104,12,1051,527,9
330002,387,385,31,36,1005,415,3
330002,422,417,412,0,821,485,6
330002,589,573,303,0,1166,607,17
330002,372,369,171,0,991,380,3
249816,500,453,132,168,964,678,91
249816,314,285,232,0,614,419,63
249816,452,406,168,192,837,612,81
249816,321,310,96,144,631,399,26
249816,292,254,372,0,562,427,79
249816,678,644,74,312,1451,909,69
249816,654,617,348,936,1521,1038,113
249816,318,305,66,264,805,548,54
249816,645,573,0,660,1348,990,156
249816,440,418,144,216,994,625,65
249816,434,405,179,108,858,625,79
249816,481,465,211,120,1009,686,34
249816,388,379,91,180,798,552,25
249816,421,405,1404,0,940,600,38
249816,592,568,497,360,1342,932,69
249816,371,355,341,72,749,549,41
308266,499,447,0,1368,1158,1268,356
308266,317,279,946,348,724,1019,400
308266,451,436,827,0,1176,1096,195
308266,321,306,647,384,778,841,188
308266,291,284,647,528,925,881,128
308266,675,645,720,1080,1858,1683,316
308266,656,639,273,2136,2096,2110,448
308266,315,298,0,528,890,911,214
308266,646,636,691,1932,2149,1609,220
308266,435,415,2346,0,1703,1305,285
308266,435,417,696,0,1132,1064,190
308266,484,470,1198,0,1669,1405,292
308266,386,376,824,0,933,881,113
308266,421,412,553,804,1059,967,104
308266,593,580,1976,0,1767,1496,259
308266,370,363,1017,0,995,960,193
327095,498,493,110,0,1243,749,16
327095,314,309,187,0,780,554,17
327095,453,451,598,0,1236,642,6
327095,321,321,769,0,827,572,6
327095,292,290,504,0,760,482,6
327095,676,673,72,0,1968,1071,13
327095,629,614,0,0,1738,1183,72
327095,317,309,785,0,838,476,16
327095,646,638,588,0,1724,1026,29
327095,440,438,636,0,1512,768,11
327095,435,433,121,0,1140,613,7
327095,481,472,739,0,1125,681,21
327095,388,388,205,0,1108,531,3
327095,421,419,191,0,1264,762,11
327095,592,583,64,0,1443,896,33
327095,371,352,0,0,889,550,57
460400,498,485,0,732,1366,1056,93
460400,316,304,425,0,828,726,93
460400,452,428,118,276,1120,918,98
460400,321,316,364,0,934,773,57
460400,291,263,829,0,723,767,211
460400,674,651,156,0,1707,1426,128
460400,641,622,339,540,1670,1570,203
460400,316,310,59,156,880,677,40
460400,647,568,0,1020,1729,1388,338
460400,439,421,594,0,1346,1134,165
460400,433,409,252,120,1087,896,122
460400,484,470,371,0,1314,1010,93
460400,387,383,168,120,1009,789,35
460400,421,409,476,0,1224,910,84
460400,590,568,341,12,1690,1230,110
460400,372,361,216,0,1015,774,75
460403,499,475,71,444,1225,1090,160
460403,311,283,444,0,736,690,162
460403,452,441,144,60,1163,955,90
460403,318,314,354,96,783,674,54
460403,291,284,444,0,812,725,82
460403,667,650,48,264,1773,1453,159
460403,640,612,210,396,1670,1552,249
460403,298,294,97,168,869,731,107
460403,608,561,0,756,1603,1463,345
460403,439,423,682,0,1245,1030,152
460403,431,419,394,0,1074,951,134
460403,481,470,489,0,1239,1090,153
460403,386,381,169,60,1018,825,68
460403,421,412,436,384,1218,915,71
460403,575,564,303,0,1561,1319,218
460403,368,359,1030,0,975,870,139
460423,499,493,47,420,1532,1182,104
460423,316,298,240,0,849,791,135
460423,453,449,0,192,1323,1031,54
460423,321,320,352,0,904,756,45
460423,292,272,363,0,816,687,124
460423,677,663,586,0,2031,1582,150
460423,618,609,572,756,1725,1496,160
460423,318,310,0,108,911,737,98
460423,647,631,0,252,2044,1499,126
460423,439,430,171,216,1384,1004,90
460423,433,419,0,180,1296,997,88
460423,483,478,101,240,1374,1111,88
460423,386,381,0,264,1057,879,47
460423,422,413,3477,0,1110,938,75
460423,591,586,344,0,1860,1352,60
460423,371,366,156,0,1110,859,56
480957,500,482,0,132,993,520,24
480957,313,300,552,0,656,334,19
480957,453,445,853,0,876,462,10
480957,320,312,15,0,599,335,11
480957,288,256,288,0,559,339,53
480957,673,637,24,156,1453,710,50
480957,638,583,0,264,1354,766,83
480957,312,304,54,72,681,350,14
480957,642,608,0,240,1363,719,49
480957,434,418,742,0,916,464,21
480957,432,412,60,48,809,457,27
480957,482,474,153,0,990,500,11
480957,386,375,221,0,746,400,18
480957,421,403,135,168,885,491,29
480957,585,541,264,24,1102,656,62
480957,371,365,42,60,831,407,13
689296,347,342,84,312,818,707,50
689296,288,263,420,0,650,597,118
689296,262,249,216,24,594,543,74
689296,294,279,2,372,599,597,95
689296,285,250,433,0,555,603,144
689296,498,471,132,528,1103,1042,155
689296,605,589,442,576,1445,1348,151
689296,212,211,0,228,556,467,40
689296,479,441,0,852,1138,1035,171
689296,417,411,286,216,984,877,71
689296,246,234,170,156,534,519,82
689296,273,268,0,528,625,569,53
689296,209,198,168,72,472,463,67
689296,413,408,111,708,1020,896,66
689296,428,413,576,0,980,921,122
689296,252,244,329,0,583,534,60
716887,496,480,40,648,1134,1040,94
716887,315,287,564,0,671,699,159
716887,453,440,276,180,1056,920,80
716887,313,303,228,216,707,665,76
716887,291,263,893,0,665,746,194
716887,675,661,300,0,1633,1389,107
716887,638,613,572,888,1670,1577,200
716887,313,304,240,252,856,767,99
716887,647,610,0,1152,1672,1515,269
716887,434,408,473,108,1096,971,124
716887,436,431,265,252,1072,936,75
716887,483,468,162,348,1088,999,103
716887,384,380,58,228,866,783,48
716887,420,413,535,552,1018,905,72
716887,589,583,892,0,1470,1243,75
716887,369,359,549,0,872,791,74
868171,496,491,99,276,1069,1008,30
868171,314,310,197,0,679,650,33
868171,449,445,277,96,944,904,33
868171,319,318,153,0,699,665,32
868171,291,290,293,0,700,611,23
868171,675,667,345,0,1407,1364,63
868171,604,601,425,432,1415,1326,63
868171,314,312,566,0,829,750,35
868171,645,640,812,144,1492,1394,83
