Basis,Aim Store Count,Instock Store Count,Balance On Hand,Balance On Order,Store Balance On Hand,Target Inventory Level,Need for Target Inventory Level
276778,399,397,18,222,973,798,8
276778,381,350,0,588,712,764,141
276778,449,433,0,450,1102,898,89
276778,478,433,0,390,900,961,188
276778,307,289,1,390,594,614,77
276778,639,624,33,474,1404,1284,106
276778,768,763,67,438,1829,1525,24
276778,323,307,63,378,732,648,91
276778,650,645,28,408,1693,1337,28
276778,369,352,21,390,727,738,99
276778,474,466,0,312,1063,948,43
276778,507,499,0,186,1148,1014,72
276778,447,444,0,186,1144,894,64
276778,339,329,0,192,866,679,57
276778,604,557,0,588,1147,1249,178
276778,411,408,31,144,978,822,10
200964,0,0,0,1152,481,805,234
200964,0,0,1,864,393,768,243
200964,0,0,616,1296,429,691,216
200964,0,0,0,2376,904,1326,324
213140,0,0,2123,360,501,901,256
213140,0,0,1065,360,793,849,133
213140,0,0,264,1440,1173,976,105
213140,0,0,3062,360,2167,1803,175
237741,399,393,445,432,1042,862,62
237741,384,376,1011,288,1050,847,48
237741,448,441,1751,3600,1256,919,25
237741,483,474,3331,1512,1329,1022,60
237741,308,305,3566,0,955,757,43
237741,637,634,1399,936,1850,1336,52
237741,759,747,357,1224,1878,1640,94
237741,322,317,186,504,990,739,63
237741,651,643,1007,3672,2080,1728,120
237741,369,359,708,0,1024,837,62
237741,471,464,5727,0,1153,980,58
237741,505,493,2902,0,1356,1123,83
237741,443,434,1490,864,1174,924,56
237741,338,326,2128,0,819,707,48
237741,600,591,1850,2808,1931,1593,119
237741,405,401,2430,2952,1293,960,60
237755,399,395,737,216,1043,883,57
237755,384,375,1510,0,963,843,65
237755,449,445,823,0,1351,922,26
237755,483,476,1948,792,1281,1031,74
237755,308,304,2129,0,866,733,53
237755,639,628,1552,0,1848,1331,65
237755,790,761,490,1800,2035,1986,137
237755,322,314,2971,0,1053,764,60
237755,651,637,5591,0,1987,1586,121
237755,369,358,466,576,1003,891,88
237755,471,463,1340,0,1384,1015,58
237755,505,498,813,0,1349,1113,79
237755,443,434,905,72,1129,937,63
237755,338,330,310,144,828,722,62
237755,600,586,787,936,1958,1478,120
237755,405,399,436,936,1234,889,54
249816,399,392,422,0,963,808,34
249816,386,381,103,288,966,795,46
249816,450,445,148,384,1102,908,39
249816,484,480,15,732,1121,976,41
249816,308,305,383,204,864,646,26
249816,642,637,396,300,1570,1305,40
249816,791,771,1116,240,2109,1794,114
249816,323,316,360,336,841,701,49
249816,653,639,355,1188,1673,1442,111
249816,370,367,475,24,1038,759,35
249816,476,473,208,300,1184,985,46
249816,508,502,107,576,1161,1023,50
249816,450,444,0,360,1025,905,52
249816,343,335,597,48,841,708,38
249816,604,590,248,972,1551,1316,85
249816,411,407,283,288,999,842,46
308266,399,387,543,708,1244,1090,86
308266,386,381,577,444,1405,1264,76
308266,450,447,461,900,2005,1032,43
308266,484,468,321,1032,1618,1286,86
308266,308,304,765,1272,1142,930,31
308266,639,631,1596,324,2079,1569,97
308266,792,777,3099,0,2980,2611,147
308266,323,315,661,828,1053,968,70
308266,653,645,1522,0,2955,2127,96
308266,368,364,1142,504,1244,1063,75
308266,476,472,2378,0,1535,1201,66
308266,508,498,320,324,1665,1396,81
308266,449,440,2090,648,1294,1047,52
308266,343,334,1347,2256,951,840,58
308266,608,601,415,1716,2507,2076,110
308266,411,404,554,876,1421,1053,37
320989,0,0,0,1152,41,458,208
320989,0,0,0,1152,53,519,229
320989,0,0,0,1536,38,709,336
320989,0,0,0,1152,127,568,242
320989,0,0,0,1536,16,485,229
320989,0,0,0,1920,145,874,393
320989,0,0,0,3840,55,1452,639
320989,0,0,0,1536,46,570,248
320989,0,0,0,3456,101,1275,570
320989,0,0,0,1152,55,479,216
320989,0,0,0,1920,66,733,338
320989,0,0,0,1152,131,646,275
320989,0,0,0,864,85,545,245
320989,0,0,0,1536,43,608,291
320989,0,0,0,3072,90,1230,529
320989,0,0,0,1536,60,742,329
460400,399,397,1926,5364,1695,1611,106
460400,386,386,614,252,1634,1550,104
460400,450,449,185,276,1966,1801,116
460400,484,482,396,1152,2187,1943,118
460400,308,307,181,228,1340,1252,73
460400,641,640,432,612,2898,2573,176
460400,753,746,308,1128,3233,3034,171
460400,323,321,233,312,1475,1308,90
460400,653,647,358,672,2966,2645,177
460400,370,370,281,432,1594,1485,90
460400,476,474,600,384,2073,1905,117
460400,508,502,207,372,2045,2039,185
460400,450,449,395,360,1911,1802,121
460400,342,340,127,564,1455,1380,53
460400,604,603,139,960,2657,2435,169
460400,411,410,99,312,1833,1653,109
460403,399,397,3656,948,1712,1617,122
460403,383,381,813,408,1723,1547,77
460403,447,447,421,636,2055,1788,106
460403,480,477,493,1104,2085,1927,128
460403,308,306,11,888,1432,1269,72
460403,639,635,232,1128,2729,2566,164
460403,788,780,635,756,3435,3270,216
460403,318,316,937,156,1444,1295,91
460403,642,639,3005,0,3042,2619,165
460403,368,366,515,576,1673,1494,108
460403,473,471,1658,828,2068,1900,131
460403,508,504,415,900,2231,2057,156
460403,450,448,808,252,1893,1812,137
460403,339,335,124,780,1420,1374,68
460403,597,596,133,1404,2630,2439,205
460403,410,407,843,0,1882,1655,106
460423,399,397,768,396,1717,1610,116
460423,385,384,369,348,1659,1560,104
460423,449,448,215,516,1899,1796,123
460423,481,479,27,1764,2060,1932,128
460423,308,307,0,732,1341,1247,78
460423,642,637,2475,408,2866,2572,182
460423,780,772,1430,960,3405,3118,176
460423,323,323,358,564,1424,1316,101
460423,651,651,1306,0,2993,2618,174
460423,370,370,922,0,1575,1487,102
460423,476,475,402,504,2007,1907,128
460423,508,504,1579,504,2027,2047,161
460423,450,449,686,408,1864,1800,142
460423,342,333,0,1296,1207,1368,145
460423,604,603,223,636,2672,2434,163
460423,411,411,0,384,1782,1645,132
689296,390,384,219,96,1033,790,27
689296,384,382,147,132,1308,785,18
689296,433,432,176,156,1323,869,24
689296,482,481,160,132,1543,967,30
689296,307,306,176,96,1157,631,18
689296,610,605,255,168,2041,1229,37
689296,777,765,719,0,2513,1676,62
689296,315,310,277,0,1183,649,19
689296,638,631,547,36,2270,1313,58
689296,366,363,463,0,1321,736,22
689296,460,455,512,0,1610,931,31
689296,490,487,370,0,1663,993,26
689296,428,421,177,60,1394,865,25
689296,336,330,268,84,1010,684,27
689296,581,577,266,84,1726,1181,46
689296,386,383,463,0,1344,791,21
716887,397,391,222,120,1227,816,35
716887,384,376,359,180,1235,832,44
716887,450,443,165,240,1308,921,40
716887,475,465,235,108,1561,988,44
716887,304,299,506,72,1176,756,41
716887,638,628,659,132,2088,1306,54
716887,784,761,1220,0,2694,1931,119
716887,322,314,203,288,998,742,46
716887,653,634,236,672,2302,1606,114
716887,365,355,535,192,1307,825,50
716887,476,468,466,36,1558,1034,51
716887,508,498,303,132,1665,1049,35
716887,448,438,262,72,1404,909,45
716887,342,334,40,552,1008,741,39
716887,607,595,272,168,1884,1316,68
716887,411,404,437,60,1279,905,51
850624,399,376,24,132,1017,831,96
850624,386,355,129,0,961,830,88
850624,450,449,1415,0,1359,910,16
850624,484,440,0,492,1104,1020,149
850624,308,306,130,180,930,659,16
850624,642,623,0,204,1914,1341,103
850624,755,739,44,624,2057,1572,75
850624,323,318,115,48,1002,707,42
850624,653,613,0,408,5171,1519,163
850624,370,359,0,336,957,772,68
850624,476,468,208,108,1447,987,46
850624,508,481,0,384,1284,1072,130
850624,449,429,0,288,1182,954,94
850624,341,333,76,324,869,709,35
850624,606,594,0,588,2292,1483,104
850624,411,406,2054,0,1428,899,44
868171,0,0,0,0,543,799,215
868171,0,0,0,0,98,282,112
868171,0,0,0,0,410,773,252
868171,0,0,0,0,583,900,260
868171,0,0,0,0,559,970,298
868171,0,0,0,0,256,616,227
868171,0,0,0,0,792,1286,386
868171,0,0,0,0,716,1222,384
868171,0,0,0,0,521,650,160
868171,0,0,0,0,719,1310,429
868171,0,0,0,0,352,751,260
868171,0,0,0,0,541,952,302
868171,0,0,0,0,662,1018,293
868171,0,0,0,0,606,896,247
868171,0,0,0,0,428,684,212
868171,0,0,0,0,572,1220,426
868171,0,0,0,0,479,823,266
908183,0,0,0,600,214,534,191
908183,0,0,302,0,532,648,113
908183,0,0,0,600,458,526,142
908183,0,0,222,0,952,852,41
908183,0,0,2,912,523,525,147
908183,0,0,0,1104,501,869,294
908183,0,0,1762,96,1072,1779,412
908183,0,0,0,504,249,399,120
908183,0,0,0,1392,610,817,251
908183,0,0,0,936,477,656,231
908183,0,0,825,0,377,526,120
908183,0,0,819,0,297,550,190
908183,0,0,677,0,291,462,129
908183,0,0,1104,0,421,642,189
908183,0,0,1128,0,301,758,289
908183,0,0,2304,0,267,517,197
920128,398,396,61,300,961,798,5
920128,377,371,0,384,862,764,53
920128,447,435,0,72,939,900,127
920128,474,450,0,492,956,963,137
920128,305,304,9,96,816,611,2
920128,639,629,27,180,1398,1280,93
920128,785,767,0,588,2055,1705,92
920128,316,300,144,0,864,641,62
920128,610,594,0,84,1694,1229,81
920128,365,360,0,228,944,737,20
920128,464,448,0,384,956,946,167
920128,507,500,0,288,1158,1018,102
920128,449,442,0,492,962,898,80
920128,337,328,0,144,796,677,36
920128,558,556,18,60,1577,1128,7
920128,409,405,0,384,1020,822,43
936445,397,397,27,36,956,796,16
936445,383,381,37,12,917,768,11
936445,450,449,36,12,1094,900,13
936445,480,476,19,144,1132,967,41
936445,308,305,57,0,839,616,5
936445,641,639,33,96,1559,1286,12
936445,751,744,83,132,1832,1511,28
936445,323,322,122,0,807,648,5
936445,652,650,28,108,1718,1308,11
936445,369,369,0,36,897,738,12
936445,476,475,15,72,1130,952,15
936445,508,508,13,24,1205,1016,9
936445,448,446,74,0,1069,896,13
936445,341,339,32,60,889,682,9
936445,606,601,67,84,1528,1215,10
936445,411,409,22,36,991,822,10
936447,398,394,12,60,953,795,25
936447,384,383,32,36,948,769,12
936447,450,447,12,60,1063,899,13
936447,480,470,15,192,1105,967,51
936447,308,307,37,12,830,615,5
936447,641,638,45,36,1534,1223,15
936447,751,740,60,180,1875,1426,30
936447,323,322,73,12,822,619,3
936447,652,645,42,84,1543,1159,19
936447,370,370,11,48,952,740,2
936447,475,474,78,12,1130,927,6
936447,508,506,10,36,1216,1005,7
936447,448,446,67,36,1062,892,11
936447,341,338,63,24,869,647,9
936447,606,604,90,96,1530,1125,14
936447,411,407,27,24,941,709,10
936448,397,396,72,72,974,796,5
936448,383,382,168,0,932,767,2
936448,450,449,146,0,1071,901,9
936448,483,481,184,0,1182,967,10
936448,308,305,263,0,803,616,9
936448,641,640,255,0,1614,1258,7
936448,789,782,477,60,2176,1642,27
936448,323,322,401,0,824,629,7
936448,653,649,406,0,1670,1206,13
936448,369,369,130,48,993,738,6
936448,476,476,208,0,1218,941,9
936448,508,507,124,0,1241,1012,5
936448,448,445,144,0,1091,893,8
936448,341,338,373,0,893,653,4
936448,605,604,212,0,1594,1158,13
936448,411,410,447,12,971,754,13
957603,399,394,1301,0,1029,945,52
957603,382,377,263,732,1104,1022,57
957603,449,445,91,420,1128,1055,55
957603,481,474,741,1272,1590,1335,66
957603,308,253,2,696,522,735,146
957603,638,633,39,1308,1819,1595,60
957603,783,764,561,2112,2424,2249,150
957603,322,285,186,540,722,896,154
957603,649,595,3,1152,1588,1821,259
957603,369,366,0,1068,958,890,56
957603,471,465,192,480,1306,1216,68
957603,505,497,475,636,1236,1151,70
957603,443,437,332,648,1190,1054,40
957603,337,327,189,756,949,924,56
957603,599,538,0,1080,1240,1735,322
